svkey,region_var,source_label,regkey,region_id
BJ51FL,v024,quémé,oueme,
BF62FL,v024,hauts basins,hautsbassins,
CI62FL,v024,ville d'abidjan,abidjan,
CM44FL,v024,extreme nor,farnorth,
CM44FL,v024,adamaoua,adamawa,
CM61FL,v024,adamaoua,adamawa,
ET41FL,v024,addis,addisababa,
ET51FL,v024,addis abeba,addisababa,
ET51FL,v024,afar,affar,
ET71FL,v024,oromia,oromiya,
ET71FL,v024,afar,affar,
ET71FL,v024,benishangul,benishangulgumuz,
ET71FL,v024,addis adaba,addisababa,
ET71FL,v024,snnpr,snnp,
ET81FL,v024,benishangul,benishangulgumuz,
ET81FL,v024,addis adaba,addisababa,
GA41FL,v024,north (ogooué-ivindo & woleu-ntem),north,
GA41FL,v024,east (haut-ogooué & ogooué-lolo),east,
GA41FL,v024,"west (estuaire, moyen-ogooué & ogooué-maritime)",west,
GA41FL,v024,"south (ngounié, nyanga)",south,
GA61FL,v024,libreville-port-gentil,libervilleportgentil,
GA71FL,v024,libreville,liberville,
KE42FL,v024,nairobi,nairobiarea,
KE52FL,v024,nairobi,nairobiarea,
MD42FL,v024,toliary,toliara,
MD51FL,v024,anamoroni'i mania,amoronimania,
MD81FL,v024,antananarivo,antananarivocapital,
MD81FL,v024,analamanga,analamangaexcludingcapital,
ML7AFL,v024,toumbouctou,tombouctou,
MW41FL,v024,north,northern,
MW41FL,v024,south,southern,
RW41FL,v024,kigali rurale,kigalirural,
SN4AFL,v024,zuguinchor,ziguinchor,
TZ4IFL,v024,dar es salam,eastern,
TZ4IFL,v024,zanziba south,zanzibar,
UG7BFL,v024,bugisu,bugishu,
ZW52FL,v024,matebeleland north,matabelelandnorth,
ZW52FL,v024,matebeleland south,matabelelandsouth,
