"term","k'","edf","k-index","p-value"
"s(pfpr_pct):age_band<1",4,1.00892879544949,0.867632753978127,0.045
"s(pfpr_pct):age_band1-5",4,1.74743123794758,0.867632753978127,0.025
"s(pfpr_pct):age_band6-11",4,2.76892518044906,0.867632753978127,0.035
"s(pfpr_pct):age_band12-23",4,3.71668875199193,0.867632753978127,0.04
"s(pfpr_pct):age_band24-35",4,3.8604228831769,0.867632753978127,0.025
"s(pfpr_pct):age_band36-47",4,3.55714438721074,0.867632753978127,0.035
"s(pfpr_pct):age_band48-59",4,3.54486958090149,0.867632753978127,0.04
"s(calendar_year):age_band<1",5,1.01768477780337,0.886668580002484,0.495
"s(calendar_year):age_band1-5",5,3.77314435337397,0.886668580002484,0.47
"s(calendar_year):age_band6-11",5,3.60101231451942,0.886668580002484,0.48
"s(calendar_year):age_band12-23",5,3.16763082448309,0.886668580002484,0.45
"s(calendar_year):age_band24-35",5,3.99641448422798,0.886668580002484,0.44
"s(calendar_year):age_band36-47",5,1.01730625611225,0.886668580002484,0.5
"s(calendar_year):age_band48-59",5,1.03432117233455,0.886668580002484,0.465
"s(survey)",102,69.8828297901303,,
"s(country_age)",231,151.235706300102,,
"s(region)",998,639.822210648764,,
