"country","eligible_rows","pfpr_available_rows","complete_case_rows","complete_case_deaths"
"AGO",187282,187282,187282,1910
"BDI",118402,114626,114619,1385
"BEN",249315,243406,236703,3530
"BFA",200838,199648,186714,2882
"CIV",103888,100950,100925,1483
"CMR",158807,149330,139442,2387
"COD",287393,287393,287124,4844
"COG",76823,76823,71280,882
"COM",17998,17998,0,0
"ETH",303718,303563,285062,3374
"GAB",71449,71449,69915,621
"GHA",119208,119208,114259,1062
"GIN",122730,122730,114161,2157
"GMB",93736,93736,93729,823
"KEN",296815,296815,289408,2364
"LBR",131588,131484,131239,2129
"MDG",169126,169126,162071,1793
"MLI",291467,290517,274751,4771
"MOZ",154515,154515,141922,2088
"MRT",68083,65366,65292,460
"MWI",344432,344432,327211,4082
"NAM",58787,51779,50347,505
"NER",125273,125273,116160,2299
"NGA",745728,745350,0,0
"RWA",225450,225035,213131,2580
"SEN",580279,580279,566917,6126
"SLE",156500,156500,156394,3182
"STP",10839,10839,0,0
"SWZ",15464,11268,10725,201
"TCD",140032,136069,128699,2571
"TGO",40197,35856,35836,482
"TZA",209421,209359,198977,2140
"UGA",206529,190215,121275,1805
"ZAF",20867,15261,15260,103
"ZMB",234751,234751,220920,2365
"ZWE",93633,89571,33563,386
