"survey","country","eligible_rows","pfpr_available_rows","excluded_incomplete","complete_case_rows","complete_case_deaths"
"AO62FL","AGO",44181,44181,0,44181,600
"AO71FL","AGO",78397,78397,0,78397,812
"AO81FL","AGO",64704,64704,0,64704,498
"BU61FL","BDI",42380,38604,7,38597,550
"BU71FL","BDI",76022,76022,0,76022,835
"BJ41FL","BEN",7397,1588,1588,0,0
"BJ51FL","BEN",88834,88834,5115,83719,1591
"BJ61FL","BEN",78271,78171,0,78171,854
"BJ71FL","BEN",74813,74813,0,74813,1085
"BF43FL","BFA",41968,40778,12885,27893,729
"BF62FL","BFA",84743,84743,49,84694,1610
"BF81FL","BFA",74127,74127,0,74127,543
"CI62FL","CIV",42723,39785,25,39760,718
"CI81FL","CIV",61165,61165,0,61165,765
"CM44FL","CMR",38707,38707,9858,28849,623
"CM61FL","CMR",64649,64649,30,64619,1151
"CM71FL","CMR",55451,45974,0,45974,613
"CD51FL","COD",47647,47647,269,47378,1115
"CD61FL","COD",102125,102125,0,102125,1686
"CD81FL","COD",137621,137621,0,137621,2043
"CG51FL","COG",25794,25794,5530,20264,347
"CG61FL","COG",51029,51029,13,51016,535
"KM61FL","COM",17998,17998,17998,0,0
"ET41FL","ETH",468,468,468,0,0
"ET51FL","ETH",57107,57107,13533,43574,737
"ET61FL","ETH",68467,68312,0,68312,958
"ET71FL","ETH",62705,62705,0,62705,711
"ET81FL","ETH",33797,33797,0,33797,362
"ET8AFL","ETH",81174,81174,4500,76674,606
"GA41FL","GAB",1508,1508,1508,0,0
"GA61FL","GAB",33506,33506,26,33480,330
"GA71FL","GAB",36435,36435,0,36435,291
"GH4BFL","GHA",15353,15353,4877,10476,199
"GH5AFL","GHA",16772,16772,72,16700,217
"GH72FL","GHA",33352,33352,0,33352,325
"GH8CFL","GHA",53731,53731,0,53731,321
"GN52FL","GIN",35908,35908,8569,27339,655
"GN62FL","GIN",39920,39920,0,39920,733
"GN71FL","GIN",46902,46902,0,46902,769
"GM61FL","GMB",44611,44611,7,44604,337
"GM81FL","GMB",49125,49125,0,49125,486
"KE42FL","KEN",21204,21204,7407,13797,268
"KE52FL","KEN",34075,34075,0,34075,393
"KE72FL","KEN",127018,127018,0,127018,943
"KE8CFL","KEN",114518,114518,0,114518,760
"LB51FL","LBR",31738,31692,65,31627,550
"LB5AFL","LBR",22879,22821,126,22695,425
"LB6AFL","LBR",44084,44084,54,44030,649
"LB7AFL","LBR",32887,32887,0,32887,505
"MD42FL","MDG",24494,24494,7031,17463,208
"MD51FL","MDG",73129,73129,24,73105,777
"MD81FL","MDG",71503,71503,0,71503,808
"ML41FL","MLI",9937,8987,8987,0,0
"ML53FL","MLI",77894,77894,6666,71228,1979
"ML6AFL","MLI",58732,58732,0,58732,874
"ML7AFL","MLI",56215,56215,0,56215,806
"ML8AFL","MLI",88689,88689,113,88576,1112
"MZ41FL","MOZ",41212,41212,12593,28619,687
"MZ62FL","MOZ",60470,60470,0,60470,911
"MZ81FL","MOZ",52833,52833,0,52833,490
"MR71FL","MRT",68083,65366,74,65292,460
"MW41FL","MWI",3157,3157,3157,0,0
"MW4EFL","MWI",55293,55293,12458,42835,910
"MW61FL","MWI",114288,114288,0,114288,1793
"MW7AFL","MWI",102346,102346,0,102346,947
"MW81FL","MWI",69348,69348,1606,67742,432
"NM41FL","NAM",1450,1266,1266,0,0
"NM51FL","NAM",29112,26318,152,26166,296
"NM61FL","NAM",28225,24195,14,24181,209
"NI51FL","NER",52153,52153,8974,43179,1049
"NI61FL","NER",73120,73120,139,72981,1250
"NG4BFL","NGA",20997,20997,20997,0,0
"NG53FL","NGA",157016,157016,157016,0,0
"NG61FL","NGA",32266,32266,32266,0,0
"NG6AFL","NGA",177779,177779,177779,0,0
"NG7BFL","NGA",195272,195272,195272,0,0
"NG8BFL","NGA",162398,162020,162020,0,0
"RW41FL","RWA",2196,2196,2196,0,0
"RW53FL","RWA",46547,46547,9658,36889,838
"RW5AFL","RWA",30365,30338,10,30328,467
"RW61FL","RWA",53077,53077,0,53077,608
"RW70FL","RWA",46127,45739,40,45699,335
"RW81FL","RWA",47138,47138,0,47138,332
"SN4AFL","SEN",59928,59928,13020,46908,837
"SN5AFL","SEN",87342,87342,285,87057,1299
"SN61FL","SEN",68736,68736,0,68736,824
"SN6DFL","SEN",38506,38506,0,38506,388
"SN71FL","SEN",38866,38866,0,38866,373
"SN7AFL","SEN",40157,40157,0,40157,421
"SN7IFL","SEN",38822,38822,0,38822,359
"SN7ZFL","SEN",71323,71323,38,71285,642
"SN81FL","SEN",39314,39314,0,39314,318
"SN8BFL","SEN",35351,35351,19,35332,243
"SN8SFL","SEN",61934,61934,0,61934,422
"SL51FL","SLE",31344,31344,59,31285,653
"SL61FL","SLE",68076,68076,47,68029,1532
"SL7AFL","SLE",57080,57080,0,57080,997
"ST51FL","STP",10839,10839,10839,0,0
"SZ51FL","SWZ",15464,11268,543,10725,201
"TD41FL","TCD",29949,29949,7265,22684,609
"TD71FL","TCD",110083,106120,105,106015,1962
"TG61FL","TGO",40197,35856,20,35836,482
"TZ4IFL","TZA",45594,45594,10380,35214,612
"TZ63FL","TZA",45187,45125,0,45125,541
"TZ7BFL","TZA",56917,56917,2,56915,562
"TZ82FL","TZA",61723,61723,0,61723,425
"UG41FL","UGA",3417,3417,3417,0,0
"UG52FL","UGA",46139,46139,4691,41448,805
"UG5AFL","UGA",22476,20657,0,20657,263
"UG61FL","UGA",44636,44636,0,44636,603
"UG7BFL","UGA",89861,75366,60832,14534,134
"ZA71FL","ZAF",20867,15261,1,15260,103
"ZM42FL","ZMB",13278,13278,13278,0,0
"ZM51FL","ZMB",34258,34258,0,34258,614
"ZM61FL","ZMB",78600,78600,92,78508,905
"ZM71FL","ZMB",57564,57564,0,57564,528
"ZM81FL","ZMB",51051,51051,461,50590,318
"ZW52FL","ZWE",29737,29737,29737,0,0
"ZW62FL","ZWE",29334,29334,26271,3063,65
"ZW72FL","ZWE",34562,30500,0,30500,321
