"iso3","source_age","deaths","rate_per100000","implied_person_years","ihme_deaths_lower","ihme_deaths_upper","ihme_rate_lower","ihme_rate_upper"
"AGO","0 to 6 days (early neonatal)",21130.5391284445,126594.634134736,16691.4966600836,19553.365519029,22658.9356077208,117145.669541961,135751.371306971
"AGO","7 to 27 days (late neonatal)",4593.9738140601,9350.21225935625,49132.2943975219,4124.93936200676,5214.54865514591,8395.57649930311,10613.2813846547
"AGO","1 to 5 months",16311.3605706205,4615.24377146218,353423.597502691,14595.7478440577,17897.9560598077,4129.81700916181,5064.1655470307
"AGO","6-11 months",15584.8977425952,3906.93448237459,398903.483355136,13916.7346919039,17425.4541130987,3488.74734681474,4368.3384177383
"AGO","12 to 23 months",13321.4790908751,1741.16295240229,765090.887816982,11864.8491847121,14605.9628369926,1550.77643370787,1909.04937825982
"AGO","2 to 4",25609.1704515966,1248.35539396111,2051432.67498025,23005.1147122641,28839.6907231606,1121.41699763486,1405.8316938643
"BDI","0 to 6 days (early neonatal)",8193.91951874653,132040.652451517,6205.60362783361,7684.11745397362,8708.50057155077,123825.46348124,140332.852270665
"BDI","7 to 27 days (late neonatal)",2471.18652418704,13549.3854889517,18238.3660587565,2233.6658360983,2740.65834516046,12247.0720726975,15026.885283096
"BDI","1 to 5 months",7598.67822594829,5811.0010629367,130763.669523546,6864.24152484263,8523.58622824822,5249.3491119157,6518.31373293897
"BDI","6-11 months",6027.24891595677,4100.04974069796,147004.287682879,5434.26236663511,6659.20586866519,3696.66929603987,4529.93989061773
"BDI","12 to 23 months",5989.82386859764,2125.23194624079,281843.300877945,5401.29548778596,6543.17301118459,1916.41790702879,2321.56414248717
"BDI","2 to 4",9684.67203814446,1266.77431936378,764514.396140305,8731.62925396962,10701.4532150624,1142.11443212211,1399.77131484892
"BEN","0 to 6 days (early neonatal)",9092.75476003164,131227.291837198,6929.01197055272,8512.04267643245,9735.9979993517,122846.413205914,140510.624613268
"BEN","7 to 27 days (late neonatal)",1711.91185546703,8412.5596727639,20349.4765215091,1540.75401501344,1903.49358228864,7571.46756765408,9354.01743763125
"BEN","1 to 5 months",5044.12485996666,3424.81559332683,147281.648384077,4505.19489069777,5603.94895505547,3058.8976563796,3804.92004030376
"BEN","6-11 months",5260.4269691289,3149.4700674867,167025.780731638,4723.54183858447,5859.08177210832,2828.03158763487,3507.89066600573
"BEN","12 to 23 months",4980.83778781298,1543.8276559564,322629.133413688,4476.80246607098,5526.62241951443,1387.60018932656,1712.99546356465
"BEN","2 to 4",9674.51273740374,1099.07374748579,880242.364039254,8716.73733313154,10646.5268463697,990.2656006162,1209.4994834735
"BFA","0 to 6 days (early neonatal)",16745.1805611583,128490.973359442,13032.1843810111,15673.8350431264,18031.4018839315,120270.206320626,138360.549212339
"BFA","7 to 27 days (late neonatal)",4923.73314439118,12821.5388201045,38402.045288594,4439.58684049468,5427.85484511103,11560.8083036486,14134.2858285811
"BFA","1 to 5 months",12534.0701003549,4531.10210300708,276622.989626225,11322.9231454654,13766.7578986852,4093.2690232164,4976.72225916109
"BFA","6-11 months",12257.3504880715,3912.96467571214,313249.709718903,11112.6046892872,13573.1372432294,3547.52274128494,4333.0087218307
"BFA","12 to 23 months",17337.9449790023,2900.43102169589,597771.326030872,15529.4591642423,19265.897829218,2597.89295471162,3222.95449618523
"BFA","2 to 4",24494.5745471273,1522.46566435414,1608875.33430965,22241.3780588375,27036.4952687625,1382.41774142066,1680.45930546655
"BWA","0 to 6 days (early neonatal)",355.227250237738,39842.8797717459,891.57021850023,340.026075807126,370.864037753546,38137.8907405753,41596.727891764
"BWA","7 to 27 days (late neonatal)",99.6236068352477,3775.32896857997,2638.80598656068,94.7232398349314,104.064295458976,3589.62501666863,3943.61298212038
"BWA","1 to 5 months",904.264324432211,4686.73966908695,19294.1018336607,858.592859127076,947.173644899428,4450.02761221651,4909.13571963726
"BWA","6-11 months",531.773435298035,2379.21564775932,22350.7875714774,505.94370333069,560.443647518351,2263.65044950963,2507.48948208677
"BWA","12 to 23 months",302.043662499034,680.8394779209,44363.4178531177,287.959002419405,317.088782596906,649.09111235028,714.75282550761
"BWA","2 to 4",193.625867460308,146.14222810208,132491.388679979,184.143809445234,202.857900577147,138.98549277796,153.1102531253
"CAF","0 to 6 days (early neonatal)",6316.35871670531,167332.261725666,3774.74053811613,5917.07442660395,6710.81726191422,156754.467409222,177782.21295346
"CAF","7 to 27 days (late neonatal)",1232.59377727157,11162.0806383027,11042.6883411138,1112.25107061317,1366.37251756711,10072.2852647401,12373.5495864705
"CAF","1 to 5 months",5848.93269870296,7393.95855059554,79104.2126985126,5219.93357077551,6401.26024174779,6598.80604673999,8092.18627349811
"CAF","6-11 months",4678.36141095443,5265.75168658612,88845.0821346553,4241.27981212115,5166.43770061082,4773.79243759715,5815.10824963893
"CAF","12 to 23 months",2363.60318482398,1404.36568890288,168303.968368131,2111.11696407218,2634.01619828671,1254.34770465693,1565.03511107078
"CAF","2 to 4",7053.00729573313,1587.2168751519,444363.174695842,6295.9949144798,7792.42287568121,1416.85793805692,1753.61580783893
"CIV","0 to 6 days (early neonatal)",23284.6815707392,164431.655539246,14160.7049411369,21708.1062314541,24685.2007402587,153298.203173431,174321.835267876
"CIV","7 to 27 days (late neonatal)",4107.58442120974,9899.35261814256,41493.4650744915,3688.6577285763,4557.9359524992,8889.73172511433,10984.7079397118
"CIV","1 to 5 months",14749.1021159205,4928.90905734743,299236.64535734,13205.4231487649,16400.6096202128,4413.03675657617,5480.81589426579
"CIV","6-11 months",11212.1902753833,3288.92251139444,340907.705685945,10075.7695804215,12393.901942452,2955.57108635837,3635.55934223139
"CIV","12 to 23 months",11389.1619068636,1735.11988136903,656390.49089089,10278.6210835468,12701.7733277401,1565.93083327519,1935.09404904701
"CIV","2 to 4",16027.2630647758,890.36111568881,1800085.69358699,14522.7349226537,17883.5441552989,806.78019798682,993.48293356316
"CMR","0 to 6 days (early neonatal)",19679.471832166,132808.569046853,14817.9232510391,18276.1293338459,20869.4994519413,123337.994293933,140839.570420085
