"iso3","age_band","ihme_deaths","implied_person_years","ihme_rate_per100000","age_mapping","Location","pfpr_pct","population_weight_on_map","population_weight_within_raster","map_population_coverage_within_raster","legacy_density_weighted_pfpr_pct","status","map_coverage_below_95pct","exposure_year","population_weight_year","log_hr_zero_vs_current","log_hr_se","hr_zero_vs_current","hr_lower_95","hr_upper_95","monte_carlo_se_log_hr","imputations","attributable_fraction","af_lower_95","af_upper_95","counterfactual_rate_per100000","attributable_rate_per100000","attributable_rate_per100000_lower_95","attributable_rate_per100000_upper_95","counterfactual_deaths","attributable_deaths","attributable_deaths_lower_95","attributable_deaths_upper_95","zero_below_observed_support","current_pfpr_outside_central95","negative_attributable_estimate"
"AGO","<1",23967.7145856338,85687.5596199016,27971.0551822824,"0-27 days mapped to model <1 completed month","Angola",12.001303326479,36776664,36847228,0.998084957706995,11.934278269143,"estimated",FALSE,2015,2020,0.0204691834601073,0.00927816081140137,1.02068011392909,1.00226468311778,1.03943390655008,0.000863230745532669,10,-0.0206801139290909,-0.0394339065500848,-0.00226468311778483,28549.4997901689,-578.444607886487,-1103.00797616539,-63.3455764579428,24463.3696538846,-495.65506825084,-945.140617188988,-54.27927859397,TRUE,FALSE,TRUE
"AGO","1-5",13673.4103389223,466364.880630094,2931.91252318325,"direct age match","Angola",12.001303326479,36776664,36847228,0.998084957706995,11.934278269143,"estimated",FALSE,2015,2020,-0.0136463562015235,0.0112346284431294,0.986446333213973,0.964961944398042,1.00840906106231,0.000433037373452542,10,0.013553666786027,-0.00840906106231221,0.0350380556019578,2892.17435779824,39.7381653850054,-24.6546314368058,102.728514007371,13488.08549136,185.32484756237,-114.980542470049,479.089711723546,TRUE,FALSE,FALSE
"AGO","6-11",11709.7947770341,536200.381654204,2183.84678147913,"direct age match","Angola",12.001303326479,36776664,36847228,0.998084957706995,11.934278269143,"estimated",FALSE,2015,2020,-0.152657330019262,0.0357953353112107,0.858423827494354,0.800257568251912,0.920817867701929,0.00176471513587617,10,0.141576172505646,0.0791821322980706,0.199742431748088,1874.66611281854,309.180668660589,172.921644769796,436.206866697877,10051.966851675,1657.8279253591,927.206519218374,2338.94288403586,TRUE,FALSE,FALSE
"AGO","12-23",9451.92650518088,1057980.4982681,893.39326392628,"direct age match","Angola",12.001303326479,36776664,36847228,0.998084957706995,11.934278269143,"estimated",FALSE,2015,2020,-0.329291438151988,0.0470436534126664,0.719433315875085,0.656024356431013,0.788971157727813,0.00377203501912687,10,0.280566684124915,0.211028842272187,0.343975643568987,642.736878246949,250.656385679331,188.531746180133,307.30552291924,6800.03082702989,2651.895678151,1994.62910763012,3251.23250258636,TRUE,FALSE,FALSE
"AGO","24-35",6172.73421877417,1014442.54859918,608.48534274296,"IHME 2-4 rate shared; deaths and person-time divided equally","Angola",12.001303326479,36776664,36847228,0.998084957706995,11.934278269143,"estimated",FALSE,2015,2020,-0.511269102989715,0.053357186565246,0.599733971459191,0.54016617082557,0.665870718953929,0.00349108894360875,10,0.400266028540809,0.334129281046071,0.45983382917443,364.929331177942,243.556011565018,203.312770097777,279.802145150011,3701.99840778748,2470.73581098669,2062.49124660749,2838.43201229496,TRUE,FALSE,FALSE
"AGO","36-47",6172.73421877417,1014442.54859918,608.48534274296,"IHME 2-4 rate shared; deaths and person-time divided equally","Angola",12.001303326479,36776664,36847228,0.998084957706995,11.934278269143,"estimated",FALSE,2015,2020,-0.367344868007356,0.0596965518051766,0.692570758357184,0.616098439331025,0.778535092301589,0.00139303561821083,10,0.307429241642816,0.221464907698411,0.383901560668975,421.419155272723,187.066187470237,134.758150266406,233.598472723218,4275.05521903376,1897.6789997404,1367.04401400764,2369.72230018219,TRUE,FALSE,FALSE
"AGO","48-59",6172.73421877417,1014442.54859918,608.48534274296,"IHME 2-4 rate shared; deaths and person-time divided equally","Angola",12.001303326479,36776664,36847228,0.998084957706995,11.934278269143,"estimated",FALSE,2015,2020,-0.41772644496841,0.0736098131177447,0.658542351360666,0.570068317420469,0.760747467072029,0.000854453890787969,10,0.341457648639334,0.239252532927971,0.429931682579531,400.71336837845,207.77197436451,145.581659500798,261.607127230464,4065.00690675598,2107.72731201818,1476.84229693288,2653.85400879383,TRUE,FALSE,FALSE
"BDI","<1",12649.1144101055,34130.9725256836,37060.5156374815,"0-27 days mapped to model <1 completed month","Burundi",16.717817650048,10240924,11339513,0.903118502531811,16.8718316295086,"estimated",TRUE,2015,2020,0.0285052106588645,0.0128944141308375,1.02891537214756,1.00320648655603,1.05528309199427,0.00120368464608304,10,-0.0289153721475606,-0.0552830919942713,-0.00320648655602662,38132.1342391198,-1071.61860163827,-2048.81989534202,-118.834045150999,13014.8682606108,-365.753850505272,-699.282155579925,-40.5592153016459,TRUE,FALSE,TRUE
"BDI","1-5",7215.70472469568,185271.692707332,3894.66119689104,"direct age match","Burundi",16.717817650048,10240924,11339513,0.903118502531811,16.8718316295086,"estimated",TRUE,2015,2020,-0.0190082437228455,0.0156434131522641,0.981171273705422,0.95154350204647,1.01172155164137,0.000603303971336156,10,0.0188287262945782,-0.011721551641372,0.0484564979535298,3821.32968720466,73.3315096863758,-45.651472345006,188.721642316843,7079.84219541189,135.86252928379,-84.5792555594124,349.647781225491,TRUE,FALSE,FALSE
"BDI","6-11",5342.98961105673,212585.464249544,2513.33722647417,"direct age match","Burundi",16.717817650048,10240924,11339513,0.903118502531811,16.8718316295086,"estimated",TRUE,2015,2020,-0.204723150094484,0.0455972214645,0.81487288266655,0.7452026659722,0.891056681928274,0.00213577332828948,10,0.185127117333451,0.108943318071726,0.2547973340278,2048.05035085016,465.286875624013,273.811296885286,640.391624818444,4353.85734641922,989.132264637506,582.083016651282,1361.37950863549,TRUE,FALSE,FALSE
