"iso3","Location","Year","Age","Unit","Value","Lower","Upper"
"AGO","Angola",2015,"Under 5","Number",77321.0488630937,74746.9696439491,79753.4974235318
"AGO","Angola",2015,"Under 5","Rate (per 100,000)",1489.93430022542,1440.33320225154,1536.80625290867
"AGO","Angola",2015,"0 to 6 days (early neonatal)","Number",19786.4622451477,18603.8425492302,20970.8337428838
"AGO","Angola",2015,"0 to 6 days (early neonatal)","Rate (per 100,000)",91431.6968151199,85966.9035567278,96904.5850129098
"AGO","Angola",2015,"7 to 27 days (late neonatal)","Number",4181.25234048612,3880.09841458173,4515.79824217723
"AGO","Angola",2015,"7 to 27 days (late neonatal)","Rate (per 100,000)",6528.42712636695,6058.21837095432,7050.77267305099
"COD","Democratic Republic of the Congo",2015,"12 to 23 months","Number",31044.7637151542,28763.1076707689,33213.9164533152
"COD","Democratic Republic of the Congo",2015,"12 to 23 months","Rate (per 100,000)",1128.01099448412,1045.10705849954,1206.82712463127
"COD","Democratic Republic of the Congo",2015,"1 to 5 months","Number",42905.6492648664,39888.5266241353,46390.8631615145
"COD","Democratic Republic of the Congo",2015,"1 to 5 months","Rate (per 100,000)",3507.43448281961,3260.7919038047,3792.34240544871
"COD","Democratic Republic of the Congo",2015,"6-11 months","Number",43177.5078074106,40005.7381041207,46311.5942747586
"COD","Democratic Republic of the Congo",2015,"6-11 months","Rate (per 100,000)",3072.20964226323,2846.52868103339,3295.20932783149
"AGO","Angola",2015,"Under 1","Number",49350.9197015903,47608.0621854923,51268.2288514097
"AGO","Angola",2015,"Under 1","Rate (per 100,000)",4534.87633647824,4374.72444153086,4711.05866389593
"AGO","Angola",2015,"2 to 4","Number",18518.2026563225,17262.5042868654,19989.2299400277
"AGO","Angola",2015,"2 to 4","Rate (per 100,000)",608.48534274296,567.22464013045,656.82148840038
"GNQ","Equatorial Guinea",2015,"Under 5","Number",2397.90491647383,2320.32407817664,2478.90507542346
"GNQ","Equatorial Guinea",2015,"Under 5","Rate (per 100,000)",1217.77624525682,1178.37680897543,1258.91218386439
"GNQ","Equatorial Guinea",2015,"0 to 6 days (early neonatal)","Number",635.123218399674,597.760728344191,673.424743401958
"GNQ","Equatorial Guinea",2015,"0 to 6 days (early neonatal)","Rate (per 100,000)",80381.0804255961,75652.490396062,85228.5145493069
"GNQ","Equatorial Guinea",2015,"7 to 27 days (late neonatal)","Number",156.485157676477,143.473068071617,168.648820507961
