"iso3","age_band","draw","log_hr_zero_vs_current","variance"
"AGO","<1",10,0.0366182996104488,0.000220988822288167
"AGO","1-5",10,-0.0242900555455599,0.000354383943211482
"AGO","6-11",10,-0.235463934533403,0.00250516720624332
"AGO","12-23",10,-0.487337344078919,0.00386445822088867
"AGO","24-35",10,-0.745863200576779,0.00502860835206385
"AGO","36-47",10,-0.556661756278236,0.00662265810879917
"AGO","48-59",10,-0.577772602278065,0.00989848607986787
"BDI","<1",10,0.0421638184478942,0.000291867211646894
"BDI","1-5",10,-0.0279721761243019,0.00046970659770404
"BDI","6-11",10,-0.261535371960678,0.00278060156895765
"BDI","12-23",10,-0.530014211916859,0.00411452981699127
"BDI","24-35",10,-0.80051292851291,0.00530723725280093
"BDI","36-47",10,-0.607998970068257,0.0070296773030784
"BDI","48-59",10,-0.596473051743099,0.0103828713239605
"BEN","<1",10,0.0654843753116147,0.000694871753631246
"BEN","1-5",10,-0.0434612791969583,0.00113205199065137
"BEN","6-11",10,-0.342971573981161,0.00334262155935332
"BEN","12-23",10,-0.62011695069158,0.00418149967439676
"BEN","24-35",10,-0.879551432975307,0.00516736116961276
"BEN","36-47",10,-0.709745900632444,0.00703736224419035
"BEN","48-59",10,-0.53171109094267,0.0100481833538355
"BFA","<1",10,0.0376092007180257,0.00023294857350844
"BFA","1-5",10,-0.0249479187483126,0.000373801635574294
"BFA","6-11",10,-0.240355050701664,0.00256243010285147
"BFA","12-23",10,-0.495713975166485,0.00392560054530971
"BFA","24-35",10,-0.757004285308287,0.00510095866108832
"BFA","36-47",10,-0.566666107206731,0.0067239805297002
"BFA","48-59",10,-0.582674189245045,0.0100294221689578
"BWA","<1",10,0.000141408649342582,3.34639264341781e-09
"BWA","1-5",10,-9.37611223317493e-05,5.29249159816405e-09
"BWA","6-11",10,-0.00101177271016332,6.37578919011549e-08
"BWA","12-23",10,-0.00221506389784023,1.08130247553687e-07
"BWA","24-35",10,-0.00350732966413875,1.43216734134124e-07
"BWA","36-47",10,-0.00249887030456695,1.86734637986814e-07
"BWA","48-59",10,-0.00297739692623959,2.87783632868775e-07
"CAF","<1",10,0.0606874960018238,0.000598172834510098
"CAF","1-5",10,-0.04027542611232,0.000972403584913933
"CAF","6-11",10,-0.329201422940569,0.00325936494075167
"CAF","12-23",10,-0.610789563808159,0.00418396521142275
"CAF","24-35",10,-0.876968955242102,0.00520904448465335
"CAF","36-47",10,-0.702754854854425,0.00706633065066062
"CAF","48-59",10,-0.553755515054531,0.0101292062576267
"CIV","<1",10,0.0388864302574281,0.000248816915254635
"CIV","1-5",10,-0.0257959290779733,0.000399593167490634
"CIV","6-11",10,-0.246506964860941,0.00263073645536704
"CIV","12-23",10,-0.506017701675696,0.0039929973169221
"CIV","24-35",10,-0.770454008033237,0.00517854649006065
"CIV","36-47",10,-0.579022854020366,0.00683472781392201
"CIV","48-59",10,-0.587945717094942,0.0101670953878817
"CMR","<1",10,0.0453079243301436,0.000336319707141982
"CMR","1-5",10,-0.0300601917306698,0.000542288188816166
"CMR","6-11",10,-0.274981603621936,0.00289595927779033
"CMR","12-23",10,-0.549917517742668,0.00417618003902419
"CMR","24-35",10,-0.823776077752793,0.00535581730901335
"CMR","36-47",10,-0.632183246706531,0.00712166603051064
"CMR","48-59",10,-0.598629514643754,0.0104478118527749
"COD","<1",10,0.0648592517874846,0.000681866991545127
"COD","1-5",10,-0.043046128378062,0.00111056035247169
"COD","6-11",10,-0.341243935332232,0.00333235490999374
"COD","12-23",10,-0.619099667906738,0.0041812119626485
"COD","24-35",10,-0.879443370097876,0.00517154145245045
"COD","36-47",10,-0.70921241930341,0.00704031793088233
"COD","48-59",10,-0.534556774627989,0.010057301770406
"COG","<1",10,0.0414665721392574,0.000282427516837762
"COG","1-5",10,-0.0275091649590968,0.000454316417296485
"COG","6-11",10,-0.258427063648018,0.00275151919777507
"COG","12-23",10,-0.52519517017528,0.0040942233115072
"COG","24-35",10,-0.794634681567826,0.00528744138186818
"COG","36-47",10,-0.602160039215868,0.00699781737617173
