"age_band","pfpr_from_pct","pfpr_to_pct","hazard_ratio","lower_95","upper_95","percent_change","pfpr_p025","pfpr_p975","contrast_within_central_95pct","draw","estimate","variance"
"<1",40,20,1.03658159511916,1.00771875927288,1.06627111329663,3.65815951191647,1.76782403096607,67.5343293391306,TRUE,10,0.0359283715697002,0.000207584134945173
"1-5",40,20,0.976421811583533,0.941709462409036,1.0124136925386,-2.35781884164674,1.76768905979204,67.3804721618428,TRUE,10,-0.0238606019341287,0.000341078262477302
"6-11",40,20,0.880375104534021,0.833050015234582,0.930388704770668,-11.9624895465979,1.75228032887322,67.0775337306141,TRUE,10,-0.127407207178508,0.000794733319275
"12-23",40,20,0.86435935912082,0.8098945756011,0.92248685718786,-13.564064087918,1.74737139843124,66.3280806954508,TRUE,10,-0.145766671742514,0.00110266424272724
"24-35",40,20,0.869847758101209,0.809096213021406,0.935160874685346,-13.0152241898791,1.74574104390516,66.3446960305032,TRUE,10,-0.13943707333443,0.00136448698177163
"36-47",40,20,0.853288729586686,0.782956249493887,0.92993913326615,-14.6711270413314,1.74615801560054,66.4693798324298,TRUE,10,-0.158657301558366,0.00192618692898225
"48-59",40,20,1.07170732060385,0.959702729483395,1.19678369744154,7.17073206038488,1.72053231100745,66.3280806954508,TRUE,10,0.0692530035465987,0.00317179888955934
"<1",40,20,1.03013993213696,1.00138059429056,1.05972522918218,3.0139932136964,1.76782403096607,67.5343293391306,TRUE,45,0.0296946494575479,0.000208699406243234
"1-5",40,20,0.978508467189636,0.94354459635699,1.01476795485727,-2.14915328103641,1.76768905979204,67.3804721618428,TRUE,45,-0.0217258389492746,0.000344629093569712
"6-11",40,20,0.888274703907638,0.840271550573638,0.939020188251695,-11.1725296092362,1.75228032887322,67.0775337306141,TRUE,45,-0.118474232581858,0.000803431282565497
"12-23",40,20,0.877772930124047,0.822101165724202,0.937214723664603,-12.2227069875953,1.74737139843124,66.3280806954508,TRUE,45,-0.130367340521984,0.00111762215198283
"24-35",40,20,0.882301540231327,0.820285417790571,0.949006273927597,-11.7698459768673,1.74574104390516,66.3446960305032,TRUE,45,-0.125221399055356,0.00138268361603972
