"survey","country","survey_year","period","un_region","geography"
"AO62FL","AGO",2011,"early","Middle Africa","east_central"
"AO71FL","AGO",2015,"late","Middle Africa","east_central"
"AO81FL","AGO",2023,"late","Middle Africa","east_central"
"BU61FL","BDI",2010,"early","Eastern Africa","east_central"
"BU71FL","BDI",2016,"late","Eastern Africa","east_central"
"BJ51FL","BEN",2006,"early","Western Africa","west"
"BJ61FL","BEN",2012,"early","Western Africa","west"
"BJ71FL","BEN",2017,"late","Western Africa","west"
"BF43FL","BFA",2003,"early","Western Africa","west"
"BF62FL","BFA",2010,"early","Western Africa","west"
"BF81FL","BFA",2021,"late","Western Africa","west"
"CI62FL","CIV",2012,"early","Western Africa","west"
"CI81FL","CIV",2021,"late","Western Africa","west"
"CM44FL","CMR",2004,"early","Middle Africa","east_central"
"CM61FL","CMR",2011,"early","Middle Africa","east_central"
"CM71FL","CMR",2018,"late","Middle Africa","east_central"
"CD51FL","COD",2007,"early","Middle Africa","east_central"
"CD61FL","COD",2013,"late","Middle Africa","east_central"
"CD81FL","COD",2023,"late","Middle Africa","east_central"
"CG51FL","COG",2005,"early","Middle Africa","east_central"
"CG61FL","COG",2011,"early","Middle Africa","east_central"
"KM61FL","COM",2012,"early","Eastern Africa","east_central"
"ET51FL","ETH",2005,"early","Eastern Africa","east_central"
"ET61FL","ETH",2011,"early","Eastern Africa","east_central"
"ET71FL","ETH",2016,"late","Eastern Africa","east_central"
"ET81FL","ETH",2019,"late","Eastern Africa","east_central"
"ET8AFL","ETH",2024,"late","Eastern Africa","east_central"
"GA61FL","GAB",2012,"early","Middle Africa","east_central"
"GA71FL","GAB",2019,"late","Middle Africa","east_central"
"GH4BFL","GHA",2003,"early","Western Africa","west"
"GH5AFL","GHA",2008,"early","Western Africa","west"
"GH72FL","GHA",2014,"late","Western Africa","west"
"GH8CFL","GHA",2022,"late","Western Africa","west"
"GN52FL","GIN",2005,"early","Western Africa","west"
"GN62FL","GIN",2012,"early","Western Africa","west"
"GN71FL","GIN",2018,"late","Western Africa","west"
"GM61FL","GMB",2013,"late","Western Africa","west"
"GM81FL","GMB",2019,"late","Western Africa","west"
"KE42FL","KEN",2003,"early","Eastern Africa","east_central"
"KE52FL","KEN",2008,"early","Eastern Africa","east_central"
"KE72FL","KEN",2014,"late","Eastern Africa","east_central"
"KE8CFL","KEN",2022,"late","Eastern Africa","east_central"
"MD42FL","MDG",2004,"early","Eastern Africa","east_central"
"MD51FL","MDG",2008,"early","Eastern Africa","east_central"
"MD81FL","MDG",2021,"late","Eastern Africa","east_central"
"ML53FL","MLI",2006,"early","Western Africa","west"
"ML6AFL","MLI",2012,"early","Western Africa","west"
"ML7AFL","MLI",2018,"late","Western Africa","west"
"ML8AFL","MLI",2023,"late","Western Africa","west"
"MZ41FL","MOZ",2003,"early","Eastern Africa","east_central"
"MZ62FL","MOZ",2011,"early","Eastern Africa","east_central"
"MZ81FL","MOZ",2022,"late","Eastern Africa","east_central"
"MR71FL","MRT",2020,"late","Western Africa","west"
"MW4EFL","MWI",2004,"early","Eastern Africa","east_central"
"MW61FL","MWI",2010,"early","Eastern Africa","east_central"
"MW7AFL","MWI",2015,"late","Eastern Africa","east_central"
"MW81FL","MWI",2024,"late","Eastern Africa","east_central"
"NM51FL","NAM",2006,"early","Southern Africa","excluded_south"
"NM61FL","NAM",2013,"late","Southern Africa","excluded_south"
"NI51FL","NER",2006,"early","Western Africa","west"
"NI61FL","NER",2012,"early","Western Africa","west"
"NG4BFL","NGA",2003,"early","Western Africa","west"
"NG53FL","NGA",2008,"early","Western Africa","west"
"NG61FL","NGA",2010,"early","Western Africa","west"
"NG6AFL","NGA",2013,"late","Western Africa","west"
"NG7BFL","NGA",2018,"late","Western Africa","west"
"NG8BFL","NGA",2024,"late","Western Africa","west"
"RW53FL","RWA",2005,"early","Eastern Africa","east_central"
"RW5AFL","RWA",2008,"early","Eastern Africa","east_central"
"RW61FL","RWA",2010,"early","Eastern Africa","east_central"
"RW70FL","RWA",2015,"late","Eastern Africa","east_central"
"RW81FL","RWA",2019,"late","Eastern Africa","east_central"
"SN4AFL","SEN",2005,"early","Western Africa","west"
"SN5AFL","SEN",2008,"early","Western Africa","west"
"SN61FL","SEN",2010,"early","Western Africa","west"
"SN6DFL","SEN",2012,"early","Western Africa","west"
"SN71FL","SEN",2014,"late","Western Africa","west"
"SN7AFL","SEN",2015,"late","Western Africa","west"
"SN7IFL","SEN",2016,"late","Western Africa","west"
"SN7ZFL","SEN",2017,"late","Western Africa","west"
"SN81FL","SEN",2018,"late","Western Africa","west"
"SN8BFL","SEN",2019,"late","Western Africa","west"
"SN8SFL","SEN",2023,"late","Western Africa","west"
"SL51FL","SLE",2008,"early","Western Africa","west"
"SL61FL","SLE",2013,"late","Western Africa","west"
"SL7AFL","SLE",2019,"late","Western Africa","west"
"SZ51FL","SWZ",2006,"early","Southern Africa","excluded_south"
"TD41FL","TCD",2004,"early","Middle Africa","east_central"
"TD71FL","TCD",2014,"late","Middle Africa","east_central"
"TG61FL","TGO",2013,"late","Western Africa","west"
"TZ4IFL","TZA",2004,"early","Eastern Africa","east_central"
"TZ63FL","TZA",2010,"early","Eastern Africa","east_central"
"TZ7BFL","TZA",2015,"late","Eastern Africa","east_central"
"TZ82FL","TZA",2022,"late","Eastern Africa","east_central"
"UG52FL","UGA",2006,"early","Eastern Africa","east_central"
"UG5AFL","UGA",2009,"early","Eastern Africa","east_central"
"UG61FL","UGA",2011,"early","Eastern Africa","east_central"
"UG7BFL","UGA",2016,"late","Eastern Africa","east_central"
"ZA71FL","ZAF",2016,"late","Southern Africa","excluded_south"
"ZM51FL","ZMB",2007,"early","Eastern Africa","east_central"
"ZM61FL","ZMB",2013,"late","Eastern Africa","east_central"
"ZM71FL","ZMB",2018,"late","Eastern Africa","east_central"
"ZM81FL","ZMB",2024,"late","Eastern Africa","east_central"
"ZW62FL","ZWE",2010,"early","Eastern Africa","east_central"
"ZW72FL","ZWE",2015,"late","Eastern Africa","east_central"
