"country","status","rows","deaths"
"AGO","reported_numeric",187282,1910
"BDI","reported_numeric",114619,1385
"BEN","reported_numeric",236703,3530
"BFA","reported_numeric",186714,2882
"CIV","reported_numeric",100925,1483
"CMR","reported_numeric",139442,2387
"COD","reported_numeric",287124,4844
"COG","reported_numeric",71280,882
"COM","imputed_child_series",17936,129
"ETH","reported_numeric",285062,3374
"GAB","reported_numeric",69915,621
"GHA","reported_numeric",114259,1062
"GIN","reported_numeric",114161,2157
"GMB","reported_numeric",93729,823
"KEN","reported_numeric",289408,2364
"MDG","reported_numeric",162071,1793
"MLI","reported_numeric",274751,4771
"MOZ","reported_numeric",141922,2088
"MRT","reported_numeric",65292,460
"MWI","reported_numeric",327211,4082
"NAM","reported_numeric",50347,505
"NER","reported_numeric",116160,2299
"NGA","imputed_child_series",737012,14643
"RWA","reported_numeric",213131,2580
"SEN","reported_numeric",566917,6126
"SLE","reported_numeric",156394,3182
"SWZ","reported_numeric",10725,201
"TCD","reported_numeric",128699,2571
"TGO","reported_numeric",35836,482
"TZA","reported_numeric",198977,2140
"UGA","reported_numeric",121275,1805
"ZAF","reported_numeric",15260,103
"ZMB","reported_numeric",220920,2365
"ZWE","reported_numeric",33563,386
