"age_band","pfpr_from_pct","pfpr_to_pct","hazard_ratio","lower_95","upper_95","percent_change","pfpr_p025","pfpr_p975","contrast_within_central_95pct","draw","estimate","variance"
"<1",40,20,1.02716904589382,0.998440359049314,1.05672435942698,2.71690458938242,1.76782403096607,67.5343293391306,TRUE,10,0.0268065190503495,0.000209472122716619
"1-5",40,20,0.973996353026047,0.938930730365396,1.01037154821725,-2.60036469739531,1.76768905979204,67.3804721618428,TRUE,10,-0.0263477196730525,0.000349954376374651
"6-11",40,20,0.888467546686216,0.83987746781345,0.939868744865477,-11.1532453313784,1.75228032887322,67.0775337306141,TRUE,10,-0.118257158012634,0.000823400431416238
"12-23",40,20,0.873754236793508,0.8178106925572,0.933524681521827,-12.6245763206492,1.74737139843124,66.3280806954508,TRUE,10,-0.13495613646904,0.0011396914348884
"24-35",40,20,0.877651330333753,0.815494068026676,0.944546242378563,-12.2348669666247,1.74574104390516,66.3446960305032,TRUE,10,-0.13050588229018,0.00140453809872304
"36-47",40,20,0.867968783090558,0.795109051985524,0.947505007694743,-13.2031216909442,1.74615801560054,66.4693798324298,TRUE,10,-0.141599529149899,0.00200103180727366
"48-59",40,20,1.07396799698414,0.960778062598482,1.20049291657084,7.39679969841429,1.72053231100745,66.3280806954508,TRUE,10,0.0713601976763573,0.00322879294535144
"<1",40,20,1.02416194979883,0.995516541294458,1.05363161324457,2.41619497988259,1.76782403096607,67.5343293391306,TRUE,45,0.0238746682126907,0.000209484384532555
"1-5",40,20,0.974948971250223,0.939808006279193,1.01140391461987,-2.50510287497772,1.76768905979204,67.3804721618428,TRUE,45,-0.0253701465331865,0.000350788564526384
"6-11",40,20,0.89329830607651,0.844396905169002,0.945031724718898,-10.670169392349,1.75228032887322,67.0775337306141,TRUE,45,-0.112834704529909,0.000825035454680077
"12-23",40,20,0.882483618370061,0.826041196341142,0.942782684617938,-11.7516381629939,1.74737139843124,66.3280806954508,TRUE,45,-0.125015053100447,0.00113718908175852
"24-35",40,20,0.885064011246422,0.822469283680248,0.952422564036016,-11.4935988753578,1.74574104390516,66.3446960305032,TRUE,45,-0.122095307497827,0.00140047155843907
"36-47",40,20,0.868580247509649,0.795654075776188,0.948190513104517,-13.1419752490351,1.74615801560054,66.4693798324298,TRUE,45,-0.140895299745963,0.00200189888595031
"48-59",40,20,1.07311408596676,0.959878891431675,1.19970743369789,7.31140859667568,1.72053231100745,66.3280806954508,TRUE,45,0.0705647822898771,0.00323696784723787
"<1",40,20,1.02485745659475,0.99621197415746,1.05432662283163,2.48574565947539,1.76782403096607,67.5343293391306,TRUE,61,0.0245535361828708,0.000209197182616506
"1-5",40,20,0.975009988172549,0.939895952270903,1.01143586663967,-2.49900118274508,1.76768905979204,67.3804721618428,TRUE,61,-0.0253075637572245,0.000350196517478741
"6-11",40,20,0.893795918522108,0.844865325522759,0.945560339421527,-10.6204081477892,1.75228032887322,67.0775337306141,TRUE,61,-0.112277808926298,0.000825103157521249
"12-23",40,20,0.885604796643443,0.82895098418496,0.946130556330793,-11.4395203356557,1.74737139843124,66.3280806954508,TRUE,61,-0.121484481338327,0.00113767747317715
"24-35",40,20,0.8856742439643,0.822995184660377,0.953126921083309,-11.43257560357,1.74574104390516,66.3446960305032,TRUE,61,-0.121406066453602,0.00140238261777577
"36-47",40,20,0.869356588638559,0.796365316412872,0.949037913420932,-13.0643411361441,1.74615801560054,66.4693798324298,TRUE,61,-0.140001894226959,0.00200189422704464
"48-59",40,20,1.07422201726518,0.9608966081531,1.20091270235123,7.42220172651774,1.72053231100745,66.3280806954508,TRUE,61,0.0715966947092395,0.00323535519483849
"<1",40,20,1.02623568412312,0.997542601587598,1.05575408778686,2.62356841231177,1.76782403096607,67.5343293391306,TRUE,125,0.0258974319898756,0.000209331509442153
"1-5",40,20,0.974438223791935,0.939348577711326,1.01083865405988,-2.55617762080648,1.76768905979204,67.3804721618428,TRUE,125,-0.0258941547664134,0.000350119308582565
"6-11",40,20,0.89099897914179,0.842277862153458,0.94253834334669,-10.900102085821,1.75228032887322,67.0775337306141,TRUE,125,-0.115411997256328,0.000823143015093588
"12-23",40,20,0.877367254983302,0.821278213922037,0.937286886548298,-12.2632745016698,1.74737139843124,66.3280806954508,TRUE,125,-0.130829611457847,0.00113609386725565
"24-35",40,20,0.880573844740808,0.818311403959348,0.947573615972886,-11.9426155259192,1.74574104390516,66.3446960305032,TRUE,125,-0.127181487735917,0.001399784399864
"36-47",40,20,0.868483610604484,0.7956140218996,0.948027260866681,-13.1516389395516,1.74615801560054,66.4693798324298,TRUE,125,-0.141006564400758,0.00199911838959219
"48-59",40,20,1.07397996200902,0.960790776042857,1.20050378038335,7.39799620090244,1.72053231100745,66.3280806954508,TRUE,125,0.0713713385653454,0.00322867167864291
"<1",40,20,1.02456075164024,0.995903092669108,1.05404305050229,2.45607516402394,1.76782403096607,67.5343293391306,TRUE,137,0.0242639857578818,0.000209500640210942
"1-5",40,20,0.9755701224519,0.940414316343696,1.01204016918962,-2.44298775481001,1.76768905979204,67.3804721618428,TRUE,137,-0.0247332379023709,0.000350635194973755
"6-11",40,20,0.894564841590883,0.845586853153705,0.946379727671875,-10.5435158409117,1.75228032887322,67.0775337306141,TRUE,137,-0.11141788945892,0.000825286916325573
"12-23",40,20,0.884772083181458,0.828159794013908,0.945254339604067,-11.5227916818542,1.74737139843124,66.3280806954508,TRUE,137,-0.122425200269854,0.00113816571892103
"24-35",40,20,0.885564502553852,0.822886532556821,0.953016554720805,-11.4435497446148,1.74574104390516,66.3446960305032,TRUE,137,-0.121529981324824,0.00140269269939126
"36-47",40,20,0.868902311844776,0.795918260136152,0.948578849541718,-13.1097688155224,1.74615801560054,66.4693798324298,TRUE,137,-0.140524574483621,0.0020036682606261
"48-59",40,20,1.0737094364762,0.960391392422048,1.20039804924804,7.3709436476199,1.72053231100745,66.3280806954508,TRUE,137,0.0711194161649769,0.00323817863786254
"<1",40,20,1.02571711157151,0.997041862798193,1.05521706984087,2.57171115715065,1.76782403096607,67.5343293391306,TRUE,146,0.025391989015028,0.0002092821340013
"1-5",40,20,0.974404500911598,0.939313142873683,1.01080682049443,-2.5595499088402,1.76768905979204,67.3804721618428,TRUE,146,-0.0259287628750237,0.000350178794138276
"6-11",40,20,0.890475864140671,0.841771832914343,0.941997859291359,-10.9524135859329,1.75228032887322,67.0775337306141,TRUE,146,-0.115999280335993,0.000823543677884085
"12-23",40,20,0.87782212296277,0.821673708680666,0.937807394129898,-12.217787703723,1.74737139843124,66.3280806954508,TRUE,146,-0.130311299308323,0.00113736225546594
"24-35",40,20,0.881468343471947,0.819107399344234,0.948577001215254,-11.8531656528053,1.74574104390516,66.3446960305032,TRUE,146,-0.12616618990257,0.00140142808549086
"36-47",40,20,0.868721232527461,0.795838299355698,0.94827879037112,-13.1278767472539,1.74615801560054,66.4693798324298,TRUE,146,-0.140732996288859,0.00199874043782841
"48-59",40,20,1.07415355802271,0.960937422604472,1.20070864040827,7.41535580227066,1.72053231100745,66.3280806954508,TRUE,146,0.0715329635411128,0.00322919384864549
"<1",40,20,1.02607182482016,0.997381790374132,1.05558713809567,2.60718248201581,1.76782403096607,67.5343293391306,TRUE,153,0.0257377489963731,0.000209354207059375
"1-5",40,20,0.974296889777479,0.939216320392756,1.01068774979668,-2.57031102225208,1.76768905979204,67.3804721618428,TRUE,153,-0.0260392068196346,0.000350038256446307
"6-11",40,20,0.89025814031056,0.841568489210633,0.941764772030159,-10.974185968944,1.75228032887322,67.0775337306141,TRUE,153,-0.116243813018192,0.000823457669641113
"12-23",40,20,0.877232291498404,0.82111720045011,0.937182283875804,-12.2767708501596,1.74737139843124,66.3280806954508,TRUE,153,-0.130983451102265,0.00113754684868886
"24-35",40,20,0.881964784716478,0.81955175558972,0.949130883040158,-11.8035215283522,1.74574104390516,66.3446960305032,TRUE,153,-0.125603150397743,0.00140221886164806
"36-47",40,20,0.868886938778324,0.795984599096829,0.948466230673551,-13.1113061221676,1.74615801560054,66.4693798324298,TRUE,153,-0.140542267154291,0.0019990559121562
"48-59",40,20,1.07443095178008,0.9611878932589,1.20101582452215,7.44309517800796,1.72053231100745,66.3280806954508,TRUE,153,0.0717911742446235,0.00322905423553034
"<1",40,20,1.02534953501022,0.996684877309616,1.05483858828439,2.5349535010219,1.76782403096607,67.5343293391306,TRUE,158,0.0250335642258234,0.00020927746866829
"1-5",40,20,0.974470638702729,0.939370665568875,1.01088213683854,-2.55293612972711,1.76768905979204,67.3804721618428,TRUE,158,-0.0258608900905525,0.000350305511294966
"6-11",40,20,0.890986632036017,0.842243509188739,0.942550663562299,-10.9013367963983,1.75228032887322,67.0775337306141,TRUE,158,-0.115425854950459,0.000823931574731023
"12-23",40,20,0.878276753016094,0.822096732550466,0.938295974605568,-12.1723246983906,1.74737139843124,66.3280806954508,TRUE,158,-0.12979352656819,0.00113746801891151
"24-35",40,20,0.882476821317431,0.820041689041526,0.949665548190297,-11.7523178682569,1.74574104390516,66.3446960305032,TRUE,158,-0.125022755315723,0.00140156046232337
"36-47",40,20,0.868919992265597,0.796017565785875,0.948499110334888,-13.1080007734403,1.74615801560054,66.4693798324298,TRUE,158,-0.140504226694575,0.00199890194012724
"48-59",40,20,1.07378848866303,0.960593855555368,1.20032177149271,7.37884886630294,1.72053231100745,66.3280806954508,TRUE,158,0.0711930387617121,0.00323021867481174
"<1",40,20,1.02288459452712,0.994297664352955,1.05229342402388,2.28845945271248,1.76782403096607,67.5343293391306,TRUE,175,0.0226266697819449,0.000209146578428953
