"iso3","source_age","deaths","rate_per100000","implied_person_years","ihme_deaths_lower","ihme_deaths_upper","ihme_rate_lower","ihme_rate_upper"
"AGO","0 to 6 days (early neonatal)",19786.4622451477,91431.6968151199,21640.7033166595,18603.8425492302,20970.8337428838,85966.9035567278,96904.5850129098
"AGO","7 to 27 days (late neonatal)",4181.25234048612,6528.42712636695,64046.8563032421,3880.09841458173,4515.79824217723,6058.21837095432,7050.77267305099
"AGO","1 to 5 months",13673.4103389223,2931.91252318325,466364.880630094,12728.700739216,14869.4217921503,2729.34375376176,3188.36653653265
"AGO","6-11 months",11709.7947770341,2183.84678147913,536200.381654204,10919.9939092064,12534.607718175,2036.55093931819,2337.67228577964
"AGO","12 to 23 months",9451.92650518088,893.39326392628,1057980.4982681,8657.80765896757,10207.7090913221,818.33338829405,964.82960773209
"AGO","2 to 4",18518.2026563225,608.48534274296,3043327.64579755,17262.5042868654,19989.2299400277,567.22464013045,656.82148840038
"BDI","0 to 6 days (early neonatal)",9707.90300652462,112467.456594823,8631.74406219435,9185.46571699669,10232.9915587009,106414.945239486,118550.683210357
"BDI","7 to 27 days (late neonatal)",2941.21140358087,11534.5113590092,25499.2284634893,2720.7234601849,3181.35981338722,10669.8265952655,12476.2983238587
"BDI","1 to 5 months",7215.70472469568,3894.66119689104,185271.692707332,6716.23084208004,7735.06872668653,3625.07123669964,4174.98680648715
"BDI","6-11 months",5342.98961105673,2513.33722647417,212585.464249544,4941.89366251121,5787.78719115245,2324.66207412477,2722.56958470051
"BDI","12 to 23 months",5293.9663414667,1272.56332607049,416008.086435571,4873.13382855515,5692.18452448792,1171.4036307104,1368.28699010626
"BDI","2 to 4",8966.85323775411,767.71228165879,1167996.58569738,8363.32353759085,9672.41311609717,716.04006724021,828.11998207358
"BEN","0 to 6 days (early neonatal)",9540.28950538034,108414.45997254,8799.83122896775,9068.41924618015,10050.3998802294,103052.195095836,114211.279952108
