"iso3","country","pfpr_pct","status","map_population_coverage_within_raster","map_coverage_below_95pct","ihme_under5_deaths","counterfactual_under5_deaths","attributable_under5_deaths","attributable_fraction","model_id","hiv_treatment","year"
"AGO","Angola",20.3401829769949,"estimated",0.997135198338393,FALSE,78496.5769564463,60106.9904640331,18389.5864924132,0.234272463914148,"age_band_separate_v1","posterior_median",2024
"BDI","Burundi",23.4246685162394,"estimated",0.903118502531811,TRUE,43783.7562317263,33077.9795730309,10705.7766586955,0.244514805948466,"age_band_separate_v1","posterior_median",2024
"BEN","Benin",36.4070797441475,"estimated",1,FALSE,33993.4310312077,23868.8489571918,10124.5820740159,0.297839369751203,"age_band_separate_v1","posterior_median",2024
"BFA","Burkina Faso",20.8912355688325,"estimated",1,FALSE,54484.0205521835,42560.9336342601,11923.0869179234,0.218836400050612,"age_band_separate_v1","posterior_median",2024
"BWA","Botswana",0.0785030798269115,"estimated",0.500006041684288,TRUE,1172.25308563155,1171.08323448057,1.1698511509753,0.00099795101016522,"age_band_separate_v1","posterior_median",2024
"CAF","Central African Republic",33.7356038277751,"estimated",1,FALSE,30131.6302473719,22391.7666814987,7739.86356587316,0.256868397173706,"age_band_separate_v1","posterior_median",2024
"CIV","Cote d'Ivoire",21.6015841554766,"estimated",0.999044906250652,FALSE,76149.5103506282,60636.611003502,15512.8993471262,0.203716337448495,"age_band_separate_v1","posterior_median",2024
"CMR","Cameroon",25.1740174516115,"estimated",0.994188327616715,FALSE,76158.9596642578,56231.6087245268,19927.350939731,0.261654715710135,"age_band_separate_v1","posterior_median",2024
"COD","Democratic Republic of the Congo",36.0589155594133,"estimated",0.967916469947541,FALSE,207594.492222304,148522.830836368,59071.6613859364,0.284553124476343,"age_band_separate_v1","posterior_median",2024
"COG","Congo",23.0367800311056,"estimated",0.999607704919486,FALSE,7790.75347139419,6015.89360519971,1774.85986619447,0.227816201951626,"age_band_separate_v1","posterior_median",2024
"COM","Comoros",2.05693091322994,"estimated",0.977875023773357,FALSE,991.364747730025,968.574334870184,22.7904128598407,0.0229889280529946,"age_band_separate_v1","posterior_median",2024
"CPV","Cape Verde",,"missing_MAP_no_estimate",,,171.633171400473,,,,"age_band_separate_v1","posterior_median",2024
"DJI","Djibouti",4.3967566637446,"estimated",0.900244405140964,TRUE,1619.05851447361,1551.45324077284,67.6052737007714,0.041755917464633,"age_band_separate_v1","posterior_median",2024
"ERI","Eritrea",1.01244593723427,"estimated",0.941587510523092,TRUE,11415.5571326635,11197.1944554463,218.362677217217,0.0191285168721562,"age_band_separate_v1","posterior_median",2024
"ETH","Ethiopia",3.96841512486915,"estimated",0.827585277262,TRUE,191455.600459436,183586.342657733,7869.25780170302,0.0411022596509017,"age_band_separate_v1","posterior_median",2024
"GAB","Gabon",18.3938632660677,"estimated",0.999284909726468,FALSE,1762.17544190006,1448.50003754196,313.6754043581,0.178004639549329,"age_band_separate_v1","posterior_median",2024
"GHA","Ghana",16.1544407206884,"estimated",0.999730304961018,FALSE,39450.0929558237,33008.7008642692,6441.39209155456,0.163279516191955,"age_band_separate_v1","posterior_median",2024
"GIN","Guinea",21.3998882059171,"estimated",0.996935005435981,FALSE,41823.6813861269,31858.2352607976,9965.44612532933,0.238272810882566,"age_band_separate_v1","posterior_median",2024
"GMB","The Gambia",7.44118125415429,"estimated",0.99989435444155,FALSE,4149.15874769844,3801.95634037464,347.202407323794,0.0836801936094609,"age_band_separate_v1","posterior_median",2024
