"age_band","series","fit_id"
"<1","snow","snow_age_1"
"1-5","snow","snow_age_2"
"6-11","snow","snow_age_3"
"12-23","snow","snow_age_4"
"24-35","snow","snow_age_5"
"36-47","snow","snow_age_6"
"48-59","snow","snow_age_7"
"<1","map_matched","map_matched_age_1"
"1-5","map_matched","map_matched_age_2"
"6-11","map_matched","map_matched_age_3"
"12-23","map_matched","map_matched_age_4"
"24-35","map_matched","map_matched_age_5"
"36-47","map_matched","map_matched_age_6"
"48-59","map_matched","map_matched_age_7"
"<1","snow_matched","snow_matched_age_1"
"1-5","snow_matched","snow_matched_age_2"
"6-11","snow_matched","snow_matched_age_3"
"12-23","snow_matched","snow_matched_age_4"
"24-35","snow_matched","snow_matched_age_5"
"36-47","snow_matched","snow_matched_age_6"
"48-59","snow_matched","snow_matched_age_7"
