"series","age_band","log_hazard_ratio","standard_error","pfpr_p025","pfpr_p975","hazard_ratio_40_to_20","lower_95","upper_95","within_central_support"
"reference","<1",0.0388822767425188,0.0185800516170781,0.446305493779025,78.6700872587556,0.961863936237332,0.927465967485273,0.997537660969394,TRUE
"gamma14","<1",0.0350612279128821,0.0150627907331103,0.446305493779025,78.6700872587556,0.965546296063183,0.937457085408306,0.994477149250284,TRUE
"cs","<1",0.021396520284174,0.0131135229042497,0.446305493779025,78.6700872587556,0.97883076135767,0.953992923595154,1.00431526868079,TRUE
"reference","1-5",0.0746979378620767,0.0194144826790488,0.449482999463637,78.6587450980415,0.92802376483811,0.89337368631892,0.964017769152039,TRUE
"gamma14","1-5",0.080431606932305,0.017113833251924,0.449482999463637,78.6587450980415,0.922718008940996,0.892280512353997,0.954193790221718,TRUE
"cs","1-5",0.07198317844129,0.0229662310724498,0.449482999463637,78.6587450980415,0.930546548922956,0.889587869623897,0.973391060377788,TRUE
"reference","6-11",0.136301647915834,0.026788171287656,0.449482311432971,78.6700872587556,0.8725793810344,0.827946728986314,0.919618073905046,TRUE
"gamma14","6-11",0.140820726045664,0.0227392778779332,0.449482311432971,78.6700872587556,0.868645023167963,0.830780456734727,0.90823534684495,TRUE
"cs","6-11",0.135164439626926,0.0277037054021061,0.449482311432971,78.6700872587556,0.87357224998164,0.827402749239455,0.922318032710731,TRUE
"reference","12-23",0.100641027911017,0.044605036404903,0.446305493779025,78.6587450980415,0.904257577862789,0.828559275372304,0.986871780241506,TRUE
"gamma14","12-23",0.121631692820347,0.0410801892880909,0.446305493779025,78.6587450980415,0.885474435044443,0.816973301119013,0.959719214867044,TRUE
"cs","12-23",0.118280743071729,0.0412794439818352,0.446305493779025,78.6587450980415,0.888446592373728,0.819395461022673,0.963316719518232,TRUE
"reference","24-35",0.15589458371742,0.0491956933565365,0.445395692942844,78.7575709959414,0.855649384994302,0.7769975026625,0.942262835507646,TRUE
"gamma14","24-35",0.179167398864988,0.0447022616593976,0.445395692942844,78.7575709959414,0.835965947932652,0.765838603589013,0.912514807725687,TRUE
"cs","24-35",0.16196070337731,0.0471442357692799,0.445395692942844,78.7575709959414,0.850474624664013,0.775409962604968,0.932806027881643,TRUE
"reference","36-47",0.12767756739724,0.0528177856644212,0.431176596603031,78.7887498495931,0.880137118300648,0.793580394919184,0.976134682724182,TRUE
"gamma14","36-47",0.133586937150836,0.0473021013313518,0.431176596603031,78.7887498495931,0.874951399889223,0.79747957514043,0.959949290279071,TRUE
"cs","36-47",0.132998375977928,0.0483719068330883,0.431176596603031,78.7887498495931,0.875466513884559,0.796277677115775,0.962530583187182,TRUE
"reference","48-59",0.117559242986844,0.0543609831584276,0.445395692942844,78.7887498495931,0.8890878379671,0.799229796066429,0.989048691016658,TRUE
"gamma14","48-59",0.115165180839262,0.0513005317350696,0.445395692942844,78.7887498495931,0.891218919458755,0.805965595363334,0.985490158600589,TRUE
"cs","48-59",0.122110229138756,0.0471920782574689,0.445395692942844,78.7887498495931,0.88505080473758,0.806858713277791,0.970820434948878,TRUE
"gamma2","<1",0.035589767470389,0.012627994878471,0.446305493779025,78.6700872587556,0.965036101491993,0.941443787963883,0.989219631686169,TRUE
"gamma2","1-5",0.0828011389951352,0.0153326070779778,0.449482999463637,78.6587450980415,0.92053418737326,0.893281919260695,0.948617868392844,TRUE
"gamma2","6-11",0.143355566791482,0.019630503093609,0.449482311432971,78.6700872587556,0.866445934716595,0.833741936757154,0.900432765451236,TRUE
"gamma2","12-23",0.13912246424782,0.0373175229401512,0.446305493779025,78.6587450980415,0.870121463162667,0.808750504624985,0.93614947542742,TRUE
"gamma2","24-35",0.196189707846409,0.0400478802832871,0.445395692942844,78.7575709959414,0.821856307298215,0.759812525426725,0.888966379524363,TRUE
"gamma2","36-47",0.144443661269689,0.0415001576078293,0.431176596603031,78.7887498495931,0.865503672407539,0.797890451178409,0.938846436681364,TRUE
"gamma2","48-59",0.123405471713156,0.0459660930606341,0.445395692942844,78.7887498495931,0.883905191338562,0.807752956504118,0.967236803015375,TRUE
