"series","age_band","edf"
"reference","<1",2.10010950731431
"gamma14","<1",1.75787365689886
"cs","<1",1.00640063464695
"reference","1-5",1.00156827062832
"gamma14","1-5",1.00145536682535
"cs","1-5",1.49009774683872
"reference","6-11",1.8443515484752
"gamma14","6-11",1.6424627548586
"cs","6-11",1.9186403496723
"reference","12-23",3.38319922671207
"gamma14","12-23",3.34559995800131
"cs","12-23",3.07891923791651
"reference","24-35",3.42988026945059
"gamma14","24-35",3.35110013569245
"cs","24-35",3.25849619786059
"reference","36-47",3.07425270650252
"gamma14","36-47",2.99841009093195
"cs","36-47",2.77462249398153
"reference","48-59",2.57211194183143
"gamma14","48-59",2.71576093971808
"cs","48-59",2.12808378121418
"gamma2","<1",1.59145875663264
"gamma2","1-5",1.00105524748923
"gamma2","6-11",1.51252220233022
"gamma2","12-23",3.28592939352667
"gamma2","24-35",3.23297605408023
"gamma2","36-47",2.86068273729932
"gamma2","48-59",2.56742068129297
