"fit_id","rows","deaths","countries","surveys","regions","converged","iterations","rank","coefficients","finite_coefficients","finite_covariance","elapsed_seconds","min_smoothing_hessian_eigenvalue","max_smoothing_gradient","warnings","series","age_band","pfpr_basis","gamma","input_verified"
"reference_age_1",620799,18763,31,69,587,TRUE,13,711,711,TRUE,TRUE,23.4,0.323465151716961,5.84163758361456e-05,"openMP not available: single threaded computation only","reference","<1","cr",1,TRUE
"gamma2_age_1",620799,18763,31,69,587,TRUE,12,711,711,TRUE,TRUE,18.05,0.000517266358850746,0.000564998989485588,"openMP not available: single threaded computation only","gamma2","<1","cr",2,TRUE
"reference_age_2",552179,8278,31,69,587,TRUE,18,711,711,TRUE,TRUE,29.417,0.000236177162607484,0.0002359335718182,"openMP not available: single threaded computation only","reference","1-5","cr",1,TRUE
"gamma2_age_2",552179,8278,31,69,587,TRUE,14,711,711,TRUE,TRUE,18.886,0.000127228240820572,0.000354455639937967,"openMP not available: single threaded computation only","gamma2","1-5","cr",2,TRUE
"reference_age_3",524318,8046,31,69,587,TRUE,13,711,711,TRUE,TRUE,23.062,0.000240451586106753,0.000240224533372027,"openMP not available: single threaded computation only","reference","6-11","cr",1,TRUE
"gamma2_age_3",524318,8046,31,69,587,TRUE,17,711,711,TRUE,TRUE,23.221,0.000266711992220743,0.000266793321423137,"openMP not available: single threaded computation only","gamma2","6-11","cr",2,TRUE
"reference_age_4",446360,7854,31,69,587,TRUE,21,711,711,TRUE,TRUE,26.358,0.000281312109491829,0.000281480726955699,"openMP not available: single threaded computation only","reference","12-23","cr",1,TRUE
"gamma2_age_4",446360,7854,31,69,587,TRUE,21,711,711,TRUE,TRUE,20.835,0.000180944892529931,0.000180997329120819,"openMP not available: single threaded computation only","gamma2","12-23","cr",2,TRUE
"reference_age_5",443341,6363,31,69,587,TRUE,24,711,711,TRUE,TRUE,36.198,0.827869850124679,0.000165722632658571,"openMP not available: single threaded computation only","reference","24-35","cr",1,TRUE
"gamma2_age_5",443341,6363,31,69,587,TRUE,15,711,711,TRUE,TRUE,15.792,0.00022437405015559,0.000224876260567027,"openMP not available: single threaded computation only","gamma2","24-35","cr",2,TRUE
"reference_age_6",426863,3801,31,69,587,TRUE,18,711,711,TRUE,TRUE,24.314,0.000284443764712221,0.000284598311612733,"openMP not available: single threaded computation only","reference","36-47","cr",1,TRUE
"gamma2_age_6",426863,3801,31,69,587,TRUE,22,711,711,TRUE,TRUE,20.447,6.40088207962869e-05,8.89610877435774e-05,"openMP not available: single threaded computation only","gamma2","36-47","cr",2,TRUE
"reference_age_7",415450,2152,31,69,587,TRUE,22,711,711,TRUE,TRUE,29.452,0.0488611631816642,1.42374407303691e-05,"openMP not available: single threaded computation only","reference","48-59","cr",1,TRUE
"gamma2_age_7",415450,2152,31,69,587,TRUE,26,711,711,TRUE,TRUE,32.63,2.19082909618197e-05,8.20037168072218e-05,"openMP not available: single threaded computation only","gamma2","48-59","cr",2,TRUE
