"fit_id","series","age_band","selected_version","model_file","md5","input_signature"
"reference_age_1","reference","<1","original","data/derived_cbh/models/age_band_snow_2000_2015_v1/snow_age_1.rds","f4c848a0bebf2ab1e055bca2442c7d00","93a1726158515f5b9783d6a001c666b7405e12f8b3c580cc7e913e6c957ac23d"
"gamma2_age_1","gamma2","<1","original","data/derived_cbh/models/age_band_snow_2000_2015_v1/penalty_sensitivity/gamma2/gamma2_age_1.rds","903f2508980a4b7911fed7f790e1450e","93a1726158515f5b9783d6a001c666b7405e12f8b3c580cc7e913e6c957ac23d"
"reference_age_2","reference","1-5","original","data/derived_cbh/models/age_band_snow_2000_2015_v1/snow_age_2.rds","8bd93f648254888d34bc899d1d9754c4","93a1726158515f5b9783d6a001c666b7405e12f8b3c580cc7e913e6c957ac23d"
"gamma2_age_2","gamma2","1-5","original","data/derived_cbh/models/age_band_snow_2000_2015_v1/penalty_sensitivity/gamma2/gamma2_age_2.rds","8fd10cdbe05022b875bb2600589b79a7","93a1726158515f5b9783d6a001c666b7405e12f8b3c580cc7e913e6c957ac23d"
"reference_age_3","reference","6-11","original","data/derived_cbh/models/age_band_snow_2000_2015_v1/snow_age_3.rds","6129930d2ebe24bfb047036836f7c1f1","93a1726158515f5b9783d6a001c666b7405e12f8b3c580cc7e913e6c957ac23d"
"gamma2_age_3","gamma2","6-11","original","data/derived_cbh/models/age_band_snow_2000_2015_v1/penalty_sensitivity/gamma2/gamma2_age_3.rds","49c9cf94c073a840462f45c914f3d4e9","93a1726158515f5b9783d6a001c666b7405e12f8b3c580cc7e913e6c957ac23d"
"reference_age_4","reference","12-23","original","data/derived_cbh/models/age_band_snow_2000_2015_v1/snow_age_4.rds","12a10eed7803d3893c00dcad2c195a97","93a1726158515f5b9783d6a001c666b7405e12f8b3c580cc7e913e6c957ac23d"
"gamma2_age_4","gamma2","12-23","original","data/derived_cbh/models/age_band_snow_2000_2015_v1/penalty_sensitivity/gamma2/gamma2_age_4.rds","97799b7670e6245a9d9b7723627a4b8f","93a1726158515f5b9783d6a001c666b7405e12f8b3c580cc7e913e6c957ac23d"
"reference_age_5","reference","24-35","original","data/derived_cbh/models/age_band_snow_2000_2015_v1/snow_age_5.rds","0e3df06965129751fea4f0a23d838daa","93a1726158515f5b9783d6a001c666b7405e12f8b3c580cc7e913e6c957ac23d"
"gamma2_age_5","gamma2","24-35","original","data/derived_cbh/models/age_band_snow_2000_2015_v1/penalty_sensitivity/gamma2/gamma2_age_5.rds","e1c6c9bef01509a5f284a2047a7b8c27","93a1726158515f5b9783d6a001c666b7405e12f8b3c580cc7e913e6c957ac23d"
"reference_age_6","reference","36-47","original","data/derived_cbh/models/age_band_snow_2000_2015_v1/snow_age_6.rds","6f8aaa7fea7aba1670ff3aeed6e8db57","93a1726158515f5b9783d6a001c666b7405e12f8b3c580cc7e913e6c957ac23d"
"gamma2_age_6","gamma2","36-47","original","data/derived_cbh/models/age_band_snow_2000_2015_v1/penalty_sensitivity/gamma2/gamma2_age_6.rds","0f55ce9971b000f1c1a121aaa1ab4da0","93a1726158515f5b9783d6a001c666b7405e12f8b3c580cc7e913e6c957ac23d"
"reference_age_7","reference","48-59","original","data/derived_cbh/models/age_band_snow_2000_2015_v1/snow_age_7.rds","7d3660526e26739767c002590ce18b28","93a1726158515f5b9783d6a001c666b7405e12f8b3c580cc7e913e6c957ac23d"
"gamma2_age_7","gamma2","48-59","original","data/derived_cbh/models/age_band_snow_2000_2015_v1/penalty_sensitivity/gamma2/gamma2_age_7.rds","be23619924364cf98e604f57a6fa468b","93a1726158515f5b9783d6a001c666b7405e12f8b3c580cc7e913e6c957ac23d"
