"fit_id","rows","exposure_matches_prepared","outcome_and_all_nuisance_variables_match","offset_matches","prepared_signature","fit_file_md5"
"snow_age_1",620799,TRUE,TRUE,TRUE,"93a1726158515f5b9783d6a001c666b7405e12f8b3c580cc7e913e6c957ac23d","f4c848a0bebf2ab1e055bca2442c7d00"
"snow_age_2",552179,TRUE,TRUE,TRUE,"93a1726158515f5b9783d6a001c666b7405e12f8b3c580cc7e913e6c957ac23d","8bd93f648254888d34bc899d1d9754c4"
"snow_age_3",524318,TRUE,TRUE,TRUE,"93a1726158515f5b9783d6a001c666b7405e12f8b3c580cc7e913e6c957ac23d","6129930d2ebe24bfb047036836f7c1f1"
"snow_age_4",446360,TRUE,TRUE,TRUE,"93a1726158515f5b9783d6a001c666b7405e12f8b3c580cc7e913e6c957ac23d","12a10eed7803d3893c00dcad2c195a97"
"snow_age_5",443341,TRUE,TRUE,TRUE,"93a1726158515f5b9783d6a001c666b7405e12f8b3c580cc7e913e6c957ac23d","0e3df06965129751fea4f0a23d838daa"
"snow_age_6",426863,TRUE,TRUE,TRUE,"93a1726158515f5b9783d6a001c666b7405e12f8b3c580cc7e913e6c957ac23d","6f8aaa7fea7aba1670ff3aeed6e8db57"
"snow_age_7",415450,TRUE,TRUE,TRUE,"93a1726158515f5b9783d6a001c666b7405e12f8b3c580cc7e913e6c957ac23d","7d3660526e26739767c002590ce18b28"
"map_matched_age_1",620695,TRUE,TRUE,TRUE,"93a1726158515f5b9783d6a001c666b7405e12f8b3c580cc7e913e6c957ac23d","88a934eb63d36551c850d5d91a906b66"
"map_matched_age_2",552072,TRUE,TRUE,TRUE,"93a1726158515f5b9783d6a001c666b7405e12f8b3c580cc7e913e6c957ac23d","402432cd6257ac67a27cf7ab1715761e"
"map_matched_age_3",524193,TRUE,TRUE,TRUE,"93a1726158515f5b9783d6a001c666b7405e12f8b3c580cc7e913e6c957ac23d","c734fdb1d966f26ea18208d8181ab0aa"
"map_matched_age_4",446236,TRUE,TRUE,TRUE,"93a1726158515f5b9783d6a001c666b7405e12f8b3c580cc7e913e6c957ac23d","5df042ac10cfb33f76f42f687f8d8bce"
"map_matched_age_5",443238,TRUE,TRUE,TRUE,"93a1726158515f5b9783d6a001c666b7405e12f8b3c580cc7e913e6c957ac23d","46526c936feb1b96427623d0d405591a"
"map_matched_age_6",426757,TRUE,TRUE,TRUE,"93a1726158515f5b9783d6a001c666b7405e12f8b3c580cc7e913e6c957ac23d","b0931a30fc85a4767009bd1689b9fdf1"
"map_matched_age_7",415353,TRUE,TRUE,TRUE,"93a1726158515f5b9783d6a001c666b7405e12f8b3c580cc7e913e6c957ac23d","f9b989854a5ab25bf3e39c5daa47b3a7"
"snow_matched_age_1",620695,TRUE,TRUE,TRUE,"93a1726158515f5b9783d6a001c666b7405e12f8b3c580cc7e913e6c957ac23d","7fc23b0338d91f42d2829e133fbde595"
"snow_matched_age_2",552072,TRUE,TRUE,TRUE,"93a1726158515f5b9783d6a001c666b7405e12f8b3c580cc7e913e6c957ac23d","5e09250e2b08a6d1f38e9473d95c2fb8"
"snow_matched_age_3",524193,TRUE,TRUE,TRUE,"93a1726158515f5b9783d6a001c666b7405e12f8b3c580cc7e913e6c957ac23d","2752ecf5f4638862e4a47bd58a139e87"
"snow_matched_age_4",446236,TRUE,TRUE,TRUE,"93a1726158515f5b9783d6a001c666b7405e12f8b3c580cc7e913e6c957ac23d","a6ac18c104fec75c90f0da3e319130c6"
"snow_matched_age_5",443238,TRUE,TRUE,TRUE,"93a1726158515f5b9783d6a001c666b7405e12f8b3c580cc7e913e6c957ac23d","641657f82b511561adb82d1caa054d03"
"snow_matched_age_6",426757,TRUE,TRUE,TRUE,"93a1726158515f5b9783d6a001c666b7405e12f8b3c580cc7e913e6c957ac23d","ebf8eed8737cdb3050d54be2253eaadd"
"snow_matched_age_7",415353,TRUE,TRUE,TRUE,"93a1726158515f5b9783d6a001c666b7405e12f8b3c580cc7e913e6c957ac23d","210104fded563fab6d59c5dca6088f8e"
