"age_band","series","fit_id","model_file","selected_version","model_file_md5"
"<1","snow","snow_age_1","snow_age_1.rds","original","f4c848a0bebf2ab1e055bca2442c7d00"
"1-5","snow","snow_age_2","snow_age_2.rds","original","8bd93f648254888d34bc899d1d9754c4"
"6-11","snow","snow_age_3","snow_age_3.rds","original","6129930d2ebe24bfb047036836f7c1f1"
"12-23","snow","snow_age_4","snow_age_4.rds","original","12a10eed7803d3893c00dcad2c195a97"
"24-35","snow","snow_age_5","snow_age_5.rds","original","0e3df06965129751fea4f0a23d838daa"
"36-47","snow","snow_age_6","snow_age_6.rds","original","6f8aaa7fea7aba1670ff3aeed6e8db57"
"48-59","snow","snow_age_7","snow_age_7.rds","original","7d3660526e26739767c002590ce18b28"
"<1","map_matched","map_matched_age_1","map_matched_age_1.rds","original","88a934eb63d36551c850d5d91a906b66"
"1-5","map_matched","map_matched_age_2","map_matched_age_2.rds","original","402432cd6257ac67a27cf7ab1715761e"
"6-11","map_matched","map_matched_age_3","map_matched_age_3.rds","original","c734fdb1d966f26ea18208d8181ab0aa"
"12-23","map_matched","map_matched_age_4","map_matched_age_4.rds","original","5df042ac10cfb33f76f42f687f8d8bce"
"24-35","map_matched","map_matched_age_5","stability/map_matched_age_5_strict.rds","strict_restart","46526c936feb1b96427623d0d405591a"
"36-47","map_matched","map_matched_age_6","map_matched_age_6.rds","original","b0931a30fc85a4767009bd1689b9fdf1"
"48-59","map_matched","map_matched_age_7","map_matched_age_7.rds","original","f9b989854a5ab25bf3e39c5daa47b3a7"
"<1","snow_matched","snow_matched_age_1","snow_matched_age_1.rds","original","7fc23b0338d91f42d2829e133fbde595"
"1-5","snow_matched","snow_matched_age_2","snow_matched_age_2.rds","original","5e09250e2b08a6d1f38e9473d95c2fb8"
"6-11","snow_matched","snow_matched_age_3","snow_matched_age_3.rds","original","2752ecf5f4638862e4a47bd58a139e87"
"12-23","snow_matched","snow_matched_age_4","snow_matched_age_4.rds","original","a6ac18c104fec75c90f0da3e319130c6"
"24-35","snow_matched","snow_matched_age_5","snow_matched_age_5.rds","original","641657f82b511561adb82d1caa054d03"
"36-47","snow_matched","snow_matched_age_6","snow_matched_age_6.rds","original","ebf8eed8737cdb3050d54be2253eaadd"
"48-59","snow_matched","snow_matched_age_7","snow_matched_age_7.rds","original","210104fded563fab6d59c5dca6088f8e"
