"survey","country","survey_year","eligible_rows","within_2000_2015","missing_snow_rows","inadequate_snow_coverage_rows","incomplete_confounder_rows","snow_rows","snow_deaths","matched_map_rows","matched_map_deaths"
"AO62FL","AGO",2011,44181,44181,0,0,0,44181,600,44181,600
"AO71FL","AGO",2015,78397,39662,0,0,0,39662,463,39662,463
"AO81FL","AGO",2023,64704,0,0,0,0,0,0,0,0
"BU61FL","BDI",2010,42380,42380,3776,0,7,38597,550,38597,550
"BU71FL","BDI",2016,76022,0,0,0,0,0,0,0,0
"BJ41FL","BEN",2001,7397,7397,5809,0,1588,0,0,0,0
"BJ51FL","BEN",2006,88834,88834,0,0,5115,83719,1591,83719,1591
"BJ61FL","BEN",2012,78271,78271,0,0,0,78271,854,78171,854
"BJ71FL","BEN",2017,74813,0,0,0,0,0,0,0,0
"BF43FL","BFA",2003,41968,41968,1190,0,12885,27893,729,27893,729
"BF62FL","BFA",2010,84743,84743,0,0,49,84694,1610,84694,1610
"BF81FL","BFA",2021,74127,0,0,0,0,0,0,0,0
"CI62FL","CIV",2012,42723,42723,2884,0,25,39814,719,39760,718
"CI81FL","CIV",2021,61165,0,0,0,0,0,0,0,0
"CM44FL","CMR",2004,38707,38707,0,0,9858,28849,623,28849,623
"CM61FL","CMR",2011,64649,64649,0,0,30,64619,1151,64619,1151
"CM71FL","CMR",2018,55451,0,0,0,0,0,0,0,0
"CD51FL","COD",2007,47647,47647,0,0,269,47378,1115,47378,1115
"CD61FL","COD",2013,102125,102125,0,0,0,102125,1686,102125,1686
"CD81FL","COD",2023,137621,0,0,0,0,0,0,0,0
"CG51FL","COG",2005,25794,25794,0,0,5530,20264,347,20264,347
"CG61FL","COG",2011,51029,51029,0,0,13,51016,535,51016,535
"KM61FL","COM",2012,17998,17998,17998,0,0,0,0,0,0
"ET41FL","ETH",2000,468,468,0,26,442,0,0,0,0
"ET51FL","ETH",2005,57107,57107,0,2357,12980,41770,716,41770,716
"ET61FL","ETH",2011,68467,68467,0,2355,0,66112,944,65962,943
"ET71FL","ETH",2016,62705,0,0,0,0,0,0,0,0
"ET81FL","ETH",2019,33797,0,0,0,0,0,0,0,0
"ET8AFL","ETH",2024,81174,0,0,0,0,0,0,0,0
"GA41FL","GAB",2000,1508,1508,0,0,1508,0,0,0,0
"GA61FL","GAB",2012,33506,33506,0,0,26,33480,330,33480,330
"GA71FL","GAB",2019,36435,0,0,0,0,0,0,0,0
"GH4BFL","GHA",2003,15353,15353,0,0,4877,10476,199,10476,199
"GH5AFL","GHA",2008,16772,16772,0,0,72,16700,217,16700,217
"GH72FL","GHA",2014,33352,33352,0,0,0,33352,325,33352,325
"GH8CFL","GHA",2022,53731,0,0,0,0,0,0,0,0
"GN52FL","GIN",2005,35908,35908,0,0,8569,27339,655,27339,655
"GN62FL","GIN",2012,39920,39920,0,0,0,39920,733,39920,733
"GN71FL","GIN",2018,46902,0,0,0,0,0,0,0,0
"GM61FL","GMB",2013,44611,44611,0,0,7,44604,337,44604,337
"GM81FL","GMB",2019,49125,0,0,0,0,0,0,0,0
"KE42FL","KEN",2003,21204,21204,0,0,7407,13797,268,13797,268
"KE52FL","KEN",2008,34075,34075,0,0,0,34075,393,34075,393
"KE72FL","KEN",2014,127018,127018,0,0,0,127018,943,127018,943
"KE8CFL","KEN",2022,114518,0,0,0,0,0,0,0,0
"LB51FL","LBR",2007,31738,31738,0,0,31738,0,0,0,0
"LB5AFL","LBR",2009,22879,22879,0,0,22879,0,0,0,0
"LB6AFL","LBR",2013,44084,44084,0,0,44084,0,0,0,0
"LB7AFL","LBR",2019,32887,0,0,0,0,0,0,0,0
"MD42FL","MDG",2004,24494,24494,0,0,7031,17463,208,17463,208
"MD51FL","MDG",2008,73129,73129,0,0,24,73105,777,73105,777
"MD81FL","MDG",2021,71503,0,0,0,0,0,0,0,0
"ML41FL","MLI",2001,9937,9937,950,0,8987,0,0,0,0
"ML53FL","MLI",2006,77894,77894,0,0,6666,71228,1979,71228,1979
"ML6AFL","MLI",2012,58732,58732,0,0,0,58732,874,58732,874
"ML7AFL","MLI",2018,56215,0,0,0,0,0,0,0,0
"ML8AFL","MLI",2023,88689,0,0,0,0,0,0,0,0
"MZ41FL","MOZ",2003,41212,41212,0,0,12593,28619,687,28619,687
"MZ62FL","MOZ",2011,60470,60470,0,0,0,60470,911,60470,911
"MZ81FL","MOZ",2022,52833,0,0,0,0,0,0,0,0
"MR71FL","MRT",2020,68083,0,0,0,0,0,0,0,0
"MW41FL","MWI",2000,3157,3157,0,0,3157,0,0,0,0
"MW4EFL","MWI",2004,55293,55293,0,0,12458,42835,910,42835,910
"MW61FL","MWI",2010,114288,114288,0,0,0,114288,1793,114288,1793
"MW7AFL","MWI",2015,102346,71210,0,0,0,71210,709,71210,709
"MW81FL","MWI",2024,69348,0,0,0,0,0,0,0,0
"NM41FL","NAM",2000,1450,1450,184,97,1169,0,0,0,0
"NM51FL","NAM",2006,29112,29112,2794,1616,138,24564,274,24564,274
"NM61FL","NAM",2013,28225,28225,4030,2149,14,22032,196,22032,196
"NI51FL","NER",2006,52153,52153,0,0,8974,43179,1049,43179,1049
"NI61FL","NER",2012,73120,73120,0,0,139,72981,1250,72981,1250
"NG4BFL","NGA",2003,20997,20997,0,0,7203,13794,422,13794,422
"NG53FL","NGA",2008,157016,157016,0,0,94,156922,3711,156922,3711
"NG61FL","NGA",2010,32266,32266,0,0,378,31888,663,31888,663
"NG6AFL","NGA",2013,177779,177779,0,0,88,177691,3548,177691,3548
"NG7BFL","NGA",2018,195272,0,0,0,0,0,0,0,0
"NG8BFL","NGA",2024,162398,0,0,0,0,0,0,0,0
"RW41FL","RWA",2000,2196,2196,0,0,2196,0,0,0,0
"RW53FL","RWA",2005,46547,46547,0,0,9658,36889,838,36889,838
"RW5AFL","RWA",2008,30365,30365,0,0,10,30355,468,30328,467
"RW61FL","RWA",2010,53077,53077,0,0,0,53077,608,53077,608
"RW70FL","RWA",2015,46127,46127,0,0,41,46086,335,45699,335
"RW81FL","RWA",2019,47138,0,0,0,0,0,0,0,0
"SN4AFL","SEN",2005,59928,59928,0,0,13020,46908,837,46908,837
"SN5AFL","SEN",2008,87342,87342,0,0,285,87057,1299,87057,1299
"SN61FL","SEN",2010,68736,68736,0,0,0,68736,824,68736,824
"SN6DFL","SEN",2012,38506,38506,0,0,0,38506,388,38506,388
"SN71FL","SEN",2014,38866,38866,0,0,0,38866,373,38866,373
"SN7AFL","SEN",2015,40157,40157,0,0,0,40157,421,40157,421
"SN7IFL","SEN",2016,38822,0,0,0,0,0,0,0,0
"SN7ZFL","SEN",2017,71323,0,0,0,0,0,0,0,0
"SN81FL","SEN",2018,39314,0,0,0,0,0,0,0,0
"SN8BFL","SEN",2019,35351,0,0,0,0,0,0,0,0
"SN8SFL","SEN",2023,61934,0,0,0,0,0,0,0,0
"SL51FL","SLE",2008,31344,31344,0,0,59,31285,653,31285,653
"SL61FL","SLE",2013,68076,68076,0,0,47,68029,1532,68029,1532
"SL7AFL","SLE",2019,57080,0,0,0,0,0,0,0,0
"ST51FL","STP",2008,10839,10839,10839,0,0,0,0,0,0
"SZ51FL","SWZ",2006,15464,15464,4196,0,543,10725,201,10725,201
"TD41FL","TCD",2004,29949,29949,0,0,7265,22684,609,22684,609
"TD71FL","TCD",2014,110083,110083,3963,0,105,106015,1962,106015,1962
"TG61FL","TGO",2013,40197,40197,4341,0,20,35836,482,35836,482
"TZ4IFL","TZA",2004,45594,45594,9041,0,8303,28250,494,28250,494
"TZ63FL","TZA",2010,45187,45187,9324,0,0,35863,443,35815,443
"TZ7BFL","TZA",2015,56917,41379,8237,0,2,33140,351,33140,351
"TZ82FL","TZA",2022,61723,0,0,0,0,0,0,0,0
"UG41FL","UGA",2000,3417,3417,0,0,3417,0,0,0,0
"UG52FL","UGA",2006,46139,46139,0,0,4691,41448,805,41448,805
"UG5AFL","UGA",2009,22476,22476,1819,0,0,20657,263,20657,263
"UG61FL","UGA",2011,44636,44636,0,0,0,44636,603,44636,603
"UG7BFL","UGA",2016,89861,0,0,0,0,0,0,0,0
"ZA71FL","ZAF",2016,20867,0,0,0,0,0,0,0,0
"ZM42FL","ZMB",2002,13278,13278,0,0,13278,0,0,0,0
"ZM51FL","ZMB",2007,34258,34258,0,0,0,34258,614,34258,614
"ZM61FL","ZMB",2013,78600,78600,0,0,92,78508,905,78508,905
"ZM71FL","ZMB",2018,57564,0,0,0,0,0,0,0,0
"ZM81FL","ZMB",2024,51051,0,0,0,0,0,0,0,0
"ZW52FL","ZWE",2005,29737,29737,0,5344,24393,0,0,0,0
"ZW62FL","ZWE",2010,29334,29334,0,4769,21964,2601,54,2601,54
"ZW72FL","ZWE",2015,34562,34562,4062,2488,0,28012,301,28012,301
