original_path,current_path,action,reason,lines,sha256
R_cbh/snow/00_audit_extraction.R,archive/2026-09-18-snow-comparison/R_cbh/snow/00_audit_extraction.R,archive,"Snow annual-prevalence comparison removed from the analysis plan on 18 September 2026; not part of the manuscript. Saved outputs retained in results/.",97,665d700a28c50b7c68b2ad46dd22a20f1dd734f972e2803a9b875a0374552acc
R_cbh/snow/01_prepare.R,archive/2026-09-18-snow-comparison/R_cbh/snow/01_prepare.R,archive,"Snow annual-prevalence comparison removed from the analysis plan on 18 September 2026; not part of the manuscript. Saved outputs retained in results/.",100,1dd279f80715b95259ff82996abc052ed547135201887c49406d5bae959d8bd7
R_cbh/snow/02_fit.R,archive/2026-09-18-snow-comparison/R_cbh/snow/02_fit.R,archive,"Snow annual-prevalence comparison removed from the analysis plan on 18 September 2026; not part of the manuscript. Saved outputs retained in results/.",66,62d299d95982ba7283473cf05d8c6b761fcccd8756be4e75661053cd984befd8
R_cbh/snow/03_report.R,archive/2026-09-18-snow-comparison/R_cbh/snow/03_report.R,archive,"Snow annual-prevalence comparison removed from the analysis plan on 18 September 2026; not part of the manuscript. Saved outputs retained in results/.",130,c457c4a092091ef266cfc957d865b96e326bb93bda9c02826c0eb8f58d36bce8
R_cbh/snow/04_verify_saved_fits.R,archive/2026-09-18-snow-comparison/R_cbh/snow/04_verify_saved_fits.R,archive,"Snow annual-prevalence comparison removed from the analysis plan on 18 September 2026; not part of the manuscript. Saved outputs retained in results/.",33,44717a3e7eb5fba6fbc3fa09397c98d130bb761693734d0e2be8d802415f940e
R_cbh/snow/05_check_smoothing.R,archive/2026-09-18-snow-comparison/R_cbh/snow/05_check_smoothing.R,archive,"Snow annual-prevalence comparison removed from the analysis plan on 18 September 2026; not part of the manuscript. Saved outputs retained in results/.",75,7367c979e75a50c254fc3d3540e8a7fa82bb40645d9f741489c32a781fc84692
R_cbh/snow/06_fit_penalties.R,archive/2026-09-18-snow-comparison/R_cbh/snow/06_fit_penalties.R,archive,"Snow annual-prevalence comparison removed from the analysis plan on 18 September 2026; not part of the manuscript. Saved outputs retained in results/.",129,32776c24e111d9eef9aa95b8f38ecd58b833627a3fe8fc7c5a7251949933c476
R_cbh/snow/07_report_penalties.R,archive/2026-09-18-snow-comparison/R_cbh/snow/07_report_penalties.R,archive,"Snow annual-prevalence comparison removed from the analysis plan on 18 September 2026; not part of the manuscript. Saved outputs retained in results/.",133,30f01653139f8099272f70d4edc94e5af4d900c330a22d3714fb44ad47bd7074
R_cbh/snow/08_fit_map_comparison_gamma2.R,archive/2026-09-18-snow-comparison/R_cbh/snow/08_fit_map_comparison_gamma2.R,archive,"Snow annual-prevalence comparison removed from the analysis plan on 18 September 2026; not part of the manuscript. Saved outputs retained in results/.",124,5870b319435fd7447d08fb649877298eae1c014d4b6a967e46e393c86c99d1ad
R_cbh/snow/09_report_map_comparison_gamma2.R,archive/2026-09-18-snow-comparison/R_cbh/snow/09_report_map_comparison_gamma2.R,archive,"Snow annual-prevalence comparison removed from the analysis plan on 18 September 2026; not part of the manuscript. Saved outputs retained in results/.",100,8ec3176a10eeef8161cab103f6b5c312b9fb67e3bcbab150c6f812b0ad2a264f
R_cbh/snow/10_compare_burden_gamma2.R,archive/2026-09-18-snow-comparison/R_cbh/snow/10_compare_burden_gamma2.R,archive,"Snow annual-prevalence comparison removed from the analysis plan on 18 September 2026; not part of the manuscript. Saved outputs retained in results/.",185,64f8e69e7b14a81a39c3d9fc85d8a54d0c079ab089e617996afbc3336f5ad3a9
R_cbh/snow/README.md,archive/2026-09-18-snow-comparison/R_cbh/snow/README.md,archive,"Snow annual-prevalence comparison removed from the analysis plan on 18 September 2026; not part of the manuscript. Saved outputs retained in results/.",142,c59bb47ab7a76e832eaec7b4d1d1eb0088498a066d66de01ed5f6eb0b1726e01
R_dhs/51_snow_polygon_prevalence.R,archive/2026-09-18-snow-comparison/R_dhs/51_snow_polygon_prevalence.R,archive,"Snow annual-prevalence comparison removed from the analysis plan on 18 September 2026; not part of the manuscript. Saved outputs retained in results/.",474,de02f44ba81c1753b898d80af9bcecc47a03db6b5060027b4e04604bed57c583
