original_path,current_path,action,reason,lines,sha256
R/02_component1_country.R,archive/2026-09-15-code-audit/R/02_component1_country.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,91,bcd327899bf6398e9e2f96634422a6072d8d5ce1778910975ee6daddade1e82b
R/04_component2_dhs.R,archive/2026-09-15-code-audit/R/04_component2_dhs.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,259,e47f6fc4b761645636caa67c6adfae22c03ab5638b90d26005d9c6924d374f38
R/05_prediction_10_to_30.R,archive/2026-09-15-code-audit/R/05_prediction_10_to_30.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,66,a00a848ff457b8533c725ed9d437ef465729a561e1d63fe593781e9f42c0c99b
R/06_attributable_fraction.R,archive/2026-09-15-code-audit/R/06_attributable_fraction.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,52,06de8e633c461dc1c47bb94cf8e61fb3d3164f0d8b33b33313b6ddfd72f20500
R/07_ng_drc_malaria_deaths.R,archive/2026-09-15-code-audit/R/07_ng_drc_malaria_deaths.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,105,81863aa3ff9f8b52f19c4da371cedf7c6b83135e1b08532dd26bba6f654daf2d
R/08_country_malaria_deaths.R,archive/2026-09-15-code-audit/R/08_country_malaria_deaths.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,79,b5fd37d7589ce9d335d66c3731680fe25af22169c50e81118fdfe4ebfd49eaf1
R/09_method_comparison.R,archive/2026-09-15-code-audit/R/09_method_comparison.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,56,0e7214e07daabe2faf06425321bdffe07d021a433d696d9dabbe8f652971ecf4
R/10_triangulation_rct.R,archive/2026-09-15-code-audit/R/10_triangulation_rct.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,152,2c673207aa3d71abe297d753600ff1c70f5e7962e267060e2def06592b5336a1
R/12_paper_figure1.R,archive/2026-09-15-code-audit/R/12_paper_figure1.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,82,99f8ffcb7bdab31be703412118a8365eef100c532173af7651299536026277f8
R/14_paper_figure_ihme_share.R,archive/2026-09-15-code-audit/R/14_paper_figure_ihme_share.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,45,5a779ac7e767a857788187d27871af881c845e0deb7953f26e72cd4d6ac2d432
R/15_ihme_share_time.R,archive/2026-09-15-code-audit/R/15_ihme_share_time.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,135,93ad892fe8e5cdf3c1dccf6caddab362c5ab5c98a14de1d5ac1925589aa13425
R/18_expanded_panel.R,archive/2026-09-15-code-audit/R/18_expanded_panel.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,100,73d745346f725f42f3326115991e258805adf94eeb768ee5800a6b81d7123092
R/23_region_health.R,archive/2026-09-15-code-audit/R/23_region_health.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,146,ca44f9e426ef2848594cf722a18dfd626a6add8227073779a734152bb1406e0b
R/25_combined_model.R,archive/2026-09-15-code-audit/R/25_combined_model.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,81,87fe4abe6460eb76db7ed3bb3379e16876e723bf7087eeb88944567861c23c15
R/26_neonatal_outcome.R,archive/2026-09-15-code-audit/R/26_neonatal_outcome.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,84,fe8bb5109e4c00ab688eb043a0f1aa010626eaf84b8298c77dbe0f39794b9df2
R/29_paper_figures.R,archive/2026-09-15-code-audit/R/29_paper_figures.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,165,411b330d345465a1e4a0ca871731377664ee17ecab0e37ff0b9daf8d1911ffd5
R/30_full_covariates.R,archive/2026-09-15-code-audit/R/30_full_covariates.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,116,66c8b3212d6f9bef7eb4aa20db39c5a091fbbbe70cf1389fd5100f8bf4d1677d
R/32_full_model.R,archive/2026-09-15-code-audit/R/32_full_model.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,76,01f96caa764cd59ed1422c32ca8d2281c171762615079eb4953ca8dee8c60566
R/33_penalized_model.R,archive/2026-09-15-code-audit/R/33_penalized_model.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,76,35a9b36f60ced0ce037b5a514f12dfb4beb7b9ca36b8cab0a60a41ede9e8a2dc
R/34_fig2_penalized.R,archive/2026-09-15-code-audit/R/34_fig2_penalized.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,49,c1642d7a165f4ec5ac6da582925f034dd937eb772aa97b31d437a3883691e81d
R/39_penalised_main.R,archive/2026-09-15-code-audit/R/39_penalised_main.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,82,742e28a7aa33e11c70ebcd59182ec866e4a36144b350bd8a9931ce7fb7e83fdf
R_dhs/04_fit_main_models.R,archive/2026-09-15-code-audit/R_dhs/04_fit_main_models.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,259,dd7633cce8e132d1163e3e1e21636b40087c012f04a41f0e99d7ff123f9b66b9
R_dhs/05_make_main_plots.R,archive/2026-09-15-code-audit/R_dhs/05_make_main_plots.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,407,7058ea052438c87443902ce616166581acd2f83c17782f0f2d26f89995a5bc2f
R_dhs/06_sensitivity_samples.R,archive/2026-09-15-code-audit/R_dhs/06_sensitivity_samples.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,139,cc6b3afb61ffc4d05f15a1b954a82b2f2630f656961ff496959b94711b59d872
R_dhs/07_sensitivity_model_structure.R,archive/2026-09-15-code-audit/R_dhs/07_sensitivity_model_structure.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,173,72fdaab139f232324f011c8b1be9639c548192f314cbd5b89bbbe09e442281af
R_dhs/08_sensitivity_likelihood.R,archive/2026-09-15-code-audit/R_dhs/08_sensitivity_likelihood.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,189,2d2d4056d538a63fca1d1039974600b54911cd57265747f1243fb9de8fbf50ce
R_dhs/09_validate_reproduction.R,archive/2026-09-15-code-audit/R_dhs/09_validate_reproduction.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,232,ef8c362ed7476d4ccb87e9322b937a2cfbdfbe9bd027a3ad73f458c874f7e405
R_dhs/10_time_surface_and_burden.R,archive/2026-09-15-code-audit/R_dhs/10_time_surface_and_burden.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,630,9bb9e1308af12871efc06d27f39adae48959c3f09162790ff805ec696de2d112
R_dhs/12_triangulation_rct.R,archive/2026-09-15-code-audit/R_dhs/12_triangulation_rct.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,137,733f9f4c89f9a46f3993362f7cd49131629166a8d92e1f4dcb239f7d1138ce6d
R_dhs/13_ihme_share.R,archive/2026-09-15-code-audit/R_dhs/13_ihme_share.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,151,9cce39c40aa5d9c22afeb80d60d6ff33f12e3051f717ecaa62ab41ac1b6d7980
R_dhs/14_manuscript_figures.R,archive/2026-09-15-code-audit/R_dhs/14_manuscript_figures.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,262,748f72d913494fd7a0e2614f2feec256ec46b44f1ab8a591b30e6b09cd33fd0c
R_dhs/15_specification_forest.R,archive/2026-09-15-code-audit/R_dhs/15_specification_forest.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,132,9cce53081f18494214e4b1b8203ce8d7045b89a86c8270c8e630a1ce59c20bd6
R_dhs/16_sensitivity_random_effects.R,archive/2026-09-15-code-audit/R_dhs/16_sensitivity_random_effects.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,197,d66769f5c5181bf95a6f007c51b29205e0fc3624693de8a8154681310e79ce43
R_dhs/17_sensitivity_timing.R,archive/2026-09-15-code-audit/R_dhs/17_sensitivity_timing.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,641,420de23bc34e2e01971c2c9b186ad1f0ea084073287a59b26b982e00b8f0e6ef
R_dhs/18_age_windows_5to14.R,archive/2026-09-15-code-audit/R_dhs/18_age_windows_5to14.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,282,21bfe230e262dd54e364eea5803accf7d8f1885a0ce8e6962b359204bf014966
R_dhs/19_period_stratified.R,archive/2026-09-15-code-audit/R_dhs/19_period_stratified.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,464,32e90e67d3679c4d64ddf45e358d1162877f3dba6d2b8352ab8f4880fa036a03
R_dhs/20_subregion_stratified.R,archive/2026-09-15-code-audit/R_dhs/20_subregion_stratified.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,485,25157670ed7c49253b660cff21f42cfc2359f3f48ac94138942f7c3bf04c76a8
R_dhs/21_map_vs_measured_prevalence.R,archive/2026-09-15-code-audit/R_dhs/21_map_vs_measured_prevalence.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,194,a5b309a0278d59f1440d2b633198f12311aab923096dc1ae5cb846fa9e9069db
R_dhs/22_seasonality_of_fieldwork.R,archive/2026-09-15-code-audit/R_dhs/22_seasonality_of_fieldwork.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,437,ed2475dfa7d0e75cde050557e9277d89bb279ce48561d117fd36c66f56de6367
R_dhs/23_deprivation_proxy.R,archive/2026-09-15-code-audit/R_dhs/23_deprivation_proxy.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,125,c34a4020fea0aae3712194dd43f7422af6f0024b8bbe7b03d0c0f54d5a2f5329
R_dhs/24_intervention_targeting.R,archive/2026-09-15-code-audit/R_dhs/24_intervention_targeting.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,194,aef19b503c8467142e6b9edaf1597e2097d91c124bfe1700161f35906379d1b6
R_dhs/25_national_burden_lagged.R,archive/2026-09-15-code-audit/R_dhs/25_national_burden_lagged.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,156,bf383418e69616de175df56f37393ff626c04dd6e240b806a0eccfd797e8d530
R_dhs/26_audit_survey_coverage.R,archive/2026-09-15-code-audit/R_dhs/26_audit_survey_coverage.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,161,a6ea05d69151ea9e6310a1888c933e3226595be02c7b2528e045d8099be05096
R_dhs/27_horizon_lag_selection.R,archive/2026-09-15-code-audit/R_dhs/27_horizon_lag_selection.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,636,93d0ea397bef4a3133e0fe1233b7414017c7988d6dba2ffb51c3da8853282779
R_dhs/28_survey_map.R,archive/2026-09-15-code-audit/R_dhs/28_survey_map.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,126,10947657729ed5d7c2f892a9daf1cd9e7391a83b5bcd5e310fec6b9c5f61be23
R_dhs/29_subgroup_fits.R,archive/2026-09-15-code-audit/R_dhs/29_subgroup_fits.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,314,8f702258109554ae6353c7553e32e9639e6fa79dec992200904b51adf2249e77
R_dhs/30_brms_tensor_model.R,archive/2026-09-15-code-audit/R_dhs/30_brms_tensor_model.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,264,30e9db338f763145e9280f166782a6c288840836b7e9c38b3d8dbf0fdd12cc16
R_dhs/31_brms_subgroup_fits.R,archive/2026-09-15-code-audit/R_dhs/31_brms_subgroup_fits.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,487,fc1f836d286c7998c2186ea7889bcfd7b4c3ff3df9c11079b145c312da7e4ba0
R_dhs/32_brms_three_way.R,archive/2026-09-15-code-audit/R_dhs/32_brms_three_way.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,276,99b65f37194b468ae03675c8acc825ce080af5d8953c3372a5b9ce6515a99c7a
R_dhs/33_key_results.R,archive/2026-09-15-code-audit/R_dhs/33_key_results.R,replace_entry_point,Superseded orchestration/report selection; preserve original and replace with explicit current-plan routing.,201,d469d44f5687e12c2c4c7f9bf6a396d88ddfdeee70a8b0ebad1ee213f945df10
R_dhs/34_brms_model_ladder.R,archive/2026-09-15-code-audit/R_dhs/34_brms_model_ladder.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,310,b8ae69a4a389c6ec27afdbf0bc467c3313a3a0a4cdc018f071c278975998959e
R_dhs/35_brms_ladder_kfold.R,archive/2026-09-15-code-audit/R_dhs/35_brms_ladder_kfold.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,249,ed0ec58dd736e587ff1ca9dfcff32fa04ee77e2b8cec36f101cd822450aa237d
R_dhs/36_neonatal_as_covariate.R,archive/2026-09-15-code-audit/R_dhs/36_neonatal_as_covariate.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,405,5b290c4aa624ab5c6d805887336d18931ffe7ec53b068094558888952b920024
R_dhs/37_burden_trend_brms.R,archive/2026-09-15-code-audit/R_dhs/37_burden_trend_brms.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,206,f7f5bd9ae9cadefe23fd10527bce31f5204f0654c7eeca4554b477d99a1bacff
R_dhs/40_build_person_time.R,archive/2026-09-15-code-audit/R_dhs/40_build_person_time.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,269,f41195fcb7e820af7ff3716211e6a7e1190c2bb6d3499def8004b93c8ff6d2ff
R_dhs/42_person_time_models.R,archive/2026-09-15-code-audit/R_dhs/42_person_time_models.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,382,465be7a6a6808f1af273f66d372d30d52f68427942a6bc3d416c75f9a90d4373
R_dhs/43_person_time_brms.R,archive/2026-09-15-code-audit/R_dhs/43_person_time_brms.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,172,92674f474cf39a8ee6d8c608106b0dd374cf37ce77ffe4e662a868846c59d895
R_dhs/44_deaths_by_age.R,archive/2026-09-15-code-audit/R_dhs/44_deaths_by_age.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,115,114e1eb6a1295de15bca85fd2173ab2983952a64bf96cbbcbea00a983eaa723a
R_dhs/45_person_time_data_and_curves.R,archive/2026-09-15-code-audit/R_dhs/45_person_time_data_and_curves.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,87,6669a657f06d59338c60a7fe79d393be54bc227e5fadd9b80e82a2082361ee01
