original_path,current_path,action,reason,lines,sha256
R/00_utils.R,R/00_utils.R,retain_input_bridge,Shared helpers needed by the retained input/biomarker producers; contains historical model helpers pending separation.,213,cc6a2f21b991700814949832dad63ccec40b3da1bd197e9471b77f805fedc1ed
R/01_fetch_data.R,R/01_fetch_data.R,retain_input_bridge,"Producer of admin-0 boundaries and public input snapshots; retrieval is manual, never part of the active local build.",135,1b6103d0d81de3d859172a4186586087b0ebb7b1e9a92ab1fb8e6ef45c6a8d79
R/02_component1_country.R,archive/2026-09-15-code-audit/R/02_component1_country.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,91,bcd327899bf6398e9e2f96634422a6072d8d5ce1778910975ee6daddade1e82b
R/03_component3_rdt_microscopy.R,R/03_component3_rdt_microscopy.R,retain_input_bridge,Unique measured-parasitaemia and RDT/microscopy conversion producer used by optional Snow extraction comparisons.,74,aba580791c6718b139dbf08d98421c3dd18f0d9c1696b49f5e6eb3b2b09a487b
R/04_component2_dhs.R,archive/2026-09-15-code-audit/R/04_component2_dhs.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,259,e47f6fc4b761645636caa67c6adfae22c03ab5638b90d26005d9c6924d374f38
R/05_prediction_10_to_30.R,archive/2026-09-15-code-audit/R/05_prediction_10_to_30.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,66,a00a848ff457b8533c725ed9d437ef465729a561e1d63fe593781e9f42c0c99b
R/06_attributable_fraction.R,archive/2026-09-15-code-audit/R/06_attributable_fraction.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,52,06de8e633c461dc1c47bb94cf8e61fb3d3164f0d8b33b33313b6ddfd72f20500
R/07_ng_drc_malaria_deaths.R,archive/2026-09-15-code-audit/R/07_ng_drc_malaria_deaths.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,105,81863aa3ff9f8b52f19c4da371cedf7c6b83135e1b08532dd26bba6f654daf2d
R/08_country_malaria_deaths.R,archive/2026-09-15-code-audit/R/08_country_malaria_deaths.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,79,b5fd37d7589ce9d335d66c3731680fe25af22169c50e81118fdfe4ebfd49eaf1
R/09_method_comparison.R,archive/2026-09-15-code-audit/R/09_method_comparison.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,56,0e7214e07daabe2faf06425321bdffe07d021a433d696d9dabbe8f652971ecf4
R/10_triangulation_rct.R,archive/2026-09-15-code-audit/R/10_triangulation_rct.R,archive,Superseded country/survey-region or six-band person-time analysis; not an implementation of the current seven-band CBH plan.,152,2c673207aa3d71abe297d753600ff1c70f5e7962e267060e2def06592b5336a1
