"variable","source","iso3","country_years"
"political_stability","wgi_2001_interpolated","AGO",1
"political_stability","wgi_2001_interpolated","BDI",1
"political_stability","wgi_2001_interpolated","BEN",1
"political_stability","wgi_2001_interpolated","BFA",1
"political_stability","wgi_2001_interpolated","CAF",1
"political_stability","wgi_2001_interpolated","CIV",1
"political_stability","wgi_2001_interpolated","CMR",1
"political_stability","wgi_2001_interpolated","COD",1
"political_stability","wgi_2001_interpolated","COG",1
"political_stability","wgi_2001_interpolated","COM",1
"political_stability","wgi_2001_interpolated","ETH",1
"political_stability","wgi_2001_interpolated","GAB",1
"political_stability","wgi_2001_interpolated","GHA",1
"political_stability","wgi_2001_interpolated","GIN",1
"political_stability","wgi_2001_interpolated","GMB",1
"political_stability","wgi_2001_interpolated","GNB",1
"political_stability","wgi_2001_interpolated","KEN",1
"political_stability","wgi_2001_interpolated","LBR",1
"political_stability","wgi_2001_interpolated","MDG",1
"political_stability","wgi_2001_interpolated","MLI",1
"political_stability","wgi_2001_interpolated","MOZ",1
"political_stability","wgi_2001_interpolated","MRT",1
"political_stability","wgi_2001_interpolated","MWI",1
"political_stability","wgi_2001_interpolated","NAM",1
"political_stability","wgi_2001_interpolated","NER",1
"political_stability","wgi_2001_interpolated","NGA",1
"political_stability","wgi_2001_interpolated","RWA",1
"political_stability","wgi_2001_interpolated","SEN",1
"political_stability","wgi_2001_interpolated","SLE",1
"political_stability","wgi_2001_interpolated","SOM",1
"political_stability","gam_backcast_before_series","SSD",11
"political_stability","wgi_2001_interpolated","STP",1
"political_stability","wgi_2001_interpolated","SWZ",1
"political_stability","wgi_2001_interpolated","TCD",1
"political_stability","wgi_2001_interpolated","TGO",1
"political_stability","wgi_2001_interpolated","TZA",1
"political_stability","wgi_2001_interpolated","UGA",1
"political_stability","wgi_2001_interpolated","ZAF",1
"political_stability","wgi_2001_interpolated","ZMB",1
"political_stability","wgi_2001_interpolated","ZWE",1
"log_gdp_pc","gam_backcast_before_series","SSD",8
"log_gdp_pc","gam_forecast_after_series","SSD",9
"log_health_expenditure_pc","gam_forecast_after_series","AGO",1
"log_health_expenditure_pc","gam_forecast_after_series","BDI",1
"log_health_expenditure_pc","gam_forecast_after_series","BEN",1
"log_health_expenditure_pc","gam_forecast_after_series","BFA",1
"log_health_expenditure_pc","gam_forecast_after_series","CAF",1
"log_health_expenditure_pc","gam_forecast_after_series","CIV",1
"log_health_expenditure_pc","gam_forecast_after_series","CMR",1
"log_health_expenditure_pc","gam_forecast_after_series","COD",1
"log_health_expenditure_pc","gam_forecast_after_series","COG",1
"log_health_expenditure_pc","gam_forecast_after_series","COM",1
"log_health_expenditure_pc","gam_forecast_after_series","ETH",1
"log_health_expenditure_pc","gam_forecast_after_series","GAB",1
"log_health_expenditure_pc","gam_forecast_after_series","GHA",1
"log_health_expenditure_pc","gam_forecast_after_series","GIN",1
"log_health_expenditure_pc","gam_forecast_after_series","GMB",1
"log_health_expenditure_pc","gam_forecast_after_series","GNB",1
"log_health_expenditure_pc","gam_forecast_after_series","KEN",1
"log_health_expenditure_pc","gam_forecast_after_series","LBR",1
"log_health_expenditure_pc","gam_forecast_after_series","MDG",1
"log_health_expenditure_pc","gam_forecast_after_series","MLI",1
"log_health_expenditure_pc","gam_forecast_after_series","MOZ",1
"log_health_expenditure_pc","gam_forecast_after_series","MRT",1
"log_health_expenditure_pc","gam_forecast_after_series","MWI",1
"log_health_expenditure_pc","gam_forecast_after_series","NAM",1
"log_health_expenditure_pc","gam_forecast_after_series","NER",1
"log_health_expenditure_pc","gam_forecast_after_series","NGA",1
"log_health_expenditure_pc","gam_forecast_after_series","RWA",1
"log_health_expenditure_pc","gam_forecast_after_series","SEN",1
"log_health_expenditure_pc","gam_forecast_after_series","SLE",1
"log_health_expenditure_pc","gam_backcast_before_series","SOM",13
"log_health_expenditure_pc","gam_forecast_after_series","SOM",1
"log_health_expenditure_pc","gam_backcast_before_series","SSD",17
"log_health_expenditure_pc","gam_forecast_after_series","SSD",1
"log_health_expenditure_pc","gam_forecast_after_series","STP",1
"log_health_expenditure_pc","gam_forecast_after_series","SWZ",1
"log_health_expenditure_pc","gam_forecast_after_series","TCD",1
"log_health_expenditure_pc","gam_forecast_after_series","TGO",1
"log_health_expenditure_pc","gam_forecast_after_series","TZA",1
"log_health_expenditure_pc","gam_forecast_after_series","UGA",1
"log_health_expenditure_pc","gam_forecast_after_series","ZAF",1
"log_health_expenditure_pc","gam_forecast_after_series","ZMB",1
"log_health_expenditure_pc","gam_backcast_before_series","ZWE",10
"log_health_expenditure_pc","gam_forecast_after_series","ZWE",1
