"programme","survey","country","variable","regions_imputed"
"DHS","BJ41FL","BEN","mean_wealth_quintile",5
"DHS","ET41FL","ETH","mean_wealth_quintile",11
"DHS","GA41FL","GAB","mean_wealth_quintile",5
"DHS","ML41FL","MLI","mean_wealth_quintile",6
"DHS","MW41FL","MWI","mean_wealth_quintile",3
"DHS","NM41FL","NAM","mean_wealth_quintile",11
"DHS","RW41FL","RWA","mean_wealth_quintile",12
"DHS","UG41FL","UGA","mean_wealth_quintile",4
"DHS","ZM42FL","ZMB","mean_wealth_quintile",9
"DHS","AO62FL","AGO","facility_delivery_pct",4
"DHS","LB5AFL","LBR","facility_delivery_pct",6
"DHS","NG61FL","NGA","facility_delivery_pct",6
"DHS","SN5AFL","SEN","facility_delivery_pct",11
"DHS","UG5AFL","UGA","facility_delivery_pct",9
"DHS","BJ51FL","BEN","electricity_pct",12
"DHS","AO62FL","AGO","wasting_pct",4
"DHS","BJ61FL","BEN","wasting_pct",12
"DHS","GH4BFL","GHA","wasting_pct",10
"DHS","LB5AFL","LBR","wasting_pct",6
"MICS","MC_MDG2012S","MDG","wasting_pct",4
"MICS","MC_NGA2021","NGA","wasting_pct",6
"MICS","MC_SOM2011NE","SOM","wasting_pct",3
"MICS","MC_SOM2011SL","SOM","wasting_pct",5
"DHS","MD51FL","MDG","wasting_pct",22
"DHS","NG61FL","NGA","wasting_pct",6
"DHS","RW5AFL","RWA","wasting_pct",5
"DHS","SN5AFL","SEN","wasting_pct",11
"DHS","TD41FL","TCD","wasting_pct",8
"DHS","UG5AFL","UGA","wasting_pct",9
"DHS","AO62FL","AGO","stunting_pct",4
"DHS","BJ61FL","BEN","stunting_pct",12
"DHS","GH4BFL","GHA","stunting_pct",10
"DHS","LB5AFL","LBR","stunting_pct",6
"MICS","MC_MDG2012S","MDG","stunting_pct",4
"MICS","MC_NGA2021","NGA","stunting_pct",6
"MICS","MC_SOM2011NE","SOM","stunting_pct",3
"MICS","MC_SOM2011SL","SOM","stunting_pct",5
"DHS","NG61FL","NGA","stunting_pct",6
"DHS","RW5AFL","RWA","stunting_pct",5
"DHS","SN5AFL","SEN","stunting_pct",11
"DHS","TD41FL","TCD","stunting_pct",8
"DHS","UG5AFL","UGA","stunting_pct",9
