"iso3","year","political_stability","political_stability_source","gdp_pc","log_gdp_pc_source","health_expenditure_pc","log_health_expenditure_pc_source"
"SOM",2000,-2.3846883,"wgi_observed",386.119274401275,"wdi_observed",7.72472457267333,"gam_backcast_before_series"
"SSD",2000,-2.17450760100979,"gam_backcast_before_series",522.87418666328,"gam_backcast_before_series",20.6140397810237,"gam_backcast_before_series"
"ZWE",2000,-1.3514121,"wgi_observed",562.833757496076,"wdi_observed",24.5920145215489,"gam_backcast_before_series"
"SOM",2001,-2.3160392,"wgi_2001_interpolated",244.914842538455,"wdi_observed",6.04646593998924,"gam_backcast_before_series"
"SSD",2001,-2.12670579285651,"gam_backcast_before_series",565.653880999962,"gam_backcast_before_series",23.0295062622693,"gam_backcast_before_series"
"ZWE",2001,-1.4796192,"wgi_2001_interpolated",566.388746448872,"wdi_observed",26.1816827082938,"gam_backcast_before_series"
"SOM",2002,-2.2473901,"wgi_observed",229.598918310039,"wdi_observed",6.13208386312912,"gam_backcast_before_series"
"SSD",2002,-2.07989362665393,"gam_backcast_before_series",614.357312567938,"gam_backcast_before_series",25.7650543645738,"gam_backcast_before_series"
"ZWE",2002,-1.6078263,"wgi_observed",524.936478570323,"wdi_observed",26.3557596561818,"gam_backcast_before_series"
"SOM",2003,-2.5761377,"wgi_observed",286.273025198975,"wdi_observed",7.49970720993329,"gam_backcast_before_series"
"SSD",2003,-2.03514249747933,"gam_backcast_before_series",672.596380300193,"gam_backcast_before_series",28.9012868714498,"gam_backcast_before_series"
"ZWE",2003,-1.4557018,"wgi_observed",468.471932927213,"wdi_observed",25.8019585812382,"gam_backcast_before_series"
"SOM",2004,-2.6425033,"wgi_observed",375.410326225387,"wdi_observed",9.44672550849757,"gam_backcast_before_series"
"SSD",2004,-1.99389358205847,"gam_backcast_before_series",743.942878267751,"gam_backcast_before_series",32.5066371470129,"gam_backcast_before_series"
"ZWE",2004,-1.5430146,"wgi_observed",469.719298949304,"wdi_observed",27.1845435697594,"gam_backcast_before_series"
"SOM",2005,-2.5984936,"wgi_observed",439.979907805478,"wdi_observed",10.9840675500058,"gam_backcast_before_series"
"SSD",2005,-1.95783855648365,"gam_backcast_before_series",830.583989838327,"gam_backcast_before_series",36.5998284494976,"gam_backcast_before_series"
