"iso3","year","political_stability","gdp_pc","health_expenditure_pc","log_gdp_pc","log_health_expenditure_pc","political_stability_source","log_health_expenditure_pc_source"
"AGO",2000,-2.4455505,563.733795571487,13.15998554,6.33458214640641,2.57718082711237,"wgi_observed","ghed_observed"
"BDI",2000,-2.50680379999999,134.537861752389,5.67927122,4.90184565944596,1.73682291816307,"wgi_observed","ghed_observed"
"BEN",2000,0.6165498,487.424141384242,14.42371464,6.18913467091287,2.66887370201147,"wgi_observed","ghed_observed"
"BFA",2000,0.0927698,248.908526921752,10.00902748,5.51708546721081,2.30348743376214,"wgi_observed","ghed_observed"
"CIV",2000,-1.2897456,936.636541348798,30.33073425,6.8422953108814,3.41216153011172,"wgi_observed","ghed_observed"
"CMR",2000,-0.5362139,708.565731625965,30.438097,6.56324283058734,3.4156950146135,"wgi_observed","ghed_observed"
"COD",2000,-2.550118,377.925421481395,17.52071953,5.93469687848558,2.86338415372886,"wgi_observed","ghed_observed"
"COG",2000,-1.72284099999999,1024.30159109181,17.35089302,6.9317662847868,2.85364397596166,"wgi_observed","ghed_observed"
"COM",2000,-0.5814672,633.309032776244,47.59479904,6.45095850644963,3.8627234914021,"wgi_observed","ghed_observed"
"ETH",2000,-1.3044886,122.269202606069,5.28970861,4.80622519255202,1.66576316117727,"wgi_observed","ghed_observed"
"GAB",2000,0.3575739,3982.906200928,123.197258,8.28976703304946,4.81378679435823,"wgi_observed","ghed_observed"
"GHA",2000,-0.4701511,253.746936203344,10.46035767,5.53633745620761,2.34759265212483,"wgi_observed","ghed_observed"
"GIN",2000,-2.02533439999999,518.157066924026,22.71741867,6.25027841429825,3.12313197252153,"wgi_observed","ghed_observed"
"GMB",2000,0.3153329,538.054072348854,74.83678436,6.28795906133601,4.31530953362015,"wgi_observed","ghed_observed"
"KEN",2000,-1.3475172,414.626365130846,21.53400993,6.02737778970882,3.06963354252465,"wgi_observed","ghed_observed"
"LBR",2000,-1.89862319999999,298.485340578945,7.93455124,5.69872082133842,2.07122679787375,"wgi_observed","ghed_observed"
"MDG",2000,0.0538724,280.282905559649,11.1882658,5.63579947008071,2.41486553265493,"wgi_observed","ghed_observed"
"MLI",2000,-0.1842193,304.652870189314,14.00473022,5.71917299791818,2.63939514540622,"wgi_observed","ghed_observed"
"MOZ",2000,-0.2160945,327.12623979157,7.00877714,5.7903461508059,1.94716324075073,"wgi_observed","ghed_observed"
"MRT",2000,-0.0374667,680.911061879778,23.00290108,6.5234316983252,3.13562034188798,"wgi_observed","ghed_observed"
"MWI",2000,-0.786359199999999,224.22415918428,8.84964848,5.41264626212204,2.18037773845698,"wgi_observed","ghed_observed"
"NAM",2000,-0.1691489,2156.67590512714,217.55029297,7.67632338249331,5.38243005584471,"wgi_observed","ghed_observed"
"NER",2000,-0.3813939,194.771959898935,9.04467964,5.2718294378237,2.20217669975677,"wgi_observed","ghed_observed"
"NGA",2000,-1.6267513,547.318298903379,17.15887642,6.30503053245916,2.84251561522615,"wgi_observed","ghed_observed"
"RWA",2000,-2.0788583,251.86926386091,9.00399399,5.52891015868841,2.19766825556314,"wgi_observed","ghed_observed"
"SEN",2000,-0.5885307,603.233162455158,21.41570663,6.40230379272756,3.06412460748769,"wgi_observed","ghed_observed"
"SLE",2000,-2.1835343,143.743743239644,17.66835022,4.96803215344077,2.87177491581539,"wgi_observed","ghed_observed"
"STP",2000,0.9031055,529.089383412262,49.63587952,6.27115738433788,3.9047139496389,"wgi_observed","ghed_observed"
"SWZ",2000,-0.2898214,1629.67038842815,76.93126678,7.39613305766421,4.34291238399327,"wgi_observed","ghed_observed"
"TCD",2000,-1.48813289999999,163.121663683369,10.07452297,5.09449632535206,2.31000975882098,"wgi_observed","ghed_observed"
"TGO",2000,-0.434510599999999,440.420399069497,13.0541811,6.08772972318884,2.56910847325913,"wgi_observed","ghed_observed"
"TZA",2000,-1.01262799999999,401.698150634766,12.33031845,5.9957009375079,2.51206114409334,"wgi_observed","ghed_observed"
"UGA",2000,-1.62262509999999,258.050338731086,16.42602158,5.55315467725067,2.79886675908799,"wgi_observed","ghed_observed"
"ZAF",2000,-0.3188879,3217.84693448467,236.08114624,8.076467761003,5.46417558592618,"wgi_observed","ghed_observed"
