"variable","survey_regions","imputed_regions","imputed_surveys","observed_mean","imputed_mean","between_imputation_sd"
"mean_maternal_age_first_birth",1126,0,0,19.3167366274651,,
"mean_maternal_education_years",1126,0,0,4.42740084016046,,
"mean_wealth_quintile",1126,66,9,2.84014984446492,2.91742014097117,0.248642708606819
"urban_pct",1126,0,0,32.2215088132514,,
"dtp3_pct",1126,0,0,70.0040852575488,,
"measles_pct",1126,0,0,71.8373001776199,,
"facility_delivery_pct",1126,36,5,62.0334390927625,52.8417322530864,10.0534239901845
"short_birth_interval_pct",1126,0,0,18.7277659716936,,
"improved_water_pct",1126,0,0,67.4387787575066,,
"improved_sanitation_pct",1126,0,0,40.7307104443317,,
"electricity_pct",1126,12,1,33.4780442278647,17.4104497354497,7.14765661800363
"wasting_pct",1126,93,10,7.63586237495967,8.79237903225807,3.31879637854641
"stunting_pct",1126,71,9,33.7796419167983,35.0251799687011,6.28423672817047
