"iso3","year","ni","published_rate","under5_person_years","plhiv_0_4","derived_rate","ratio"
"AGO",2000,6000,2.01,2957314.21324596,13000,2.03782598100673,1.01384377164514
"AGO",2001,6500,2.08,3078032.47742277,14000,2.12138743564079,1.01989780559654
"AGO",2002,6900,2.14,3204363.5429776,15000,2.16344104615874,1.01095375988726
"AGO",2003,7300,2.19,3338210.20982934,16000,2.1973323597651,1.00334810948178
"AGO",2004,7600,2.2,3481103.45964881,17000,2.19392985473087,0.997240843059485
"AGO",2005,8000,2.2,3634674.43471266,18000,2.21197681583291,1.00544400719678
"AGO",2006,7700,2.06,3797040.66718965,18000,2.03755415146835,0.98910395702347
"AGO",2007,8100,2.06,3966863.80927856,19000,2.05174250969924,0.995991509562737
"AGO",2008,8200,2.01,4142253.32846828,19000,1.98872088294564,0.989413374599822
"AGO",2009,8300,1.97,4317218.22437348,19000,1.93103271326104,0.980219651401545
"AGO",2010,8400,1.9,4485778.51002067,20000,1.8809710291613,0.989984752190158
"AGO",2011,8900,1.96,4646426.70636879,20000,1.92373089748686,0.981495355860642
"AGO",2012,9000,1.9,4797181.039052,21000,1.88435068235738,0.991763517030197
"AGO",2013,8700,1.78,4937211.21716389,21000,1.76965545532825,0.994188458049578
"AGO",2014,8200,1.62,5067510.51641627,21000,1.62488515050656,1.00301552500405
"AGO",2015,8400,1.62,5189560.9659698,21000,1.62521058671964,1.00321641155533
"AGO",2016,8700,1.63,5302442.67412798,21000,1.64727718102828,1.01059949756336
"AGO",2017,8800,1.61,5406449.37516545,21000,1.63403262884254,1.01492709865996
"AGO",2018,8200,1.46,5502881.87227479,21000,1.49583668365282,1.0245456737348
"AGO",2019,6900,1.21,5593092.62697075,19000,1.23786963399455,1.0230327553674
"AGO",2020,6500,1.11,5677767.03214072,18000,1.14845716494827,1.03464609454799
"AGO",2021,6000,1.01,5757729.08228188,17000,1.04516341287004,1.03481526026736
"AGO",2022,5300,0.87,5833373.80139979,16000,0.911064026644584,1.04720003062596
"AGO",2023,4800,0.78,5906389.31439643,14000,0.814610125687473,1.04437195600958
"AGO",2024,4500,0.73,5989099.51969406,13000,0.752999508319831,1.03150617578059
"BDI",2000,3300,2.79,1142272.12568226,9000,2.91192196932692,1.04369963058313
"BDI",2001,3100,2.57,1158507.89674409,8400,2.69539928277685,1.04879349524391
"BDI",2002,2800,2.29,1193233.66069854,7800,2.36200480282469,1.03144314533829
"BDI",2003,2600,2.02,1236961.94478561,7300,2.11440226399241,1.04673379405565
"BDI",2004,2400,1.77,1286594.6465811,6800,1.87530085893973,1.05949201070041
"BDI",2005,2100,1.47,1348569.62391126,6200,1.56439773561117,1.06421614667427
"BDI",2006,2000,1.31,1414394.53689797,5700,1.41975421045085,1.08378184003882
"BDI",2007,1900,1.17,1480143.28491459,5200,1.28818512510468,1.1010129274399
"BDI",2008,1700,1,1548570.79985916,4800,1.10119973778173,1.10119973778173
"BDI",2009,1500,0.86,1626789.30237373,4500,0.924619300518843,1.07513872153354
"BDI",2010,1200,0.66,1726723.24393437,4100,0.696611986530072,1.05547270686375
"BDI",2011,1100,0.56,1819528.59458416,3700,0.605784049926756,1.08175723201206
"BDI",2012,970,0.48,1864536.31652681,3300,0.521158969114725,1.08574785232234
"BDI",2013,790,0.38,1905428.03584368,2900,0.415236982118728,1.09272890031244
"BDI",2014,600,0.28,1964366.01245004,2400,0.305815695171365,1.0921989113263
"BEN",2000,2000,1.52,1313344.3230241,4700,1.52829914501006,1.00545996382241
"BEN",2001,2000,1.49,1354243.94347737,4800,1.48209194584713,0.994692581105455
"BEN",2002,2000,1.45,1398104.36378522,4900,1.43553957480162,0.990027292966633
"BEN",2003,2000,1.4,1444587.49670889,4900,1.38919036566753,0.992278832619667
"BEN",2004,2000,1.36,1493657.30157613,4800,1.34331208093802,0.987729471277959
"BEN",2005,1900,1.3,1544457.41506072,4800,1.23404075569959,0.949262119768912
"BEN",2006,1900,1.23,1595823.22199404,4800,1.19420004292503,0.970894343841488
"BEN",2007,1900,1.16,1646998.17666959,4700,1.15691536834864,0.997340834783308
"BEN",2008,1500,0.92,1697701.9730141,4300,0.885790865904179,0.962816158591499
"BEN",2009,1500,0.89,1747902.62689483,4100,0.86018909300018,0.966504598876607
"BEN",2010,1500,0.86,1797752.61222833,4000,0.836235715992403,0.972367111619074
"BEN",2011,1500,0.82,1847330.7305064,3900,0.813700224899658,0.992317347438607
"BEN",2012,1500,0.79,1896455.06045158,3800,0.792537441895043,1.00321195176588
"BEN",2013,1500,0.79,1944917.30886725,3900,0.77279063568752,0.978215994541165
"BEN",2014,1300,0.62,1992587.47761045,3700,0.653631748721092,1.05424475600176
"BEN",2015,680,0.33,2039331.78516971,3100,0.333950194154014,1.0119702853152
"BEN",2016,610,0.29,2084883.9917208,2600,0.292947552987667,1.01016397581954
"BEN",2017,550,0.25,2128789.29592923,2200,0.258630098934864,1.03452039573946
"BEN",2018,520,0.23,2170500.89543548,1800,0.239774881402252,1.04249948435762
"BEN",2019,650,0.28,2209713.314393,1600,0.294368950978714,1.05131768206684
"BEN",2020,550,0.23,2246765.44047737,1600,0.244970811542092,1.06509048496562
"BEN",2021,610,0.25,2282217.1735926,1600,0.267471457754166,1.06988583101666
"BEN",2022,590,0.23,2316199.94047923,1600,0.254903661614129,1.10827678962665
"BEN",2023,570,0.22,2350071.20965014,1600,0.242711086964917,1.1032322134769
