"iso3","age_band","Location","pfpr_pct","ihme_deaths","implied_person_years","ihme_rate_per100000","age_mapping","status","map_population_coverage_within_raster","map_coverage_below_95pct","population_weight_year","log_hr_se","log_hr_zero_vs_current","hr_zero_vs_current","hr_lower_95","hr_upper_95","attributable_fraction","af_lower_95","af_upper_95","counterfactual_deaths","attributable_deaths","attributable_deaths_lower_95","attributable_deaths_upper_95","counterfactual_rate_per100000","attributable_rate_per100000","attributable_rate_per100000_lower_95","attributable_rate_per100000_upper_95","zero_below_observed_support","current_pfpr_outside_central95","current_pfpr_outside_observed_support","negative_attributable_estimate","series","year","exposure_source","temporal_transport_from_pre2016_fit"
"AGO","<1","Angola",20.1035553415068,25724.5129425046,65823.7910576055,39080.8741477558,"0-27 days mapped to model <1 completed month","estimated",0.998084957706995,FALSE,2020,0.0285541084714548,-0.0532290301752958,0.948162829713445,0.89655549789852,1.00274077149429,0.0518371702865545,-0.00274077149428864,0.10344450210148,24391.0269845653,1333.48595793929,-70.5050117772758,2661.05943314046,37055.0322196112,2025.84192814462,-107.111745836051,4042.70156790519,TRUE,FALSE,FALSE,FALSE,"map_matched",2005,"MAP",FALSE
"BDI","<1","Burundi",32.7108667147613,10665.1060429336,24443.9696865901,43630.8266606321,"0-27 days mapped to model <1 completed month","estimated",0.903118502531811,TRUE,2020,0.0350194503348611,-0.0702013502907871,0.932206101038441,0.870367734812023,0.998437993569436,0.0677938989615594,0.00156200643056359,0.129632265187977,9942.07692144464,723.029121488957,16.6589642217049,1382.54185481547,40672.9228063919,2957.9038542402,68.1516318147126,5655.96289204173,TRUE,FALSE,FALSE,FALSE,"map_matched",2005,"MAP",FALSE
"BEN","<1","Benin",56.789331963267,10804.6666154987,27278.4884920618,39608.7437859428,"0-27 days mapped to model <1 completed month","estimated",1,FALSE,2020,0.0400524744572303,-0.0542464286381255,0.947198660863103,0.875684617483525,1.0245530014209,0.0528013391368966,-0.0245530014208974,0.124315382516475,10234.1657492726,570.500866226051,-265.286994762663,1343.1862632687,37517.3490725148,2091.39471342801,-972.513542456217,4923.97613474651,TRUE,FALSE,FALSE,FALSE,"map_matched",2005,"MAP",FALSE
"BFA","<1","Burkina Faso",53.1839944402602,21668.9137055495,51434.2296696051,42129.3637422836,"0-27 days mapped to model <1 completed month","estimated",1,FALSE,2020,0.0392151543361202,-0.0604503684365251,0.941340488059211,0.871698152023487,1.01654673972015,0.0586595119407889,-0.0165467397201478,0.128301847976513,20397.8258032949,1271.0879022546,-358.54987510407,2780.16167206558,39658.0758267853,2471.28791549832,-697.103616418996,5405.27522220968,TRUE,FALSE,FALSE,FALSE,"map_matched",2005,"MAP",FALSE
"BWA","<1","Botswana",0.0739687942020688,454.850857072986,3530.37620506091,12883.9203148079,"0-27 days mapped to model <1 completed month","estimated",0.500006041684288,TRUE,2020,0.000131087022093949,-0.000220590559566884,0.999779433768742,0.999522592872195,1.00003634066404,0.000220566231258323,-3.63406640431219e-05,0.000477407127805418,454.750532333657,0.100324739329207,-0.0165295821866154,0.217149041255047,12881.0785570602,2.84175774766973,-0.468210219718787,6.15087539236632,TRUE,TRUE,FALSE,FALSE,"map_matched",2005,"MAP",FALSE
"CAF","<1","Central African Republic",57.137610295232,7548.95249397688,14817.4288792299,50946.4398682452,"0-27 days mapped to model <1 completed month","estimated",1,FALSE,2020,0.0401394099662069,-0.0535843728488342,0.947825966853005,0.876115264359511,1.02540624503055,0.0521740331469953,-0.025406245030549,0.123884735640489,7155.09319633104,393.859297645843,-191.790536785951,935.199984078933,48288.358625838,2658.08124240723,-1294.35773472677,6311.48623490161,TRUE,FALSE,FALSE,FALSE,"map_matched",2005,"MAP",FALSE
"CIV","<1","Cote d'Ivoire",62.0559536355424,27392.2659919489,55654.1700156284,49218.7126036681,"0-27 days mapped to model <1 completed month","estimated",0.999044906250652,FALSE,2020,0.0415112447240778,-0.0431279400961005,0.957788842631262,0.882947108668154,1.03897442787109,0.0422111573687378,-0.0389744278710946,0.117052891331846,26236.0067414764,1156.25925047248,-1067.59789512905,3206.34393448861,47141.133780468,2077.57882320011,-1918.2711642798,5761.19261789051,TRUE,FALSE,FALSE,FALSE,"map_matched",2005,"MAP",FALSE
"CMR","<1","Cameroon",48.6084683420969,23859.4478366695,58529.8485352131,40764.5815490451,"0-27 days mapped to model <1 completed month","estimated",0.994188327616715,FALSE,2020,0.0383373945694907,-0.0665363757492929,0.935628881035706,0.867900962698164,1.00864204633055,0.0643711189642943,-0.00864204633054566,0.132099037301836,22323.5884815529,1535.85935511663,-206.194453625735,3151.81008977741,38140.5198206218,2624.06172842326,-352.289402392155,5384.96197864104,TRUE,FALSE,FALSE,FALSE,"map_matched",2005,"MAP",FALSE
"COD","<1","Democratic Republic of the Congo",64.5181086884157,73984.3174206275,188322.837012299,39285.8978732334,"0-27 days mapped to model <1 completed month","estimated",0.967925701459564,FALSE,2020,0.0423654560661041,-0.0371720449805609,0.963510353968416,0.886735675962573,1.04693227911079,0.0364896460315836,-0.0469322791107898,0.113264324037427,71284.6558660605,2699.66155456702,-3472.25263500616,8379.78370201782,37852.3693658062,1433.52850742723,-1843.77672410457,4449.69066681518,TRUE,FALSE,FALSE,FALSE,"map_matched",2005,"MAP",FALSE
"COG","<1","Congo",32.8294542135053,3184.65198687615,10321.124158586,30855.6697695268,"0-27 days mapped to model <1 completed month","estimated",0.999999884856155,FALSE,2020,0.0350601041858641,-0.0702807741563981,0.93213206456652,0.870229265609503,0.998438250849323,0.0678679354334798,0.00156174915067697,0.129770734390497,2968.51623145274,216.135755423414,4.97362753570556,413.274627115072,28761.5591658518,2094.11060367502,48.1888160561276,4004.16292610214,TRUE,FALSE,FALSE,FALSE,"map_matched",2005,"MAP",FALSE
"COM","<1","Comoros",1.49344288730066,540.805742940209,1547.81585936025,34939.9277484944,"0-27 days mapped to model <1 completed month","estimated",0.977875023773357,FALSE,2020,0.00264366480765076,-0.00445109166079358,0.995558799766368,0.99041357091826,1.000730758236,0.00444120023363215,-0.00073075823599611,0.00958642908174001,538.403916348313,2.40182659189566,-0.395198250727553,5.18439590169403,34784.7525332147,155.175215279704,-25.5326399673213,334.949139482062,TRUE,TRUE,FALSE,FALSE,"map_matched",2005,"MAP",FALSE
"CPV","<1","Cape Verde",,207.873047628137,911.673425628789,22801.262138881,"0-27 days mapped to model <1 completed month","missing_MAP_no_estimate",,,2020,,,,,,,,,,,,,,,,,TRUE,,,,"map_matched",2005,"MAP",FALSE
"DJI","<1","Djibouti",0.180218583070353,735.613152372711,1971.41212150773,37314.0219818733,"0-27 days mapped to model <1 completed month","estimated",0.900748542924068,TRUE,2020,0.000319378547830249,-0.000537446601636665,0.999462697796918,0.998837247965231,1.00008853927148,0.000537302203081902,-8.85392714806699e-05,0.00116275203476879,735.217905805325,0.39524656738588,-0.0651306526026788,0.855335689724052,37293.9730756566,20.048906216707,-3.30375632228876,43.3869549848305,TRUE,TRUE,FALSE,FALSE,"map_matched",2005,"MAP",FALSE
"ERI","<1","Eritrea",0.264051516629705,3422.87943153911,12827.7090800396,26683.4819076559,"0-27 days mapped to model <1 completed month","estimated",0.951453885431987,FALSE,2020,0.0004679368626783,-0.000787445337588964,0.999212864616128,0.9982968504197,1.00012971932608,0.000787135383871651,-0.000129719326084743,0.00170314958029971,3420.18516202382,2.69426951529092,-0.444013613128581,5.82967566724235,26662.4783948815,21.003512774415,-3.46136329065555,45.4459610119591,TRUE,TRUE,FALSE,FALSE,"map_matched",2005,"MAP",FALSE
"ETH","<1","Ethiopia",10.282958677834,129642.565986581,231585.320424348,55980.476547058,"0-27 days mapped to model <1 completed month","estimated",0.827728262514435,TRUE,2020,0.01722711039191,-0.0297680533488199,0.970670651246806,0.938442972127153,1.00400508200965,0.0293293487531937,-0.00400508200964733,0.0615570278728474,125840.233955502,3802.33203107936,-519.229108717373,7980.41104794343,54338.6056270394,1641.87092001865,-224.206399510106,3445.99175514253,TRUE,FALSE,FALSE,FALSE,"map_matched",2005,"MAP",FALSE
"GAB","<1","Gabon",13.5729851145187,931.823041510298,3306.57872893473,28180.8817481415,"0-27 days mapped to model <1 completed month","estimated",0.999284909726468,FALSE,2020,0.021787495271968,-0.0384101688782926,0.96231814697574,0.922088881224506,1.00430255136473,0.0376818530242599,-0.00430255136473101,0.0779111187754936,896.710222615488,35.1128188948098,-4.00921649893793,72.5993756648505,27118.973904014,1061.90784412752,-121.249691224789,2195.60402507759,TRUE,FALSE,FALSE,FALSE,"map_matched",2005,"MAP",FALSE
