"series","age_band","edf"
"map_matched","<1",2.10483607809881
"snow_matched","<1",1.60389019746301
"map_full","<1",2.28185145685188
"snow_full","<1",1.59145875663264
"map_matched","1-5",1.75694445960973
"snow_matched","1-5",1.00140902754765
"map_full","1-5",1.97684342449911
"snow_full","1-5",1.00105524748923
"map_matched","6-11",2.29987157627187
"snow_matched","6-11",1.51680266510221
"map_full","6-11",2.58701836187001
"snow_full","6-11",1.51252220233022
"map_matched","12-23",3.391964850101
"snow_matched","12-23",3.28973829485129
"map_full","12-23",3.52628592309672
"snow_full","12-23",3.28592939352667
"map_matched","24-35",3.49560216058479
"snow_matched","24-35",3.23417258016561
"map_full","24-35",3.60779280646624
"snow_full","24-35",3.23297605408023
"map_matched","36-47",3.1551205834251
"snow_matched","36-47",2.86143579467478
"map_full","36-47",3.4010478379324
"snow_full","36-47",2.86068273729932
"map_matched","48-59",2.81449058631132
"snow_matched","48-59",2.56075672405465
"map_full","48-59",3.3896681888572
"snow_full","48-59",2.56742068129297
