"edf","Ref.df","Chi.sq","p-value","term","age_band"
2.47429319936812,2.94186446309753,21.1278495824009,6.63353256849519e-05,"s(pfpr_pct)","<1"
1.619247551929,1.92969980128929,36.8806353747554,0,"s(calendar_year)","<1"
55.9134619535255,134,441.829896781096,0,"s(survey)","<1"
23.5677231038692,36,997.56204867521,0,"s(country)","<1"
174.416892048086,1215,502.393491337709,0,"s(region)","<1"
2.54727746789129,3.06860095755099,38.9269329824232,0,"s(pfpr_pct)","1-5"
3.11245690526535,3.69957196607651,76.8540864735028,0,"s(calendar_year)","1-5"
26.6541672543244,134,93.5661479106876,0,"s(survey)","1-5"
26.8229748246272,36,507.717881538793,0,"s(country)","1-5"
16.4659255513427,1215,34.5791576992386,0,"s(region)","1-5"
3.067767296449,3.54797651101494,135.717070595765,0,"s(pfpr_pct)","6-11"
2.39435366387954,2.88516078540956,50.7028002924118,0,"s(calendar_year)","6-11"
39.9496009073903,134,207.5716535404,0,"s(survey)","6-11"
26.6374625369708,36,790.774556920113,0,"s(country)","6-11"
22.0250406103133,1215,47.426590514246,0,"s(region)","6-11"
3.56717204914589,3.84897138251685,180.358607732047,0,"s(pfpr_pct)","12-23"
2.95284088342341,3.49438979080696,46.1607336002572,0,"s(calendar_year)","12-23"
46.5550899969134,134,377.935746988689,0,"s(survey)","12-23"
26.2135597512423,36,793.46296889878,0,"s(country)","12-23"
100.358542555678,1215,315.760718142676,0,"s(region)","12-23"
3.67022703397485,3.90787915547963,192.176185586146,0,"s(pfpr_pct)","24-35"
1.24505900452114,1.38907349249464,47.4454350186175,0,"s(calendar_year)","24-35"
31.3723498440632,134,195.418950642531,0,"s(survey)","24-35"
25.2313933919513,36,547.888617148777,0,"s(country)","24-35"
55.5405507378757,1215,173.900321076347,0,"s(region)","24-35"
3.33399482994312,3.7441063569722,104.004437478695,0,"s(pfpr_pct)","36-47"
1.0006263223347,1.00123995768647,40.8293578101919,0,"s(calendar_year)","36-47"
8.884917790752,134,22.6318555749389,9.4426703889372e-07,"s(survey)","36-47"
22.8467793178305,36,210.032177891358,0,"s(country)","36-47"
21.1512900158186,1214,47.3475875956813,0,"s(region)","36-47"
3.21787177947302,3.66800945159028,61.72175889306,0,"s(pfpr_pct)","48-59"
1.00033548728525,1.00060904179246,15.7447350187159,7.21710545941168e-05,"s(calendar_year)","48-59"
13.91414447771,134,38.3754667688498,0,"s(survey)","48-59"
14.9766406183504,36,68.9736857401525,0,"s(country)","48-59"
0.000864145723789188,1214,0.00136994153578282,0,"s(region)","48-59"
