"variable","records","regions","surveys","before_missing_records","after_missing_records","before_regions_any_missing","after_regions_any_missing","before_regions_all_missing","after_regions_all_missing","before_surveys_any_missing","after_surveys_any_missing","before_missing_pct","after_missing_pct","level","covariate"
"mean_maternal_age_first_birth",6357802,1113,120,0,0,0,0,0,0,0,0,0,0,"Survey-region","Maternal age at first birth"
"mean_maternal_education_years",6357802,1113,120,0,0,0,0,0,0,0,0,0,0,"Survey-region","Maternal education (years)"
"mean_wealth_quintile",6357802,1113,120,35865,35865,62,62,62,62,9,9,0.564110049353534,0.564110049353534,"Survey-region","Household wealth-quintile score"
"urban_pct",6357802,1113,120,0,0,0,0,0,0,0,0,0,0,"Survey-region","Urban residence (%)"
"dtp3_pct",6357802,1113,120,238725,0,44,0,44,0,12,0,3.75483539751631,0,"Survey-region","DTP3 coverage (%)"
"measles_pct",6357802,1113,120,238725,0,44,0,44,0,12,0,3.75483539751631,0,"Survey-region","Measles coverage (%)"
"facility_delivery_pct",6357802,1113,120,237785,207267,43,36,43,36,11,5,3.74005041364925,3.26004175656933,"Survey-region","Facility delivery (%)"
"short_birth_interval_pct",6357802,1113,120,47904,0,10,0,10,0,8,0,0.75346794379567,0,"Survey-region","Birth interval <24 months (%)"
"improved_water_pct",6357802,1113,120,47904,0,10,0,10,0,8,0,0.75346794379567,0,"Survey-region","Improved drinking water (%)"
"improved_sanitation_pct",6357802,1113,120,47904,0,10,0,10,0,8,0,0.75346794379567,0,"Survey-region","Improved sanitation (%)"
"electricity_pct",6357802,1113,120,136738,88834,22,12,22,12,9,1,2.15071183405837,1.3972438902627,"Survey-region","Household electricity (%)"
"wasting_pct",6357802,1113,120,464725,434207,100,93,100,93,16,10,7.30952300810878,6.82951435102886,"Survey-region","Wasting prevalence (%)"
"stunting_pct",6357802,1113,120,391596,361078,78,71,78,71,15,9,6.15929844936977,5.67928979228985,"Survey-region","Stunting prevalence (%)"
"log_hiv_incidence",6357802,1113,120,905671,142323,65,26,65,26,12,5,14.2450331104995,2.23855665841748,"Country / band-entry year","Child HIV incidence (log)"
"log_gdp_pc",6357802,1113,120,0,0,0,0,0,0,0,0,0,0,"Country / band-entry year","GDP per capita (log)"
"log_health_expenditure_pc",6357802,1113,120,63255,63255,62,62,10,10,7,7,0.994919313309851,0.994919313309851,"Country / band-entry year","Health expenditure per capita (log)"
"political_stability",6357802,1113,120,179937,179937,206,206,0,0,26,26,2.83017621498751,2.83017621498751,"Country / band-entry year","Political stability"
