"survey","regkey","mean_maternal_age_first_birth","eligible_mothers","observed_mothers","missing_mothers","v212_available"
"AO62FL","mesoendemicstable",18.0421008417839,1389,1389,0,TRUE
"AO62FL","hyperendemic",18.6782116042329,1275,1274,1,TRUE
"AO62FL","mesoendemicunstable",18.2845867521863,1466,1466,0,TRUE
"AO62FL","luanda",19.3676385089639,1203,1203,0,TRUE
"AO71FL","benguela",18.6366711964598,536,536,0,TRUE
"AO71FL","lundasul",18.1907004657625,540,540,0,TRUE
"AO71FL","luanda",19.0964124201127,896,896,0,TRUE
"AO71FL","cuandocubango",18.0457412768521,452,452,0,TRUE
"AO71FL","namibe",18.5839582560693,503,503,0,TRUE
"AO71FL","cabinda",19.003203499211,422,422,0,TRUE
"AO71FL","cuanzasul",18.2880665715466,448,448,0,TRUE
"AO71FL","malanje",17.782126944623,470,470,0,TRUE
"AO71FL","huila",18.1378954562795,548,548,0,TRUE
"AO71FL","lundanorte",18.7939945164617,466,466,0,TRUE
"AO71FL","huambo",18.2937416523534,540,540,0,TRUE
"AO71FL","moxico",19.4863360122424,339,339,0,TRUE
"AO71FL","zaire",18.734818659136,500,500,0,TRUE
"AO71FL","bie",17.7931595263959,479,479,0,TRUE
"AO71FL","bengo",19.1577497598654,379,379,0,TRUE
"AO71FL","cuanzanorte",18.5697777069992,387,387,0,TRUE
"AO71FL","cunene",19.0553194167719,533,533,0,TRUE
"AO71FL","uige",19.3792213062319,492,492,0,TRUE
"AO81FL","moxico",18.5078113621843,353,353,0,TRUE
"AO81FL","uige",18.5811383101869,460,460,0,TRUE
"AO81FL","cabinda",18.8722944407486,384,384,0,TRUE
"AO81FL","bie",18.0200243577008,484,484,0,TRUE
"AO81FL","cunene",19.2291573663251,493,493,0,TRUE
"AO81FL","northcuanza",18.4282217456149,345,345,0,TRUE
"AO81FL","huambo",17.9550785145658,537,537,0,TRUE
"AO81FL","northlunda",18.6369952984106,434,434,0,TRUE
"AO81FL","luanda",20.0580650614871,490,490,0,TRUE
"AO81FL","benguela",19.0196019640855,524,524,0,TRUE
"AO81FL","bengo",18.451078227712,397,397,0,TRUE
