"survey","country","region","records","before_missing","after_missing","variable"
"AO62FL","AGO","AGO:AO62FL:mesoendemicstable",11773,0,0,"mean_maternal_age_first_birth"
"AO62FL","AGO","AGO:AO62FL:hyperendemic",11128,0,0,"mean_maternal_age_first_birth"
"AO62FL","AGO","AGO:AO62FL:mesoendemicunstable",12127,0,0,"mean_maternal_age_first_birth"
"AO62FL","AGO","AGO:AO62FL:luanda",9153,0,0,"mean_maternal_age_first_birth"
"AO62FL","AGO","AGO:AO62FL:mesoendemicstable",11773,0,0,"mean_maternal_education_years"
"AO62FL","AGO","AGO:AO62FL:hyperendemic",11128,0,0,"mean_maternal_education_years"
"AO62FL","AGO","AGO:AO62FL:mesoendemicunstable",12127,0,0,"mean_maternal_education_years"
"AO62FL","AGO","AGO:AO62FL:luanda",9153,0,0,"mean_maternal_education_years"
"AO62FL","AGO","AGO:AO62FL:mesoendemicstable",11773,0,0,"mean_wealth_quintile"
"AO62FL","AGO","AGO:AO62FL:hyperendemic",11128,0,0,"mean_wealth_quintile"
"AO62FL","AGO","AGO:AO62FL:mesoendemicunstable",12127,0,0,"mean_wealth_quintile"
"AO62FL","AGO","AGO:AO62FL:luanda",9153,0,0,"mean_wealth_quintile"
"AO62FL","AGO","AGO:AO62FL:mesoendemicstable",11773,0,0,"urban_pct"
"AO62FL","AGO","AGO:AO62FL:hyperendemic",11128,0,0,"urban_pct"
"AO62FL","AGO","AGO:AO62FL:mesoendemicunstable",12127,0,0,"urban_pct"
"AO62FL","AGO","AGO:AO62FL:luanda",9153,0,0,"urban_pct"
"AO62FL","AGO","AGO:AO62FL:mesoendemicstable",11773,11773,0,"dtp3_pct"
"AO62FL","AGO","AGO:AO62FL:hyperendemic",11128,11128,0,"dtp3_pct"
"AO62FL","AGO","AGO:AO62FL:mesoendemicunstable",12127,12127,0,"dtp3_pct"
"AO62FL","AGO","AGO:AO62FL:luanda",9153,9153,0,"dtp3_pct"
"AO62FL","AGO","AGO:AO62FL:mesoendemicstable",11773,11773,0,"measles_pct"
"AO62FL","AGO","AGO:AO62FL:hyperendemic",11128,11128,0,"measles_pct"
"AO62FL","AGO","AGO:AO62FL:mesoendemicunstable",12127,12127,0,"measles_pct"
"AO62FL","AGO","AGO:AO62FL:luanda",9153,9153,0,"measles_pct"
"AO62FL","AGO","AGO:AO62FL:mesoendemicstable",11773,11773,11773,"facility_delivery_pct"
"AO62FL","AGO","AGO:AO62FL:hyperendemic",11128,11128,11128,"facility_delivery_pct"
"AO62FL","AGO","AGO:AO62FL:mesoendemicunstable",12127,12127,12127,"facility_delivery_pct"
"AO62FL","AGO","AGO:AO62FL:luanda",9153,9153,9153,"facility_delivery_pct"
"AO62FL","AGO","AGO:AO62FL:mesoendemicstable",11773,0,0,"short_birth_interval_pct"
"AO62FL","AGO","AGO:AO62FL:hyperendemic",11128,0,0,"short_birth_interval_pct"
"AO62FL","AGO","AGO:AO62FL:mesoendemicunstable",12127,12127,0,"short_birth_interval_pct"
"AO62FL","AGO","AGO:AO62FL:luanda",9153,0,0,"short_birth_interval_pct"
"AO62FL","AGO","AGO:AO62FL:mesoendemicstable",11773,0,0,"improved_water_pct"
"AO62FL","AGO","AGO:AO62FL:hyperendemic",11128,0,0,"improved_water_pct"
"AO62FL","AGO","AGO:AO62FL:mesoendemicunstable",12127,12127,0,"improved_water_pct"
"AO62FL","AGO","AGO:AO62FL:luanda",9153,0,0,"improved_water_pct"
"AO62FL","AGO","AGO:AO62FL:mesoendemicstable",11773,0,0,"improved_sanitation_pct"
"AO62FL","AGO","AGO:AO62FL:hyperendemic",11128,0,0,"improved_sanitation_pct"
"AO62FL","AGO","AGO:AO62FL:mesoendemicunstable",12127,12127,0,"improved_sanitation_pct"
