"survey","IndicatorId","CharacteristicLabel","value"
"BF43FL","CN_NUTS_C_HA2","Centre (excluding Ouagadougou)",39.9
"BF43FL","CN_NUTS_C_WH2","Centre (excluding Ouagadougou)",14.3
"BF62FL","CN_NUTS_C_HA2","Ouagadougou",18
"BF62FL","CN_NUTS_C_WH2","Ouagadougou",17.1
"BF81FL","CN_NUTS_C_HA2","Ouagadougou",13.6
"BF81FL","CN_NUTS_C_WH2","Ouagadougou",11.4
"BJ41FL","CN_NUTS_C_HA2","Atlantique/Littoral",32.3
"BJ41FL","CN_NUTS_C_HA2","..Littoral (Cotonou)",24.1
"BJ41FL","CN_NUTS_C_HA2","Ouémé/Plateau",33.4
"BJ41FL","CN_NUTS_C_WH2","Atlantique/Littoral",5.7
"BJ41FL","CN_NUTS_C_WH2","..Littoral (Cotonou)",3.9
"BJ41FL","CN_NUTS_C_WH2","Ouémé/Plateau",7.9
"BJ51FL","CN_NUTS_C_HA2","Atacora/Donga",39.7
"BJ51FL","CN_NUTS_C_HA2","Atlantique/Littoral",35
"BJ51FL","CN_NUTS_C_HA2","Borgou/Alibori",53.9
"BJ51FL","CN_NUTS_C_HA2","Mono/Couffo",40.8
"BJ51FL","CN_NUTS_C_HA2","Ouémé/Plateau",39.1
"BJ51FL","CN_NUTS_C_HA2","Zou/Collines",48.6
"BJ51FL","CN_NUTS_C_WH2","Atacora/Donga",15.8
"BJ51FL","CN_NUTS_C_WH2","Atlantique/Littoral",8.2
"BJ51FL","CN_NUTS_C_WH2","Borgou/Alibori",11
"BJ51FL","CN_NUTS_C_WH2","Mono/Couffo",4.6
"BJ51FL","CN_NUTS_C_WH2","Ouémé/Plateau",7.6
"BJ51FL","CN_NUTS_C_WH2","Zou/Collines",4.6
"BJ71FL","CN_NUTS_C_HA2","Atacora/Donga",32.4
"BJ71FL","CN_NUTS_C_HA2","Atlantique/Littoral",27
"BJ71FL","CN_NUTS_C_HA2","Borgou/Alibori",35.1
"BJ71FL","CN_NUTS_C_HA2","Mono/Couffo",34.2
"BJ71FL","CN_NUTS_C_HA2","Ouémé/Plateau",32.3
"BJ71FL","CN_NUTS_C_HA2","Zou/Collines",30.7
"BJ71FL","CN_NUTS_C_WH2","Atacora/Donga",5.4
"BJ71FL","CN_NUTS_C_WH2","Atlantique/Littoral",4.5
"BJ71FL","CN_NUTS_C_WH2","Borgou/Alibori",6
"BJ71FL","CN_NUTS_C_WH2","Mono/Couffo",4.1
"BJ71FL","CN_NUTS_C_WH2","Ouémé/Plateau",5.1
"BJ71FL","CN_NUTS_C_WH2","Zou/Collines",3.7
"BU71FL","CN_NUTS_C_HA2","North",62.2
"BU71FL","CN_NUTS_C_HA2","Centre-East",59.3
"BU71FL","CN_NUTS_C_HA2","West",54.7
"BU71FL","CN_NUTS_C_HA2","South",51.3
"BU71FL","CN_NUTS_C_WH2","North",5.9
"BU71FL","CN_NUTS_C_WH2","Centre-East",5.7
"BU71FL","CN_NUTS_C_WH2","West",4.1
"BU71FL","CN_NUTS_C_WH2","South",4.3
"CD61FL","CN_NUTS_C_HA2","..Kwango",45.6
"CD61FL","CN_NUTS_C_HA2","..Kwilu",38.9
"CD61FL","CN_NUTS_C_HA2","..Mai-Ndombe",32
"CD61FL","CN_NUTS_C_HA2","..Mongala",40.9
"CD61FL","CN_NUTS_C_HA2","..Nord-Ubangi",41.5
"CD61FL","CN_NUTS_C_HA2","..Sud-Ubangi",40.8
"CD61FL","CN_NUTS_C_HA2","..Tshuapa",47.8
"CD61FL","CN_NUTS_C_HA2","..Bas-Uele",43.1
"CD61FL","CN_NUTS_C_HA2","..Haut-Uele",40.7
"CD61FL","CN_NUTS_C_HA2","..Ituri",44.5
"CD61FL","CN_NUTS_C_HA2","..Tshopo",42.4
"CD61FL","CN_NUTS_C_HA2","..Haut-Katanga",40.4
"CD61FL","CN_NUTS_C_HA2","..Haut-Lomani",49.5
"CD61FL","CN_NUTS_C_HA2","..Lualaba",42.1
"CD61FL","CN_NUTS_C_HA2","..Tanganyka",51
"CD61FL","CN_NUTS_C_HA2","..Lomani",51.1
"CD61FL","CN_NUTS_C_HA2","..Sankuru",50.1
"CD61FL","CN_NUTS_C_HA2","..Kasai",57.9
"CD61FL","CN_NUTS_C_HA2","..Kasai-Central",46.8
