"source_label","source_key","regkey","match_method","survey"
"Cabinda","cabinda","cabinda","exact","AO71FL"
"Zaire","zaire","zaire","exact","AO71FL"
"Uíge","uige","uige","exact","AO71FL"
"Luanda","luanda","luanda","exact","AO71FL"
"Cuanza Norte","cuanzanorte","cuanzanorte","exact","AO71FL"
"Cuanza Sul","cuanzasul","cuanzasul","exact","AO71FL"
"Malanje","malanje","malanje","exact","AO71FL"
"Lunda Norte","lundanorte","lundanorte","exact","AO71FL"
"Benguela","benguela","benguela","exact","AO71FL"
"Huambo","huambo","huambo","exact","AO71FL"
"Bié","bie","bie","exact","AO71FL"
"Moxico","moxico","moxico","exact","AO71FL"
"Cuando Cubango","cuandocubango","cuandocubango","exact","AO71FL"
"Namibe","namibe","namibe","exact","AO71FL"
"Huíla","huila","huila","exact","AO71FL"
"Cunene","cunene","cunene","exact","AO71FL"
"Lunda Sul","lundasul","lundasul","exact","AO71FL"
"Bengo","bengo","bengo","exact","AO71FL"
"Cabinda","cabinda","cabinda","exact","AO81FL"
"Zaire","zaire","zaire","exact","AO81FL"
"Uíge","uige","uige","exact","AO81FL"
"Luanda","luanda","luanda","exact","AO81FL"
"Cuanza Norte","cuanzanorte","northcuanza","canonical","AO81FL"
"Cuanza Sul","cuanzasul","southcuanza","canonical","AO81FL"
"Malanje","malanje","malanje","exact","AO81FL"
"Lunda Norte","lundanorte","northlunda","canonical","AO81FL"
"Benguela","benguela","benguela","exact","AO81FL"
"Huambo","huambo","huambo","exact","AO81FL"
"Bié","bie","bie","exact","AO81FL"
"Moxico","moxico","moxico","exact","AO81FL"
"Cuando Cubango","cuandocubango","cuandocubango","exact","AO81FL"
"Namibe","namibe","namibe","exact","AO81FL"
"Huíla","huila","huila","exact","AO81FL"
"Cunene","cunene","cunene","exact","AO81FL"
"Lunda Sul","lundasul","southlunda","canonical","AO81FL"
"Bengo","bengo","bengo","exact","AO81FL"
"Ouagadougou","ouagadougou","ouagadougou","exact","BF43FL"
"Boucle de Mouhoun","boucledemouhoun","boucledumouhoun","canonical","BF43FL"
"Centre (excluding Ouagadougou)","centreexcludingouagadougou",,"unmatched","BF43FL"
"Centre-Sud","centresud","centresud","exact","BF43FL"
"Plateau Central","plateaucentral","plateaucentral","exact","BF43FL"
"Centre-Est","centreest","centreest","exact","BF43FL"
"Centre-Nord","centrenord","centrenord","exact","BF43FL"
