"year","source","deaths","rate_per100000","under5_person_years","countries"
2004,"New method",1024569.1988741,834.121279107274,122832161.765571,42
2005,"New method",973147.614140256,770.194380329496,126350910.756313,42
2006,"New method",923856.79402259,711.308151777111,129881373.032834,42
2007,"New method",878640.728070287,658.643613930654,133401540.603534,42
2008,"New method",839102.376035768,612.932521609894,136899633.557023,42
2009,"New method",821080.861380264,585.08663818606,140334919.273811,42
2010,"New method",802985.844310207,558.9081099589,143670458.524793,42
2011,"New method",774132.194778174,527.059017672389,146877706.067324,42
2012,"New method",755641.667943378,503.948110749716,149944339.868488,42
2013,"New method",751198.711966389,491.257337650615,152913484.317387,42
2014,"New method",721728.382367853,463.2127232326,155809274.264136,42
2015,"New method",694533.528813846,438.039891211161,158554858.301487,42
2016,"New method",657008.360394093,407.774656952246,161120449.540599,42
2017,"New method",640672.614721003,391.710052778374,163557868.933093,42
2018,"New method",635958.406804236,383.481306231647,165838176.84716,42
2019,"New method",635858.674056487,378.232799566163,168113044.343543,42
2020,"New method",627945.661765201,368.591324063529,170363657.734106,42
2021,"New method",597714.239133511,346.620432838624,172440566.82942,42
2022,"New method",580728.537829264,333.044392847785,174369708.753716,42
2023,"New method",576952.088706648,327.349791472409,176249413.849184,42
2024,"New method",592353.175637189,333.812743173403,177450737.801667,42
2004,"IHME",584453.040478886,475.81434054245,122832161.765571,42
2005,"IHME",564066.526910137,446.428540588858,126350910.756313,42
2006,"IHME",554937.729927586,427.265062702483,129881373.032834,42
2007,"IHME",536695.125596742,402.315537863079,133401540.603534,42
2008,"IHME",523508.878986053,382.403418755678,136899633.557023,42
2009,"IHME",512614.088464976,365.279070325184,140334919.273811,42
2010,"IHME",493613.981409873,343.573749592154,143670458.524793,42
2011,"IHME",466206.53550503,317.411367584498,146877706.067324,42
2012,"IHME",450122.710264977,300.193198796145,149944339.868488,42
2013,"IHME",441161.752620604,288.504152913636,152913484.317387,42
2014,"IHME",422381.860657935,271.089036678197,155809274.264136,42
2015,"IHME",416121.688943615,262.446508042265,158554858.301487,42
2016,"IHME",399457.771192791,247.924935867397,161120449.540599,42
2017,"IHME",391929.926110506,239.62767958956,163557868.933093,42
2018,"IHME",394470.024526765,237.864424239491,165838176.84716,42
2019,"IHME",396709.770868792,235.977982801922,168113044.343543,42
2020,"IHME",442134.532961011,259.523972918608,170363657.734106,42
2021,"IHME",433442.929786364,251.357866513586,172440566.82942,42
2022,"IHME",411776.616828822,236.151462184539,174369708.753716,42
2023,"IHME",400147.764677009,227.034947769763,176249413.849184,42
2024,"IHME",428146.804091449,241.276429388521,177450737.801667,42
2004,"WHO/UNICEF (CA-CODE)",668525,544.258922411462,122832161.765571,42
2005,"WHO/UNICEF (CA-CODE)",610848,483.453578880896,126350910.756313,42
2006,"WHO/UNICEF (CA-CODE)",592624,456.280978682126,129881373.032834,42
2007,"WHO/UNICEF (CA-CODE)",586803,439.877228812494,133401540.603534,42
2008,"WHO/UNICEF (CA-CODE)",564897,412.635874415764,136899633.557023,42
2009,"WHO/UNICEF (CA-CODE)",582299,414.935215706264,140334919.273811,42
2010,"WHO/UNICEF (CA-CODE)",521487,362.974410574465,143670458.524793,42
2011,"WHO/UNICEF (CA-CODE)",489046,332.961354785755,146877706.067324,42
2012,"WHO/UNICEF (CA-CODE)",463032,308.802586617216,149944339.868488,42
2013,"WHO/UNICEF (CA-CODE)",443941,290.321682212509,152913484.317387,42
2014,"WHO/UNICEF (CA-CODE)",431452,276.910345701618,155809274.264136,42
2015,"WHO/UNICEF (CA-CODE)",416815,262.883776924349,158554858.301487,42
2016,"WHO/UNICEF (CA-CODE)",408679,253.648125464683,161120449.540599,42
2017,"WHO/UNICEF (CA-CODE)",413605,252.879915040464,163557868.933093,42
2018,"WHO/UNICEF (CA-CODE)",400709,241.626510625055,165838176.84716,42
2019,"WHO/UNICEF (CA-CODE)",419148,249.325090528646,168113044.343543,42
2020,"WHO/UNICEF (CA-CODE)",419523,246.251463240339,170363657.734106,42
2021,"WHO/UNICEF (CA-CODE)",429619,249.140331593194,172440566.82942,42
2022,"WHO/UNICEF (CA-CODE)",462939,265.492787313114,174369708.753716,42
2023,"WHO/UNICEF (CA-CODE)",437626,248.299265479813,176249413.849184,42
2024,"WHO/UNICEF (CA-CODE)",440123,248.025455093861,177450737.801667,42
