"iso3","country","year","series","pfpr_pct","exposure_source","status","ihme_under5_deaths","attributable_under5_deaths","counterfactual_under5_deaths","attributable_fraction","ihme_malaria_deaths","map_population_coverage","any_current_pfpr_outside_observed_support","any_zero_below_observed_support","temporal_transport_from_pre2016_fit"
"AGO","Angola",2005,"map_full",20.1035553415068,"MAP","estimated",96551.420798192,25905.0229330596,70646.3978651324,0.268302866171232,17036.3618753842,0.998084957706995,FALSE,TRUE,FALSE
"BDI","Burundi",2005,"map_full",32.7108667147613,"MAP","estimated",39965.5290915808,12534.8307861437,27430.6983054371,0.313641056957365,9544.83585622456,0.903118502531811,FALSE,TRUE,FALSE
"BEN","Benin",2005,"map_full",56.789331963267,"MAP","estimated",35764.568969811,11829.7617667668,23934.8072030442,0.330767631416231,7882.71211201263,1,FALSE,TRUE,FALSE
"BFA","Burkina Faso",2005,"map_full",53.1839944402602,"MAP","estimated",88292.8538201055,31806.640014694,56486.2138054115,0.36024025318628,24966.6794975544,1,FALSE,TRUE,FALSE
"BWA","Botswana",2005,"map_full",0.0739687942020688,"MAP","estimated",2386.55814676257,2.52892092831887,2384.02922583426,0.00105965192247648,1.01106893548783,0.500006041684288,FALSE,TRUE,FALSE
"CAF","Central African Republic",2005,"map_full",57.137610295232,"MAP","estimated",27492.8570841914,8695.03789445171,18797.8191897397,0.316265343679084,3752.68743335549,1,FALSE,TRUE,FALSE
"CIV","Cote d'Ivoire",2005,"map_full",62.0559536355424,"MAP","estimated",80769.9833548921,23927.7443991399,56842.2389557522,0.296245503654554,18927.1407480006,0.999044906250652,FALSE,TRUE,FALSE
"CMR","Cameroon",2005,"map_full",48.6084683420969,"MAP","estimated",89440.1172170792,30989.695564457,58450.4216526222,0.346485408658871,20518.3763959582,0.994188327616715,FALSE,TRUE,FALSE
"COD","Democratic Republic of the Congo",2005,"map_full",64.5181086884157,"MAP","estimated",291364.155661708,97923.9235399962,193440.232121712,0.336087750113271,90901.2946546033,0.967925701459564,FALSE,TRUE,FALSE
"COG","Congo",2005,"map_full",32.8294542135053,"MAP","estimated",10371.3261694714,3069.97056026712,7301.3556092043,0.29600559370158,1798.4947973644,0.999999884856155,FALSE,TRUE,FALSE
"COM","Comoros",2005,"map_full",1.49344288730066,"MAP","estimated",1294.11415854412,26.6880525449881,1267.42610599913,0.0206226416493365,6.01667570728837,0.977875023773357,FALSE,TRUE,FALSE
"CPV","Cape Verde",2005,"map_full",,"MAP","missing_MAP_no_estimate",487.882790929842,,,,0.360636598851271,,,TRUE,FALSE
"DJI","Djibouti",2005,"map_full",0.180218583070353,"MAP","estimated",1827.74449858499,3.93832690082183,1823.80617168416,0.00215474695936485,3.15105029062501,0.900748542924068,FALSE,TRUE,FALSE
