"age_band","pfpr_pct","reference_pct","attributable_fraction","lower_95","upper_95","zero_below_observed_support","current_outside_observed_support"
"<1",10,0,0.0140214693333482,-0.0155741247161412,0.0427545963646011,TRUE,FALSE
"<1",20,0,0.0315291733568887,-0.0176150279909379,0.0783000287343005,TRUE,FALSE
"<1",30,0,0.0523200913678714,-0.00408261033213431,0.1055544633644,TRUE,FALSE
"<1",50,0,0.0627104659654073,-0.000694255883377348,0.122097818144,TRUE,FALSE
"1-5",10,0,0.0540164123303819,0.0166485330005316,0.0899642923492321,TRUE,FALSE
"1-5",20,0,0.101013743436417,0.0390272556166711,0.159001861172635,TRUE,FALSE
"1-5",30,0,0.138662228826575,0.0656945543823563,0.205931251359076,TRUE,FALSE
"1-5",50,0,0.187588445157132,0.105316020716772,0.262295347044247,TRUE,FALSE
"6-11",10,0,0.14426672859183,0.0957249661563895,0.190202754263397,TRUE,FALSE
"6-11",20,0,0.253529345395795,0.182264002173428,0.318583944370506,TRUE,FALSE
"6-11",30,0,0.32710943616105,0.253478818138022,0.393477744631212,TRUE,FALSE
"6-11",50,0,0.405807135459077,0.334504545044193,0.469470215548215,TRUE,FALSE
"12-23",10,0,0.30631918894407,0.247335572846602,0.360680470250068,TRUE,FALSE
"12-23",20,0,0.467593662442029,0.395538133871128,0.531059734028848,TRUE,FALSE
"12-23",30,0,0.522847699080128,0.456074450043557,0.58142374762252,TRUE,FALSE
"12-23",50,0,0.540366172817436,0.473457351135573,0.598772757446878,TRUE,FALSE
"24-35",10,0,0.371522557204064,0.310290932521862,0.427318104505217,TRUE,FALSE
"24-35",20,0,0.551971648123111,0.482484402907494,0.612128783725061,TRUE,FALSE
"24-35",30,0,0.611602464868203,0.549846048945924,0.664886546162217,TRUE,FALSE
"24-35",50,0,0.6196198128648,0.556716906398648,0.673596649965789,TRUE,FALSE
"36-47",10,0,0.322868898856548,0.253523661955465,0.385772187586221,TRUE,FALSE
"36-47",20,0,0.499285048138518,0.417446283839856,0.5696268754919,TRUE,FALSE
"36-47",30,0,0.571944932036845,0.499891035979302,0.633617562589104,TRUE,FALSE
"36-47",50,0,0.573411603127017,0.499440390053375,0.636451569941757,TRUE,FALSE
"48-59",10,0,0.334443946897291,0.254305404126278,0.405970135397537,TRUE,FALSE
"48-59",20,0,0.49492211028526,0.398525189763518,0.575869728312652,TRUE,FALSE
"48-59",30,0,0.531565003942701,0.441046576432167,0.607424632752836,TRUE,FALSE
"48-59",50,0,0.49591841885838,0.396377314531801,0.579044581054562,TRUE,FALSE
