"age_band","pfpr_pct","log_hr_zero_vs_current","log_hr_se","attributable_fraction","af_lower_95","af_upper_95","zero_below_observed_support","current_outside_central95"
"<1",10,-0.0255614491977452,0.0157432979797682,0.0252375212469616,-0.00530946033306674,0.0548563129307749,TRUE,FALSE
"<1",20,-0.054716995313003,0.0263740249985657,0.0532469544071165,0.00301933891606708,0.100944116243053,TRUE,FALSE
"<1",30,-0.0873511585310962,0.0307376779024882,0.083644746837068,0.0267412575972526,0.137221261505176,TRUE,FALSE
"<1",40,-0.111986720795236,0.0328864421952809,0.105943870224052,0.0464174616116048,0.161754404038409,TRUE,FALSE
"1-5",10,-0.0774939008360664,0.0215260866172523,0.0745673312550198,0.0346868968696808,0.112800166491849,TRUE,FALSE
"1-5",20,-0.145731305478703,0.0363022326683169,0.135610071177494,0.0718657859540938,0.194976397009731,TRUE,FALSE
"1-5",30,-0.197863422785048,0.0426820283548368,0.179518095380732,0.107926407684625,0.245364326882048,TRUE,FALSE
"1-5",40,-0.234357204900679,0.0458165302473195,0.208920811942235,0.134594248899922,0.276863735903503,TRUE,FALSE
"6-11",10,-0.197161829399501,0.0298826531846921,0.178942248722007,0.129416697332856,0.225650401439619,TRUE,FALSE
"6-11",20,-0.362777405662008,0.0486960560467333,0.304258715665404,0.234581959171521,0.367592728538751,TRUE,FALSE
"6-11",30,-0.476085733979119,0.0538337067079028,0.378789778859776,0.309660427804108,0.440996642244375,TRUE,FALSE
"6-11",40,-0.548595323900218,0.055164845971024,0.422239192549347,0.35626763773125,0.481449791572432,TRUE,FALSE
"12-23",10,-0.344224407151383,0.0403083836691522,0.291230142822778,0.232962797714794,0.345071257370083,TRUE,FALSE
"12-23",20,-0.609104280577972,0.0636399961073521,0.45616222296519,0.38391472291731,0.519937354889156,TRUE,FALSE
"12-23",30,-0.748404601751357,0.0670323995941258,0.526879233011955,0.460450689746508,0.5851291885626,TRUE,FALSE
"12-23",40,-0.804463792993505,0.0669295895423817,0.552672277477511,0.489967993551318,0.607667580059427,TRUE,FALSE
"24-35",10,-0.434272847542648,0.0431700969909444,0.352264501666436,0.295071893129784,0.404816928545771,TRUE,FALSE
"24-35",20,-0.747729824490844,0.0674365095514548,0.526559874140981,0.459658680402861,0.585177841034775,TRUE,FALSE
"24-35",30,-0.876794379444359,0.0695137795061669,0.583885318256299,0.523147171629775,0.636887068585807,TRUE,FALSE
"24-35",40,-0.910732349698993,0.0683162552854708,0.597770456542886,0.540139680715039,0.648178808118769,TRUE,FALSE
"36-47",10,-0.348285016059429,0.0458849126163647,0.294102344627934,0.227675582518851,0.354815814984973,TRUE,FALSE
"36-47",20,-0.610836174555928,0.0720145338949104,0.457103277197922,0.374802505600947,0.5285700050469,TRUE,FALSE
"36-47",30,-0.73875480752205,0.0751212356652938,0.52229161578307,0.446513094982386,0.587695213233839,TRUE,FALSE
"36-47",40,-0.781618427533378,0.0742046715598358,0.54233528557549,0.47068802241836,0.60428443016489,TRUE,FALSE
"48-59",10,-0.320082464178517,0.0523451394773589,0.27391084174117,0.19546112421543,0.344711011973292,TRUE,FALSE
"48-59",20,-0.54723533672852,0.0818599346055656,0.421452910717492,0.320766189205035,0.507214262309005,TRUE,FALSE
"48-59",30,-0.632529472609873,0.0853106367398688,0.468753672978808,0.372066258094301,0.55055344037255,TRUE,FALSE
"48-59",40,-0.644546082636123,0.0842918780069003,0.475099250396199,0.380804362270912,0.555034337862732,TRUE,FALSE
