"year","iso3","country","previous_deaths","rerun_deaths","difference_deaths"
2005,"AGO","Angola",24155.6330463862,26468.2303330904,2312.59728670421
2005,"BDI","Burundi",12256.9763160432,13128.6624378662,871.686121822968
2005,"BEN","Benin",12532.7817101421,12856.6397542876,323.85804414554
2005,"BFA","Burkina Faso",32764.2238215029,33944.5040185557,1180.28019705279
2005,"BWA","Botswana",2.24378125896788,2.75486107658518,0.5110798176173
2005,"CAF","Central African Republic",9210.12242676941,9517.77683548985,307.654408720435
2005,"CIV","Cote d'Ivoire",26322.9912890305,26792.8135302914,469.82224126091
2005,"CMR","Cameroon",31795.3384271552,33080.1641969166,1284.82576976142
2005,"COD","Democratic Republic of the Congo",105102.242948752,107400.386238957,2298.14329020517
2005,"COG","Congo",3040.08122640521,3249.91470384476,209.833477439548
2005,"COM","Comoros",24.2301625876496,27.7612293583157,3.5310667706661
2005,"CPV","Cape Verde",,,
2005,"DJI","Djibouti",3.5965993396833,4.21777011883472,0.62117077915142
2005,"ERI","Eritrea",66.1922231062939,73.8464978493198,7.65427474302589
2005,"ETH","Ethiopia",40940.7706692935,45424.3371072403,4483.56643794679
2005,"GAB","Gabon",390.34018391332,434.211157089419,43.870973176099
2005,"GHA","Ghana",16285.386524923,17112.398399041,827.01187411803
2005,"GIN","Guinea",15907.2125104209,16630.4746713936,723.262160972696
2005,"GMB","The Gambia",480.15533845255,530.342803650015,50.1874651974651
2005,"GNB","Guinea-Bissau",633.935467902709,705.960045004528,72.0245771018185
2005,"GNQ","Equatorial Guinea",797.754766834626,856.365522063279,58.610755228653
2005,"KEN","Kenya",12357.3984250662,13849.2074827561,1491.80905768986
2005,"LBR","Liberia",5793.34156617838,6123.89319124918,330.551625070797
2005,"LSO","Lesotho",,,
2005,"MDG","Madagascar",12553.404286962,13900.2257830258,1346.8214960638
2005,"MLI","Mali",29444.0738902305,30812.4977121863,1368.42382195583
2005,"MOZ","Mozambique",31312.0652963714,32981.3943734422,1669.32907707082
2005,"MRT","Mauritania",387.166735774968,433.087436219766,45.9207004447976
2005,"MWI","Malawi",18988.7305695554,20251.8899485815,1263.15937902614
2005,"NAM","Namibia",221.374106151812,253.902859481804,32.5287533299923
2005,"NER","Niger",41975.0988109282,44866.7755691014,2891.67675817324
2005,"NGA","Nigeria",324443.412883722,338231.982743434,13788.5698597117
2005,"RWA","Rwanda",3032.63854327557,3413.38269321773,380.744149942162
2005,"SEN","Senegal",3163.44978992705,3510.8634844792,347.413694552154
2005,"SLE","Sierra Leone",12478.6600448421,13275.0999391238,796.439894281661
2005,"SOM","Somalia",13107.4981293135,14663.2303202318,1555.73219091827
2005,"SSD","South Sudan",11381.3507390556,12284.8625120929,903.511773037308
2005,"STP","Sao Tome and Principe",,,
2005,"SWZ","Swaziland",120.675319019243,143.060150848327,22.3848318290844
2005,"TCD","Chad",18531.0189273183,20395.9759520193,1864.95702470097
2005,"TGO","Togo",7762.34396956442,7968.1505304758,205.806560911383
2005,"TZA","Tanzania",33734.530220507,37021.8685753452,3287.3383548382
2005,"UGA","Uganda",45543.6106403141,47964.0453208801,2420.434680566
2005,"ZMB","Zambia",13239.967580761,14542.6354758413,1302.66789508025
2005,"ZWE","Zimbabwe",1650.7244766955,1872.90458285356,222.18010615806
2015,"AGO","Angola",12585.8999595238,14012.4148414499,1426.51488192606
2015,"BDI","Burundi",8062.74021781343,8887.28933300008,824.549115186654
2015,"BEN","Benin",12882.0991528068,13536.5791562499,654.480003443134
2015,"BFA","Burkina Faso",16984.2988183619,17806.3287299808,822.029911618945
2015,"BWA","Botswana",1.6833516014288,2.05978985978996,0.376438258361156
2015,"CAF","Central African Republic",8341.83552381646,8865.22419573778,523.388671921324
2015,"CIV","Cote d'Ivoire",17468.1796331476,19106.2453514778,1638.06571833018
2015,"CMR","Cameroon",23706.7898069452,25532.5241290159,1825.73432207066
2015,"COD","Democratic Republic of the Congo",75956.8802447916,81438.4235527485,5481.5433079569
2015,"COG","Congo",1929.9867597863,2123.56186152372,193.575101737418
2015,"COM","Comoros",3.20720024747472,3.68476469275132,0.477564445276597
2015,"CPV","Cape Verde",,,
2015,"DJI","Djibouti",9.25261282881919,10.8096837412529,1.55707091243369
2015,"ERI","Eritrea",102.533586492476,114.683020517815,12.1494340253391
2015,"ETH","Ethiopia",11413.4980973416,12801.7881842251,1388.29008688346
2015,"GAB","Gabon",393.24630816237,435.356245508975,42.1099373466054
2015,"GHA","Ghana",10650.7311481852,11313.6717475899,662.940599404652
2015,"GIN","Guinea",14656.4615389959,15448.7368724406,792.275333444675
2015,"GMB","The Gambia",752.27657323347,817.155461939348,64.8788887058785
2015,"GNB","Guinea-Bissau",432.772445582926,479.193957048446,46.4215114655198
2015,"GNQ","Equatorial Guinea",643.073905915208,692.323462783572,49.2495568683638
2015,"KEN","Kenya",3866.11085150332,4385.52000400618,519.40915250286
2015,"LBR","Liberia",4612.62542918194,4934.86620630708,322.24077712514
2015,"LSO","Lesotho",,,
2015,"MDG","Madagascar",5693.1320142018,6392.76639521845,699.634381016647
2015,"MLI","Mali",25531.0009250281,27014.0496876501,1483.04876262202
2015,"MOZ","Mozambique",20283.9109353449,21561.6262054738,1277.71527012894
2015,"MRT","Mauritania",453.846179113035,505.015450206242,51.1692710932074
2015,"MWI","Malawi",8302.34866017813,9071.64072720643,769.292067028302
2015,"NAM","Namibia",30.6894656224494,35.1187545522961,4.42928892984668
2015,"NER","Niger",40916.4714251937,43863.4366973228,2946.96527212915
2015,"NGA","Nigeria",243586.732291896,260857.518059305,17270.7857674087
