"iso3","country","under5_person_years","model_deaths","ihme_malaria_deaths","model_rate","ihme_rate"
"AGO","Angola",5989099.51969406,20519.6328823548,14651.9398492798,3.4261632846273,2.44643452677646
"BDI","Burundi",2382299.07874954,12066.5527276993,14430.2985954673,5.065087266051,6.05729932240148
"BEN","Benin",2374831.91583738,11640.2722412834,7361.29305522589,4.90151415081473,3.09971118635158
"BFA","Burkina Faso",4563597.66158448,13395.057116997,10708.7756030255,2.93519677024864,2.34656435495399
"BWA","Botswana",245303.743809843,1.36575519886712,0.695282142301979,0.00556760845821351,0.00283437232348543
"CAF","Central African Republic",1239544.57229918,9138.0505769255,3864.81190981826,7.37210325561403,3.11792895244547
"CIV","Cote d'Ivoire",5129838.7998382,17904.2195734807,12847.9944570404,3.49021095439596,2.50456105120606
"CMR","Cameroon",5080013.70972336,22344.7450728704,16295.439261067,4.39855999406097,3.20775497709324
"COD","Democratic Republic of the Congo",14487542.7651131,69079.5298008251,61774.2754897226,4.76820195949122,4.26395811154939
"COG","Congo",748005.88156137,2026.30590910657,1414.45241393579,2.70894381856584,1.89096429426905
"COM","Comoros",106869.087497981,26.2789913709413,3.33028598949748,0.245898902911824,0.0311622946117173
"DJI","Djibouti",172771.625559554,80.480730227469,19.4005119570286,0.465821456311572,0.112289919679788
"ERI","Eritrea",990220.759709614,227.168250631953,43.3765641194195,0.229411722996568,0.0438049431847296
"ETH","Ethiopia",16621010.0376415,8983.75808181141,8908.38144328392,0.540506146224925,0.535971124685513
"GAB","Gabon",234578.463577268,362.160427489254,264.514045573738,1.54387756645001,1.12761436638283
"GHA","Ghana",4307740.32116884,7235.48403047143,6745.25942954957,1.67964721432145,1.56584634324461
"GIN","Guinea",2381724.83663457,11103.1831642228,7062.92867541533,4.66182448679162,2.96546795279483
"GMB","The Gambia",369367.866475798,385.881911328434,125.250703961608,1.0447089374888,0.339094748973825
"GNB","Guinea-Bissau",335056.659684562,464.789032447023,243.753822660091,1.38719532655939,0.727500306633428
"GNQ","Equatorial Guinea",202018.020449439,556.271885847897,718.459783286752,2.75357557019088,3.55641433218858
"KEN","Kenya",5865766.81870526,2434.58397290752,2762.50881132626,0.415049566093203,0.470954420233164
"LBR","Liberia",787389.810896593,2815.86084770132,2689.78371276534,3.57619670553639,3.41607635194378
"MDG","Madagascar",4690196.0162158,7900.37971197485,4898.31220543322,1.68444552949604,1.04437259946021
"MLI","Mali",4755157.53288383,20253.880107835,12944.5842730324,4.25934997269203,2.72221985991324
"MOZ","Mozambique",5650334.27053511,18975.4618878162,10284.9934524545,3.35829014342883,1.82024513241417
"MRT","Mauritania",665993.310930152,179.658841963101,192.831907593039,0.269760730347551,0.289540306829392
"MWI","Malawi",2936531.14146223,7850.99656319292,5556.77907078908,2.67356148632007,1.89229359509605
"NAM","Namibia",331703.636094644,35.5923708322278,11.0131110529254,0.107301720449251,0.0332016591153165
"NER","Niger",5561688.39630124,36989.9053450327,20343.4978323923,6.65084102331812,3.65779173207935
"NGA","Nigeria",38629999.5738253,214937.789234529,138110.850542117,5.56401220827777,3.57522267837914
"RWA","Rwanda",1761286.33879587,922.275020305978,2147.105688144,0.523637184931843,1.2190554374094
"SEN","Senegal",2710858.4928661,1873.6094035881,766.297572416344,0.691149836304143,0.282677083452689
"SLE","Sierra Leone",1133126.19095386,8565.86849109586,6200.18547588636,7.55950092715192,5.47175197730365
"SOM","Somalia",4320414.66158727,4141.11088835745,1200.23039386064,0.958498480522249,0.27780444421964
"SSD","South Sudan",1391072.97104675,11085.6323598254,4779.0227833698,7.96912354028684,3.43549395526943
"SWZ","Swaziland",132566.90091164,38.9919090696968,0.481067001536171,0.294130049066214,0.0036288620932371
"TCD","Chad",4110996.43645608,19406.631126408,4884.19831764987,4.72066357302358,1.18808137957433
"TGO","Togo",1132069.72987342,3763.30773355157,1863.65613692523,3.32427202516257,1.64623793724579
"TZA","Tanzania",9879885.18376089,9715.33130880028,9939.76533484766,0.983344555943718,1.00606081447031
"UGA","Uganda",7613956.25943417,23900.9292752156,26093.0901265167,3.13909463895342,3.42700814628213
"ZMB","Zambia",3233266.46433919,6959.15831114176,4717.79275413367,2.152361516719,1.45914133776719
"ZWE","Zimbabwe",2195042.3371824,1151.4273959159,275.192339219123,0.524558172027741,0.125369945972143
