"survey","country","regions","year","type","mothers"
"AO71FL","AGO",18,2015,"DHS",10187
"AO81FL","AGO",18,2023,"DHS",9294
"BU61FL","BDI",4,2010,"DHS",4894
"BU71FL","BDI",18,2016,"DHS",10096
"BJ71FL","BEN",12,2017,"DHS",10431
"BF43FL","BFA",13,2003,"DHS",7955
"BF62FL","BFA",13,2010,"DHS",11934
"BF81FL","BFA",13,2021,"DHS",11419
"CI62FL","CIV",10,2012,"DHS",6024
"CI81FL","CIV",14,2021,"DHS",9449
"CM44FL","CMR",12,2004,"DHS",6118
"CM61FL","CMR",12,2011,"DHS",9186
"CM71FL","CMR",10,2018,"DHS",6516
"CD51FL","COD",11,2007,"DHS",6257
"CD61FL","COD",11,2013,"DHS",12702
"CD81FL","COD",26,2023,"DHS",17549
"CG51FL","COG",4,2005,"DHS",4182
"CG61FL","COG",12,2011,"DHS",7577
"KM61FL","COM",3,2012,"DHS",2443
"ET51FL","ETH",11,2005,"DHS",7814
"ET61FL","ETH",11,2011,"DHS",9417
"ET71FL","ETH",11,2016,"DHS",8769
"ET81FL","ETH",11,2019,"DHS",4941
"ET8AFL","ETH",14,2024,"DHS",11184
"GA61FL","GAB",10,2012,"DHS",5112
"GA71FL","GAB",11,2019,"DHS",5595
"GH5AFL","GHA",10,2008,"DHS",2693
"GH72FL","GHA",10,2014,"DHS",5382
"GH8CFL","GHA",16,2022,"DHS",8749
"GN52FL","GIN",8,2005,"DHS",5256
"GN62FL","GIN",8,2012,"DHS",6034
"GN71FL","GIN",8,2018,"DHS",6722
"GM61FL","GMB",8,2013,"DHS",6147
"GM81FL","GMB",8,2019,"DHS",7056
"KE42FL","KEN",8,2003,"DHS",4516
"KE52FL","KEN",8,2008,"DHS",5012
"KE72FL","KEN",8,2014,"DHS",19352
"KE8CFL","KEN",47,2022,"DHS",18622
"MD42FL","MDG",6,2004,"DHS",4488
"MD81FL","MDG",23,2021,"DHS",11833
"ML53FL","MLI",9,2006,"DHS",10224
"ML6AFL","MLI",6,2012,"DHS",7709
"ML7AFL","MLI",9,2018,"DHS",7410
"ML8AFL","MLI",9,2023,"DHS",11600
"MZ41FL","MOZ",11,2003,"DHS",7873
"MZ62FL","MOZ",11,2011,"DHS",8994
"MZ81FL","MOZ",11,2022,"DHS",8424
"MR71FL","MRT",13,2020,"DHS",8668
