"year","countries","under5_person_years","model_deaths","ihme_malaria_deaths","who_cacode_deaths","model_rate_per100000","ihme_malaria_rate_per100000","who_cacode_rate_per100000"
2000,42,109827798.421165,1170371.49923445,563656.938086377,724276,1065.64232012221,513.218826371152,659.465099375447
2001,42,112899656.745594,1166790.28811517,579321.810905033,715788,1033.47549651492,513.129824841243,634.003699066102
2002,42,116066896.933454,1140050.55692108,584005.715565624,701894,982.235751141614,503.163030110523,604.732286762543
2003,42,119382568.276166,1114796.76414228,587811.915324384,685954,933.80196140817,492.376670909448,574.584723636698
2004,42,122832161.765571,1087023.20302813,584453.040478886,668525,884.96627219079,475.81434054245,544.258922411462
2005,42,126350910.756313,1031984.76196083,564066.526910137,610848,816.760841519517,446.428540588858,483.453578880896
2006,42,129881373.032834,980201.390114721,554937.729927586,592624,754.689735122312,427.265062702483,456.280978682126
2007,42,133401540.603534,932699.235141284,536695.125596742,586803,699.166764432835,402.315537863079,439.877228812494
2008,42,136899633.557023,890040.827988555,523508.878986053,564897,650.141132494575,382.403418755678,412.635874415764
2009,42,140334919.273811,868735.325999586,512614.088464976,582299,619.04430521998,365.279070325184,414.935215706264
2010,42,143670458.524793,847461.751536598,493613.981409873,521487,589.865000946142,343.573749592154,362.974410574465
2011,42,146877706.067324,814934.241439524,466206.53550503,489046,554.838622728753,317.411367584498,332.961354785755
2012,42,149944339.868488,794321.398752993,450122.710264977,463032,529.744170036476,300.193198796145,308.802586617216
2013,42,152913484.317387,789126.829174327,441161.752620604,443941,516.060982258709,288.504152913636,290.321682212509
2014,42,155809274.264136,756116.190458152,422381.860657935,431452,485.283173308635,271.089036678197,276.910345701618
2015,42,158554858.301487,725612.628382926,416121.688943615,416815,457.641371671624,262.446508042265,262.883776924349
2016,42,161120449.540599,685779.524863328,399457.771192791,408679,425.631586070349,247.924935867397,253.648125464683
2017,42,163557868.933093,669211.581429434,391929.926110506,413605,409.158902469675,239.62767958956,252.879915040464
2018,42,165838176.84716,665738.749273758,394470.024526765,400709,401.438777204671,237.864424239491,241.626510625055
2019,42,168113044.343543,667731.775724256,396709.770868792,419148,397.192126483494,235.977982801922,249.325090528646
2020,42,170363657.734106,660298.902589781,442134.532961011,419523,387.582018003123,259.523972918608,246.251463240339
2021,42,172440566.82942,627537.520190406,433442.929786364,429619,363.915250180761,251.357866513586,249.140331593194
2022,42,174369708.753716,609254.355401605,411776.616828822,462939,349.403781055877,236.151462184539,265.492787313114
2023,42,176249413.849184,605984.289146154,400147.764677009,437626,343.822016715863,227.034947769763,248.299265479813
2024,42,177450737.801667,620071.93904517,428146.804091449,440123,349.433283133604,241.276429388521,248.025455093861
