"year","age_band","previous_deaths","revised_deaths","change_deaths"
2005,"<1",78981.9933755934,82093.446093402,3111.45271780858
2005,"1-5",93271.1899678623,94036.3552589095,765.165291047233
2005,"6-11",182231.88580348,184001.296308401,1769.41050492058
2005,"12-23",265362.76674979,268443.356062943,3080.5893131526
2005,"24-35",151776.173840142,151547.227382174,-228.946457968821
2005,"36-47",135422.598422521,132289.553804155,-3133.04461836614
2005,"48-59",119956.090590682,119573.527050849,-382.563539833282
2015,"<1",54335.2076332216,57815.7363936991,3480.52876047751
2015,"1-5",60678.0341533719,61691.4427619326,1013.40860856068
2015,"6-11",117878.504557266,120272.53159354,2394.02703627432
2015,"12-23",167792.46338398,171099.450781019,3306.98739703899
2015,"24-35",117872.201598136,118203.115679976,330.914081839874
2015,"36-47",103756.099068637,101713.517146953,-2042.58192168399
2015,"48-59",94207.3760192137,94816.8340258057,609.458006591944
2024,"<1",46577.9342654621,49853.1343750375,3275.20010957542
2024,"1-5",53288.0834188427,54234.7760132937,946.692594451029
2024,"6-11",102264.349509436,104436.164907298,2171.81539786168
2024,"12-23",140224.236411185,143182.706055757,2958.46964457238
2024,"24-35",100603.178892706,100991.565762427,388.386869720533
2024,"36-47",88109.9053904881,86364.6844733943,-1745.22091709377
2024,"48-59",80371.8823815306,81008.9074579624,637.025076431848
