"year","iso3","age_band","start_month","end_month","observed_q","zero_pfpr_q","observed_survival","zero_pfpr_survival"
2005,"COD","<1",0,0.919917864476386,0.029350426756517,0.026352059849935,0.970649573243483,0.973647940150065
2005,"COD","1-5",0.919917864476386,6,0.0209800068951381,0.0161218797841942,0.950285338504072,0.957950905106837
2005,"COD","6-11",6,12,0.0225646989446315,0.0118486209182255,0.92884243592923,0.946600507973955
2005,"COD","12-23",12,24,0.0175879451419971,0.0075194409170167,0.912506006120548,0.939482601382227
2005,"COD","24-35",24,36,0.0123785200043919,0.00493107702270133,0.901210532269657,0.934849940313324
2005,"COD","36-47",36,48,0.0123785200043919,0.00588998003725735,0.890054879667788,0.929343692827047
2005,"COD","48-59",48,60,0.0123785200043919,0.00659940286993685,0.879037317534814,0.923210579393446
2015,"COD","<1",0,0.919917864476386,0.0218645331456952,0.0198844577857798,0.978135466854305,0.98011554221422
2015,"COD","1-5",0.919917864476386,6,0.014738685791425,0.0120054552498949,0.96371903554689,0.968348808932441
2015,"COD","6-11",6,12,0.015243669100871,0.00929064171548367,0.949028421462803,0.959352227093034
2015,"COD","12-23",12,24,0.0112167280467697,0.00517364083645594,0.9383834277506,0.954388883234401
2015,"COD","24-35",24,36,0.00840073911206422,0.00348379438481768,0.930500313386982,0.951063988602056
2015,"COD","36-47",36,48,0.00840073911206422,0.00407068998137586,0.922683423010524,0.947192501952007
2015,"COD","48-59",48,60,0.00840073911206422,0.00444940168411385,0.914932200290787,0.942978062038641
2024,"COD","<1",0,0.919917864476386,0.0184384507455692,0.0165596875039611,0.981561549254431,0.983440312496039
2024,"COD","1-5",0.919917864476386,6,0.0125999144211487,0.0100798850972342,0.969193957734735,0.973527347146091
2024,"COD","6-11",6,12,0.0122433356410228,0.00720095373273618,0.957327790808937,0.966517021761738
2024,"COD","12-23",12,24,0.00841256814515238,0.00377414044412467,0.949274205531509,0.962869250779973
2024,"COD","24-35",24,36,0.00596980464567396,0.00243981887717383,0.943607223969308,0.960520024205669
2024,"COD","36-47",36,48,0.00596980464567396,0.00283022577378837,0.937974073179965,0.957801535676923
2024,"COD","48-59",48,60,0.00596980464567396,0.00315084134918624,0.932374551200373,0.954783654993998
