"source","scope","unit","y2000","y2004","y2015","y2024","decline_from_2000","decline_from_2004","decline_from_2015"
"PfPR-ACM model","under-5, 42 countries","deaths",1170371.49923445,1087023.20302813,725612.628382926,620071.93904517,47.0192208669842,42.9568810198503,14.5450458287861
"IHME","under-5, 42 countries","deaths",563656.938086377,584453.040478886,416121.688943615,428146.804091449,24.0412429686374,26.7440197178825,-2.88980734899003
"UN IGME","under-5, 42 countries","deaths",724276,668525,416815,440123,39.2326958231392,34.1650648816424,-5.59192927317875
"WHO WMR 2025","all ages, WHO African Region","deaths",804000,751000,550000,579000,27.9850746268657,22.9027962716378,-5.27272727272727
"WHO WMR 2025","all ages, global","deaths",864000,806000,578000,610000,29.3981481481482,24.317617866005,-5.53633217993079
"PfPR-ACM model","under-5, 42 countries","deaths per 1000 child-years",10.6564232012221,8.8496627219079,4.57641371671624,3.49433283133604,67.2091398271861,60.514508392669,23.6447347718518
"IHME","under-5, 42 countries","deaths per 1000 child-years",5.13218826371152,4.7581434054245,2.62446508042265,2.41276429388521,52.9876113285771,49.2918962649476,8.06643563736604
"UN IGME","under-5, 42 countries","deaths per 1000 child-years",6.59465099375447,5.44258922411462,2.62883776924349,2.48025455093861,62.3899042832204,54.4287755550376,5.65204974012671
"WHO WMR 2025","all ages, WHO African Region","deaths per 100 000 population at risk",140,,62.5,51.9,62.9285714285714,,16.96
"WHO WMR 2025","all ages, global","deaths per 100 000 population at risk",28.6,,14.9,13.8,51.7482517482517,,7.38255033557047
