"item","count"
"registry_with_cbh",171
"registry_countries_with_cbh",41
"omitted",5
"built",166
"built_countries",40
"entered",10657524
"incomplete",1347434
"outside_year",418661
"eligible",8891429
"missing_map",93466
"missing_covariates",1190841
"primary",7607122
"deaths",103987
"surveys",135
"countries",37
"excluded_eligibility",1766095
"excluded_missing",1284307
"recorded_births",5921350
"valid_births",5917443
"recent_valid_births",1642334
"primary_distinct_children",2325130
"with_map",8797963
"mics_registry",93
"mics_no_cbh",46
"dhs_registry",124
"omitted_total",51
"registry_all",217
"registry_countries_all",43
