"survey","children","mothers"
"AO71FL",23175,10187
"AO81FL",19059,9294
"BU61FL",11380,4894
"BU71FL",22658,10096
"BJ71FL",22400,10431
"BF43FL",14858,7955
"BF62FL",25497,11934
"BF81FL",21924,11419
"CI62FL",12091,6024
"CI81FL",18335,9449
"CM44FL",12417,6118
"CM61FL",19628,9186
"CM71FL",13694,6516
"CD51FL",14348,6257
"CD61FL",30434,12702
"CD81FL",41017,17549
"CG51FL",7195,4182
"CG61FL",15283,7577
"KM61FL",5447,2443
"ET51FL",16509,7814
"ET61FL",20551,9417
"ET71FL",18948,8769
"ET81FL",10167,4941
"ET8AFL",21723,11184
"GA61FL",10050,5112
"GA71FL",10745,5595
"GH5AFL",5120,2693
"GH72FL",10096,5382
"GH8CFL",15912,8749
"GN52FL",10375,5256
"GN62FL",12153,6034
"GN71FL",13845,6722
"GM61FL",13463,6147
"GM81FL",14929,7056
"KE42FL",8040,4516
"KE52FL",10279,5012
"KE72FL",37982,19352
"KE8CFL",33876,18622
"LB51FL",9623,4886
"LB6AFL",13431,6579
"LB7AFL",9987,5427
"MD42FL",8387,4488
"MD81FL",21381,11833
"ML53FL",23003,10224
"ML6AFL",17737,7709
"ML7AFL",16805,7410
"ML8AFL",26127,11600
"MZ41FL",14612,7873
"MZ62FL",18255,8994
"MZ81FL",15770,8424
"MR71FL",19367,8668
"MW4EFL",16950,8229
"MW61FL",33917,16056
"MW7AFL",30526,16633
"MW81FL",19351,13035
"NM51FL",7985,4778
"NM61FL",7248,4377
"NI51FL",14636,6533
"NI61FL",22003,8633
"NG4BFL",7952,4117
"NG53FL",47886,20777
"NG6AFL",53652,23621
"NG7BFL",58493,25885
"NG8BFL",48162,22331
"RW53FL",13444,6113
"RW61FL",15620,7585
"RW70FL",13923,7648
"RW81FL",13787,7784
"SN4AFL",17737,8336
"SN61FL",20865,9417
"SN6DFL",11432,5145
"SN71FL",11499,5172
"SN7AFL",11964,5420
"SN7IFL",11577,5346
"SN7ZFL",21296,10067
"SN81FL",11759,5605
"SN8BFL",10572,5194
"SN8SFL",18326,9373
"SL51FL",9815,4955
"SL61FL",20649,10583
"SL7AFL",17366,9407
"SZ51FL",3341,1952
"TD71FL",32152,12366
"TG61FL",10934,5406
"TZ4IFL",13683,6521
"TZ63FL",13337,6314
"TZ7BFL",16997,8380
"TZ82FL",18294,9445
"UG52FL",13231,5640
"UG61FL",13299,5676
"UG7BFL",22300,10166
"ZA71FL",4495,3179
"ZM51FL",10282,4736
"ZM61FL",23192,10999
"ZM71FL",17237,9026
"ZM81FL",14715,8629
"ZW62FL",2182,2090
"ZW72FL",8894,5323
"MC_BEN2014",21606,9994
"MC_BEN2021",23258,11331
"MC_CAF2018",14465,6332
"MC_CIV2016",15755,7844
"MC_CMR2014",12526,5980
"MC_COD2017",34564,14427
"MC_COG2014",15324,7715
"MC_COM2022",7714,3466
"MC_GHA2011",13318,6568
"MC_GHA2017",14703,7936
"MC_GIN2016",13144,6460
"MC_GMB2018",17915,8241
"MC_GNB2014",12999,6533
"MC_GNB2018",12624,6763
"MC_KEN2013BUN",1487,724
"MC_KEN2013KAK",1322,631
"MC_KEN2009MOM",826,474
"MC_KEN2011NYA",8547,4085
"MC_KEN2013TUR",1758,748
"MC_MDG2018",21636,11224
"MC_MLI2015",29395,12798
"MC_MOZ2008",19967,9515
"MC_MRT2011",15491,6688
"MC_MRT2015",17534,7456
"MC_MWI2006",38969,19011
"MC_MWI2013",33628,16911
"MC_MWI2019",26750,16027
"MC_NGA2016",49671,21524
"MC_SEN2015DKR",7962,4352
"MC_SLE2017",20057,10994
"MC_SWZ2010",2986,1810
"MC_SWZ2014",2992,1844
"MC_SWZ2021",2589,1692
"MC_TCD2019",39466,15277
"MC_TGO2017",8697,4464
"MC_ZWE2014",14072,8724
"MC_ZWE2019",10368,6289
