"rank_absolute_difference_from_ihme","iso3","country","year","model_deaths","ihme_malaria_deaths","who_cacode_deaths","difference_from_ihme"
1,"NGA","Nigeria",2024,217541.849559473,138110.850542117,165329,79430.999017356
2,"NER","Niger",2024,37567.3751397023,20343.4978323923,23877,17223.87730731
3,"TCD","Chad",2024,19780.0629332261,4884.19831764987,14345,14895.8646155762
4,"MOZ","Mozambique",2024,19295.8269700119,10284.9934524545,10315,9010.8335175574
5,"COD","Democratic Republic of the Congo",2024,69517.8167722818,61774.2754897226,105372,7743.54128255921
6,"MLI","Mali",2024,20603.6241866481,12944.5842730324,6984,7659.0399136157
7,"SSD","South Sudan",2024,11250.9935908921,4779.0227833698,3980,6471.9708075223
8,"CMR","Cameroon",2024,22636.8205058915,16295.439261067,6286,6341.3812448245
9,"AGO","Angola",2024,20839.262354844,14651.9398492798,4734,6187.3225055642
10,"CIV","Cote d'Ivoire",2024,18233.4249913076,12847.9944570404,5753,5385.4305342672
11,"CAF","Central African Republic",2024,9209.77703131977,3864.81190981826,5220,5344.96512150151
12,"BEN","Benin",2024,11699.8651621804,7361.29305522589,6857,4338.57210695451
13,"GIN","Guinea",2024,11277.5756503759,7062.92867541533,6861,4214.64697496057
14,"MDG","Madagascar",2024,8076.9770334034,4898.31220543322,9290,3178.66482797018
15,"SOM","Somalia",2024,4240.98071611593,1200.23039386064,864,3040.75032225529
16,"BFA","Burkina Faso",2024,13628.2783454175,10708.7756030255,8639,2919.502742392
17,"SLE","Sierra Leone",2024,8665.92741127355,6200.18547588636,6856,2465.74193538719
18,"MWI","Malawi",2024,7995.62521473073,5556.77907078908,3052,2438.84614394165
19,"ZMB","Zambia",2024,7102.77175835042,4717.79275413367,2589,2384.97900421675
20,"BDI","Burundi",2024,12240.3008584001,14430.2985954673,3615,-2189.9977370672
21,"TGO","Togo",2024,3820.21093065934,1863.65613692523,2100,1956.55479373411
22,"UGA","Uganda",2024,24315.7294057593,26093.0901265167,12349,-1777.3607207574
23,"RWA","Rwanda",2024,945.207448088261,2147.105688144,729,-1201.89824005574
24,"SEN","Senegal",2024,1925.43084590833,766.297572416344,651,1159.13327349199
25,"ZWE","Zimbabwe",2024,1184.05770605429,275.192339219123,531,908.865366835167
26,"COG","Congo",2024,2057.82474660608,1414.45241393579,533,643.37233267029
27,"GHA","Ghana",2024,7388.01682461047,6745.25942954957,1367,642.7573950609
28,"ETH","Ethiopia",2024,9251.51873858365,8908.38144328392,7007,343.13729529973
29,"GMB","The Gambia",2024,396.128429302738,125.250703961608,167,270.87772534113
30,"KEN","Kenya",2024,2504.2448994406,2762.50881132626,2188,-258.26391188566
31,"GNB","Guinea-Bissau",2024,475.679678253233,243.753822660091,338,231.925855593142
32,"LBR","Liberia",2024,2880.13198125239,2689.78371276534,3513,190.34826848705
33,"ERI","Eritrea",2024,232.006945821927,43.3765641194195,148,188.630381702507
34,"GNQ","Equatorial Guinea",2024,566.245436002939,718.459783286752,93,-152.214347283813
35,"GAB","Gabon",2024,369.926054035274,264.514045573738,30,105.412008461536
36,"DJI","Djibouti",2024,82.869779799888,19.4005119570286,22,63.4692678428594
37,"TZA","Tanzania",2024,9981.43380644717,9939.76533484766,7308,41.6684715995107
38,"SWZ","Swaziland",2024,40.0828600836674,0.481067001536171,1,39.6017930821312
39,"NAM","Namibia",2024,36.5468534804266,11.0131110529254,43,25.5337424275012
40,"COM","Comoros",2024,27.082968887797,3.33028598949748,14,23.7526828982995
41,"MRT","Mauritania",2024,185.020501971094,192.831907593039,173,-7.811405621945
42,"BWA","Botswana",2024,1.40601827437706,0.695282142301979,0,0.710736132075081
