"imputation","age_band","converged","iterations","elapsed_seconds"
1,"<1",TRUE,3,41.621
1,"1-5",TRUE,4,51.642
1,"6-11",TRUE,4,45.098
1,"12-23",TRUE,4,35.844
1,"24-35",TRUE,3,28.278
1,"36-47",TRUE,3,26.96
1,"48-59",TRUE,3,26.172
2,"<1",TRUE,3,41.702
2,"1-5",TRUE,4,47.465
2,"6-11",TRUE,4,43.049
2,"12-23",TRUE,4,34.132
2,"24-35",TRUE,3,27.317
2,"36-47",TRUE,3,25.988
2,"48-59",TRUE,3,25.8340000000001
3,"<1",TRUE,3,40.6550000000001
3,"1-5",TRUE,3,37.066
3,"6-11",TRUE,3,33.553
3,"12-23",TRUE,3,27.2869999999999
3,"24-35",TRUE,3,27.328
3,"36-47",TRUE,3,26.6360000000001
3,"48-59",TRUE,3,25.924
4,"<1",TRUE,3,39.731
4,"1-5",TRUE,4,47.658
4,"6-11",TRUE,4,43.28
4,"12-23",TRUE,4,35.164
4,"24-35",TRUE,3,27.6420000000001
4,"36-47",TRUE,3,25.886
4,"48-59",TRUE,3,25.6930000000001
5,"<1",TRUE,3,39.846
5,"1-5",TRUE,4,50.8389999999999
5,"6-11",TRUE,4,44.2659999999998
5,"12-23",TRUE,4,35.336
5,"24-35",TRUE,3,28.5520000000001
5,"36-47",TRUE,3,26.386
5,"48-59",TRUE,3,26.4190000000001
6,"<1",TRUE,3,40.8209999999999
6,"1-5",TRUE,4,49.413
6,"6-11",TRUE,4,45.027
6,"12-23",TRUE,4,35.5490000000002
6,"24-35",TRUE,4,34.9270000000001
6,"36-47",TRUE,3,27.8130000000001
6,"48-59",TRUE,3,26.4850000000001
7,"<1",TRUE,3,43.663
7,"1-5",TRUE,4,50.046
7,"6-11",TRUE,4,47.8619999999999
7,"12-23",TRUE,3,29.492
7,"24-35",TRUE,3,28.5339999999999
7,"36-47",TRUE,3,27.0170000000001
7,"48-59",TRUE,3,27.51
8,"<1",TRUE,4,56.4559999999999
8,"1-5",TRUE,4,52.9740000000002
8,"6-11",TRUE,4,44.982
8,"12-23",TRUE,4,35.3979999999997
8,"24-35",TRUE,4,36.9400000000001
8,"36-47",TRUE,4,33.9960000000001
8,"48-59",TRUE,4,33.0250000000001
9,"<1",TRUE,3,41.837
9,"1-5",TRUE,3,39.0839999999998
9,"6-11",TRUE,4,44.9870000000001
9,"12-23",TRUE,3,28.3040000000001
9,"24-35",TRUE,3,28.8820000000001
9,"36-47",TRUE,3,27.2670000000003
9,"48-59",TRUE,3,26.5840000000003
10,"<1",TRUE,3,41.806
10,"1-5",TRUE,3,38.3789999999999
10,"6-11",TRUE,3,34.5610000000001
10,"12-23",TRUE,3,27.7199999999998
10,"24-35",TRUE,3,27.598
10,"36-47",TRUE,3,27.1750000000002
10,"48-59",TRUE,3,29.8420000000001
