"iteration","age_band","contrast","hazard_ratio","lower_95","upper_95"
"Complete-case covariates, DHS and MICS (v7)","<1","40% to 20%",0.94491187869414,0.917019318498876,0.973652834226942
"Complete-case covariates, DHS and MICS (v7)","1-5","40% to 20%",0.916001257118668,0.879772529156007,0.953721871547767
"Complete-case covariates, DHS and MICS (v7)","6-11","40% to 20%",0.832519230756597,0.791487139290899,0.875678498327212
"Complete-case covariates, DHS and MICS (v7)","12-23","40% to 20%",0.828028958225927,0.777265068327299,0.882108284032649
"Complete-case covariates, DHS and MICS (v7)","24-35","40% to 20%",0.861177782699165,0.806231511196585,0.919868751239888
"Complete-case covariates, DHS and MICS (v7)","36-47","40% to 20%",0.849893461861167,0.789786798083524,0.914574538681981
"Complete-case covariates, DHS and MICS (v7)","48-59","40% to 20%",0.919475491994151,0.840359739101455,1.00603960546927
"Imputed covariates, DHS and MICS (v8)","<1","40% to 20%",0.939511484176973,0.912461448077808,0.967363422049094
"Imputed covariates, DHS and MICS (v8)","1-5","40% to 20%",0.913253604208849,0.879418419936326,0.948390580289234
"Imputed covariates, DHS and MICS (v8)","6-11","40% to 20%",0.824909276311406,0.787145383614946,0.864484920205644
"Imputed covariates, DHS and MICS (v8)","12-23","40% to 20%",0.843611957105105,0.794940145800039,0.895263798074331
"Imputed covariates, DHS and MICS (v8)","24-35","40% to 20%",0.864050379747,0.810839836727603,0.920752810757306
"Imputed covariates, DHS and MICS (v8)","36-47","40% to 20%",0.857649373521887,0.799822660904802,0.919656923786553
"Imputed covariates, DHS and MICS (v8)","48-59","40% to 20%",0.947566886816057,0.869558406683318,1.03257354317922
"Complete-case covariates, DHS and MICS (v7)","<1","20% to 0%",0.942424306654812,0.895234442577806,0.992101656875888
"Complete-case covariates, DHS and MICS (v7)","1-5","20% to 0%",0.861662993022513,0.802349294905424,0.925361458231272
"Complete-case covariates, DHS and MICS (v7)","6-11","20% to 0%",0.688550190546348,0.625151735640142,0.758378067071897
"Complete-case covariates, DHS and MICS (v7)","12-23","20% to 0%",0.533393507397191,0.470601277551781,0.604564091312252
"Complete-case covariates, DHS and MICS (v7)","24-35","20% to 0%",0.470298557566515,0.41185503436212,0.537035400311929
"Complete-case covariates, DHS and MICS (v7)","36-47","20% to 0%",0.551954155428956,0.478871064405723,0.636190850398041
"Complete-case covariates, DHS and MICS (v7)","48-59","20% to 0%",0.573922327203546,0.488226552856417,0.67465981875755
"Imputed covariates, DHS and MICS (v8)","<1","20% to 0%",0.932824168047714,0.886818390725649,0.98121660262581
"Imputed covariates, DHS and MICS (v8)","1-5","20% to 0%",0.874131943075627,0.817821939609323,0.934319094288653
"Imputed covariates, DHS and MICS (v8)","6-11","20% to 0%",0.693286601632902,0.634866361898179,0.75708265683918
"Imputed covariates, DHS and MICS (v8)","12-23","20% to 0%",0.55114013707801,0.491275744831088,0.618299303180144
"Imputed covariates, DHS and MICS (v8)","24-35","20% to 0%",0.469352462404644,0.413832081884763,0.532321546850604
"Imputed covariates, DHS and MICS (v8)","36-47","20% to 0%",0.5532059388068,0.482852147237289,0.633810603270896
"Imputed covariates, DHS and MICS (v8)","48-59","20% to 0%",0.577450034961633,0.494317006197886,0.674564173791957
