"programme","survey","country","records","regional_any_model_imputed","political_stability_imputed","gdp_imputed","health_expenditure_imputed","hiv_no_adolescent_series"
"DHS","AO62FL","AGO",44181,44181,0,0,0,0
"DHS","AO71FL","AGO",78397,0,0,0,0,0
"DHS","AO81FL","AGO",64704,0,0,0,0,0
"DHS","BU61FL","BDI",38604,0,0,0,0,0
"DHS","BU71FL","BDI",76022,0,0,0,0,0
"DHS","BJ41FL","BEN",1588,1588,338,0,0,0
"DHS","BJ51FL","BEN",88834,88834,5038,0,0,0
"DHS","BJ61FL","BEN",78171,78171,0,0,0,0
"DHS","BJ71FL","BEN",74813,0,0,0,0,0
"DHS","BF43FL","BFA",40778,0,12885,0,0,0
"DHS","BF62FL","BFA",84743,0,0,0,0,0
"DHS","BF81FL","BFA",74127,0,0,0,0,0
"DHS","CI62FL","CIV",39785,0,0,0,0,0
"DHS","CI81FL","CIV",61165,0,0,0,0,0
"DHS","CM44FL","CMR",38707,0,9811,0,0,0
"DHS","CM61FL","CMR",64649,0,0,0,0,0
"DHS","CM71FL","CMR",45974,0,0,0,0,0
"DHS","CD51FL","COD",47647,0,0,0,0,0
"DHS","CD61FL","COD",102125,0,0,0,0,0
"DHS","CD81FL","COD",137621,0,0,0,0,0
"DHS","CG51FL","COG",25794,0,5520,0,0,0
"DHS","CG61FL","COG",51029,0,0,0,0,0
"DHS","KM61FL","COM",17998,0,0,0,0,0
"DHS","ET41FL","ETH",468,468,0,0,0,0
"DHS","ET51FL","ETH",57107,0,13533,0,0,0
"DHS","ET61FL","ETH",68312,0,0,0,0,0
"DHS","ET71FL","ETH",62705,0,0,0,0,0
"DHS","ET81FL","ETH",33797,0,0,0,0,0
"DHS","ET8AFL","ETH",81174,0,0,0,4500,0
"DHS","GA41FL","GAB",1508,1508,0,0,0,0
"DHS","GA61FL","GAB",33506,0,0,0,0,0
"DHS","GA71FL","GAB",36435,0,0,0,0,0
"DHS","GH4BFL","GHA",15353,15353,4877,0,0,0
"DHS","GH5AFL","GHA",16772,0,0,0,0,0
"DHS","GH72FL","GHA",33352,0,0,0,0,0
"DHS","GH8CFL","GHA",53731,0,0,0,0,0
"DHS","GN52FL","GIN",35908,0,8565,0,0,0
"DHS","GN62FL","GIN",39920,0,0,0,0,0
"DHS","GN71FL","GIN",46902,0,0,0,0,0
"DHS","GM61FL","GMB",44611,0,0,0,0,0
"DHS","GM81FL","GMB",49125,0,0,0,0,0
"DHS","KE42FL","KEN",21204,0,7404,0,0,0
"DHS","KE52FL","KEN",34075,0,0,0,0,0
"DHS","KE72FL","KEN",127018,0,0,0,0,0
"DHS","KE8CFL","KEN",114518,0,0,0,0,0
"DHS","LB51FL","LBR",31692,0,0,0,0,0
"DHS","LB5AFL","LBR",22821,22821,0,0,0,0
"DHS","LB6AFL","LBR",44084,0,0,0,0,0
"DHS","LB7AFL","LBR",32887,0,0,0,0,0
"DHS","MD42FL","MDG",24494,0,7031,0,0,0
"DHS","MD51FL","MDG",73129,73129,0,0,0,0
"DHS","MD81FL","MDG",71503,0,0,0,0,0
"DHS","ML41FL","MLI",8987,8987,541,0,0,0
"DHS","ML53FL","MLI",77894,0,6510,0,0,0
"DHS","ML6AFL","MLI",58732,0,0,0,0,0
"DHS","ML7AFL","MLI",56215,0,0,0,0,0
"DHS","ML8AFL","MLI",88689,0,0,0,105,0
"DHS","MZ41FL","MOZ",41212,0,12593,0,0,0
"DHS","MZ62FL","MOZ",60470,0,0,0,0,0
"DHS","MZ81FL","MOZ",52833,0,0,0,0,0
"DHS","MR71FL","MRT",65366,0,0,0,0,0
"DHS","MW41FL","MWI",3157,3157,0,0,0,0
"DHS","MW4EFL","MWI",55293,0,12453,0,0,0
"DHS","MW61FL","MWI",114288,0,0,0,0,0
"DHS","MW7AFL","MWI",102346,0,0,0,0,0
"DHS","MW81FL","MWI",69348,0,0,0,1606,0
"DHS","NM41FL","NAM",1266,1266,0,0,0,0
"DHS","NM51FL","NAM",26318,0,136,0,0,0
"DHS","NM61FL","NAM",24195,0,0,0,0,0
"DHS","NI51FL","NER",52153,0,8965,0,0,0
"DHS","NI61FL","NER",73120,0,0,0,0,0
"DHS","NG4BFL","NGA",20997,0,7191,0,0,0
"DHS","NG53FL","NGA",157016,0,0,0,0,0
"DHS","NG61FL","NGA",32266,32266,0,0,0,0
"DHS","NG6AFL","NGA",177779,0,0,0,0,0
"DHS","NG7BFL","NGA",195272,0,0,0,0,0
"DHS","NG8BFL","NGA",162020,0,0,0,575,0
"DHS","RW41FL","RWA",2196,2196,0,0,0,0
"DHS","RW53FL","RWA",46547,0,9628,0,0,0
"DHS","RW5AFL","RWA",30338,30338,0,0,0,0
"DHS","RW61FL","RWA",53077,0,0,0,0,0
"DHS","RW70FL","RWA",45739,0,0,0,0,0
"DHS","RW81FL","RWA",47138,0,0,0,0,0
"DHS","SN4AFL","SEN",59928,0,13020,0,0,0
"DHS","SN5AFL","SEN",87342,87342,0,0,0,0
"DHS","SN61FL","SEN",68736,0,0,0,0,0
"DHS","SN6DFL","SEN",38506,0,0,0,0,0
"DHS","SN71FL","SEN",38866,0,0,0,0,0
"DHS","SN7AFL","SEN",40157,0,0,0,0,0
"DHS","SN7IFL","SEN",38822,0,0,0,0,0
"DHS","SN7ZFL","SEN",71323,0,0,0,0,0
"DHS","SN81FL","SEN",39314,0,0,0,0,0
"DHS","SN8BFL","SEN",35351,0,0,0,0,0
"DHS","SN8SFL","SEN",61934,0,0,0,0,0
"DHS","SL51FL","SLE",31344,0,0,0,0,0
"DHS","SL61FL","SLE",68076,0,0,0,0,0
"DHS","SL7AFL","SLE",57080,0,0,0,0,0
"DHS","ST51FL","STP",10839,0,0,0,0,10839
"DHS","SZ51FL","SWZ",11268,0,529,0,0,0
"DHS","TD41FL","TCD",29949,29949,7251,0,0,0
"DHS","TD71FL","TCD",106120,0,0,0,0,0
"DHS","TG61FL","TGO",35856,0,0,0,0,0
"DHS","TZ4IFL","TZA",45594,0,10380,0,0,0
"DHS","TZ63FL","TZA",45125,0,0,0,0,0
"DHS","TZ7BFL","TZA",56917,0,0,0,0,0
"DHS","TZ82FL","TZA",61723,0,0,0,0,0
"DHS","UG41FL","UGA",3417,3417,29,0,0,0
"DHS","UG52FL","UGA",46139,0,4680,0,0,0
"DHS","UG5AFL","UGA",20657,20657,0,0,0,0
"DHS","UG61FL","UGA",44636,0,0,0,0,0
"DHS","UG7BFL","UGA",75366,0,0,0,0,0
"DHS","ZA71FL","ZAF",15261,0,0,0,0,0
"DHS","ZM42FL","ZMB",13278,13278,4383,0,0,0
"DHS","ZM51FL","ZMB",34258,0,0,0,0,0
"DHS","ZM61FL","ZMB",78600,0,0,0,0,0
"DHS","ZM71FL","ZMB",57564,0,0,0,0,0
"DHS","ZM81FL","ZMB",51051,0,0,0,461,0
"DHS","ZW52FL","ZWE",29737,0,6646,0,29737,0
"DHS","ZW62FL","ZWE",29334,0,0,0,26271,0
"DHS","ZW72FL","ZWE",30500,0,0,0,0,0
"MICS","MC_BEN2014","BEN",71930,0,0,0,0,0
"MICS","MC_BEN2021","BEN",78127,0,0,0,0,0
"MICS","MC_CAF2018","CAF",49336,0,0,0,0,0
"MICS","MC_CIV2016","CIV",52844,0,0,0,0,0
"MICS","MC_CMR2014","CMR",42285,0,0,0,0,0
"MICS","MC_COD2017","COD",118878,0,0,0,0,0
"MICS","MC_COG2014","COG",51604,0,0,0,0,0
"MICS","MC_COM2022","COM",26252,0,0,0,0,0
"MICS","MC_GHA2011","GHA",44452,0,0,0,0,0
"MICS","MC_GHA2017","GHA",49927,0,0,0,0,0
"MICS","MC_GIN2016","GIN",44344,0,0,0,0,0
"MICS","MC_GMB2018","GMB",61062,0,0,0,0,0
"MICS","MC_GNB2014","GNB",43628,0,0,0,0,0
"MICS","MC_GNB2018","GNB",42786,0,0,0,0,0
"MICS","MC_KEN2013BUN","KEN",5025,0,0,0,0,0
"MICS","MC_KEN2013KAK","KEN",4460,0,0,0,0,0
"MICS","MC_KEN2009MOM","KEN",2793,0,0,0,0,0
"MICS","MC_KEN2011NYA","KEN",29476,0,0,0,0,0
"MICS","MC_KEN2013TUR","KEN",5969,0,0,0,0,0
"MICS","MC_MDG2018","MDG",73255,0,0,0,0,0
"MICS","MC_MDG2012S","MDG",16676,16676,0,0,0,0
"MICS","MC_MLI2015","MLI",99438,0,0,0,0,0
"MICS","MC_MOZ2008","MOZ",66350,0,0,0,0,0
"MICS","MC_MRT2011","MRT",51041,0,0,0,0,0
