"age_band","contrast","point_hr","point_lower_95","point_upper_95","pooled_hr","pooled_lower_95","pooled_upper_95","between_imputation_share","pooled_df"
"<1","40% to 20%",0.939511484176973,0.912461448077808,0.967363422049094,0.938998003623391,0.911876997072144,0.966925641988703,0.00717003580212679,175065.214794656
"1-5","40% to 20%",0.913253604208849,0.879418419936326,0.948390580289234,0.911926488111829,0.877751812372936,0.947431731837476,0.0236729295049311,16059.7396234278
"6-11","40% to 20%",0.824909276311406,0.787145383614946,0.864484920205644,0.824094811756006,0.786009782367145,0.864025199174868,0.0195488847300618,23550.4135500854
"12-23","40% to 20%",0.843611957105105,0.794940145800039,0.895263798074331,0.842624690057443,0.793850524830458,0.894395539318992,0.00728189023182223,169728.296882747
"24-35","40% to 20%",0.864050379747,0.810839836727603,0.920752810757306,0.863594560335304,0.809987527266388,0.920749443090437,0.0163659632646197,33601.5541829513
"36-47","40% to 20%",0.857649373521887,0.799822660904802,0.919656923786553,0.856204050387755,0.798300479822207,0.918307572686998,0.00648827328868142,213788.451161402
"48-59","40% to 20%",0.947566886816057,0.869558406683318,1.03257354317922,0.946436130893051,0.86822995415118,1.03168676175832,0.00870352990186683,118809.63399574
"<1","20% to 0%",0.932824168047714,0.886818390725649,0.98121660262581,0.931565488530555,0.885460684102531,0.980070911110812,0.00845509702006265,125894.082958646
"1-5","20% to 0%",0.874131943075627,0.817821939609323,0.934319094288653,0.871984815881122,0.815209497445435,0.932714255059483,0.0230313715010642,16966.9159377463
"6-11","20% to 0%",0.693286601632902,0.634866361898179,0.75708265683918,0.69197560034599,0.632977417961739,0.756472850194375,0.0257096617425439,13616.0075623781
"12-23","20% to 0%",0.55114013707801,0.491275744831088,0.618299303180144,0.549027753556222,0.489012532909876,0.616408484218839,0.0147050660466685,41620.6204953645
"24-35","20% to 0%",0.469352462404644,0.413832081884763,0.532321546850604,0.468887061205215,0.413017099748429,0.532314706339226,0.0166613644621801,32420.6248126494
"36-47","20% to 0%",0.5532059388068,0.482852147237289,0.633810603270896,0.553319578607182,0.482706933941562,0.63426177363985,0.00822975593453667,132882.747147598
"48-59","20% to 0%",0.577450034961633,0.494317006197886,0.674564173791957,0.576432023187796,0.493064207782036,0.673895756601462,0.0111084768031753,72934.579685876
