"iso3","year","allcause_deaths","under5_person_years","leaf_deaths","leaf_person_years","age_rows","death_sum_relative_error","person_year_sum_relative_error","ihme_malaria_deaths","ihme_native_rate_per100000","malaria_native_person_years","malaria_denominator_relative_difference"
"AGO",2000,101578.121439593,2957314.21324596,101578.121439593,2957314.21324597,6,6.66133814775094e-16,2.22044604925031e-15,13107.4043980653,443.21987631062,2957314.21324601,1.64313007644523e-14
"AGO",2001,101320.071509346,3078032.47742277,101320.071509346,3078032.47742277,6,-1.11022302462516e-16,-1.77635683940025e-15,13734.3986815387,446.20707488565,3078032.47742282,1.59872115546023e-14
"AGO",2002,100550.442905953,3204363.5429776,100550.442905953,3204363.5429776,6,2.22044604925031e-16,0,14220.5654143045,443.78751735173,3204363.54297766,1.99840144432528e-14
"AGO",2003,99534.2913332166,3338210.20982934,99534.2913332166,3338210.20982935,6,2.22044604925031e-16,4.66293670342566e-15,15120.6811885716,452.95772998503,3338210.20982936,7.7715611723761e-15
"AGO",2004,98321.2956577715,3481103.45964881,98321.2956577715,3481103.4596488,6,2.22044604925031e-16,-2.22044604925031e-15,16840.2384014899,483.76150254347,3481103.45964883,6.21724893790088e-15
"AGO",2005,96551.4207981919,3634674.43471266,96551.420798192,3634674.43471266,6,2.22044604925031e-16,8.88178419700125e-16,17036.3618753842,468.71768521218,3634674.43471268,5.99520433297585e-15
"AGO",2006,97468.8600073158,3797040.66718965,97468.8600073158,3797040.66718967,6,-3.33066907387547e-16,2.88657986402541e-15,16033.85231336,422.2723357142,3797040.6671897,1.06581410364015e-14
"AGO",2007,93947.0181854545,3966863.80927856,93947.0181854545,3966863.80927858,6,-6.66133814775094e-16,2.88657986402541e-15,14264.5952262389,359.59377261386,3966863.80927863,1.55431223447522e-14
"AGO",2008,91206.6914667532,4142253.32846828,91206.6914667533,4142253.32846829,6,8.88178419700125e-16,1.11022302462516e-15,11786.116586455,284.53393966644,4142253.32846828,0
"AGO",2009,89622.9113467394,4317218.22437348,89622.9113467394,4317218.22437348,6,-1.11022302462516e-16,-1.77635683940025e-15,9249.86913522215,214.25530641468,4317218.22437364,3.574918139293e-14
"AGO",2010,87440.2800672372,4485778.51002067,87440.2800672373,4485778.51002069,6,2.22044604925031e-16,4.66293670342566e-15,7840.07661934476,174.77627577534,4485778.51002072,1.13242748511766e-14
"AGO",2011,85467.7893601924,4646426.70636879,85467.7893601924,4646426.70636881,6,4.44089209850063e-16,3.99680288865056e-15,6651.2719279627,143.14810817624,4646426.70636893,2.90878432451791e-14
"AGO",2012,83064.9776311498,4797181.039052,83064.9776311498,4797181.03905201,6,-9.99200722162641e-16,1.11022302462516e-15,6168.97734901078,128.59588368234,4797181.03905216,3.24185123190546e-14
"AGO",2013,80929.341959305,4937211.21716389,80929.341959305,4937211.21716392,6,4.44089209850063e-16,6.88338275267597e-15,5955.0538103079,120.61573929844,4937211.21716403,2.8643754035329e-14
"AGO",2014,78823.3304553814,5067510.51641627,78823.3304553813,5067510.51641628,6,-1.33226762955019e-15,3.10862446895044e-15,6010.99073820952,118.61821931571,5067510.51641644,3.39728245535298e-14
