"year","age_band","previous_deaths","revised_deaths","change_deaths"
2005,"<1",58663.3079353061,93071.7614215645,34408.4534862585
2005,"1-5",58743.6995106152,72009.3190082113,13265.6194975961
2005,"6-11",150672.206340412,164975.116996673,14302.9106562602
2005,"12-23",221517.345184614,249027.755771432,27510.4105868178
2005,"24-35",133653.175483026,141050.170138137,7396.99465511087
2005,"36-47",117291.333020596,132450.664866901,15159.3318463052
2005,"48-59",113613.08613404,121349.956188835,7736.87005479525
2015,"<1",40355.043481872,62901.3360818263,22546.2925999542
2015,"1-5",34912.8169826093,42774.3015838424,7861.48460123312
2015,"6-11",89459.0712586249,98948.4903356857,9489.41907706083
2015,"12-23",138813.981248043,155454.076806279,16640.0955582368
2015,"24-35",102332.213581244,107266.16834321,4933.95476196607
2015,"36-47",90669.2591300975,101571.167515273,10901.9083851753
2015,"48-59",93264.9875449998,96643.125730747,3378.13818574717
2024,"<1",34271.2050072249,54024.9412657024,19753.7362584775
2024,"1-5",30204.8769394125,37077.6537803702,6872.77684095773
2024,"6-11",76699.9998452865,84906.027935531,8206.02809024449
2024,"12-23",116060.562333093,129763.812735158,13703.2504020652
2024,"24-35",86959.1845702242,91023.6170726666,4064.43250244237
2024,"36-47",76804.5069792316,86119.0115748836,9314.50459565203
2024,"48-59",80064.3404245201,82701.320472706,2636.98004818588
