"iso3","country","year","series","pfpr_pct","exposure_source","status","ihme_under5_deaths","attributable_under5_deaths","counterfactual_under5_deaths","attributable_fraction","ihme_malaria_deaths","map_population_coverage","any_current_pfpr_outside_observed_support","any_zero_below_observed_support","temporal_transport_from_pre2016_fit"
"AGO","Angola",2005,"map_full",20.1035553415068,"MAP","estimated",96551.420798192,24155.6330463862,72395.7877518058,0.250184128277878,17036.3618753842,0.998084957706995,FALSE,TRUE,FALSE
"BDI","Burundi",2005,"map_full",32.7108667147613,"MAP","estimated",39965.5290915808,12256.9763160432,27708.5527755376,0.306688703856677,9544.83585622456,0.903118502531811,FALSE,TRUE,FALSE
"BEN","Benin",2005,"map_full",56.789331963267,"MAP","estimated",35764.568969811,12532.7817101421,23231.7872596689,0.350424514292931,7882.71211201263,1,FALSE,TRUE,FALSE
"BFA","Burkina Faso",2005,"map_full",53.1839944402602,"MAP","estimated",88292.8538201055,32764.2238215029,55528.6299986026,0.371085794647199,24966.6794975544,1,FALSE,TRUE,FALSE
"BWA","Botswana",2005,"map_full",0.0739687942020688,"MAP","estimated",2386.55814676257,2.24378125896788,2384.31436550361,0.000940174561433429,1.01106893548783,0.500006041684288,FALSE,TRUE,FALSE
"CAF","Central African Republic",2005,"map_full",57.137610295232,"MAP","estimated",27492.8570841914,9210.12242676941,18282.734657422,0.335000556637866,3752.68743335549,1,FALSE,TRUE,FALSE
"CIV","Cote d'Ivoire",2005,"map_full",62.0559536355424,"MAP","estimated",80769.9833548921,26322.9912890305,54446.9920658616,0.325900665020209,18927.1407480006,0.999044906250652,FALSE,TRUE,FALSE
"CMR","Cameroon",2005,"map_full",48.6084683420969,"MAP","estimated",89440.1172170792,31795.3384271552,57644.778789924,0.355493031722946,20518.3763959582,0.994188327616715,FALSE,TRUE,FALSE
"COD","Democratic Republic of the Congo",2005,"map_full",64.5181086884157,"MAP","estimated",291364.155661708,105102.242948752,186261.912712956,0.360724683892764,90901.2946546033,0.967925701459564,FALSE,TRUE,FALSE
"COG","Congo",2005,"map_full",32.8294542135053,"MAP","estimated",10371.3261694714,3040.08122640521,7331.24494306622,0.293123673552362,1798.4947973644,0.999999884856155,FALSE,TRUE,FALSE
