"rank_absolute_difference_from_ihme","iso3","country","year","model_deaths","ihme_malaria_deaths","who_cacode_deaths","difference_from_ihme"
1,"NGA","Nigeria",2024,178934.347548604,138110.850542117,165329,40823.497006487
2,"TCD","Chad",2024,15543.0340373189,4884.19831764987,14345,10658.835719669
3,"NER","Niger",2024,30704.5160289847,20343.4978323923,23877,10361.0181965924
4,"UGA","Uganda",2024,19307.4808611781,26093.0901265167,12349,-6785.6092653386
5,"MOZ","Mozambique",2024,15147.8233718827,10284.9934524545,10315,4862.8299194282
6,"BDI","Burundi",2024,9843.24449106962,14430.2985954673,3615,-4587.05410439768
7,"COD","Democratic Republic of the Congo",2024,57203.4299637434,61774.2754897226,105372,-4570.8455259792
8,"SSD","South Sudan",2024,8824.60801975282,4779.0227833698,3980,4045.58523638302
9,"MLI","Mali",2024,16625.2240198215,12944.5842730324,6984,3680.6397467891
10,"CAF","Central African Republic",2024,7496.6383292574,3864.81190981826,5220,3631.82641943914
11,"BEN","Benin",2024,9773.55214547112,7361.29305522589,6857,2412.25909024523
12,"TZA","Tanzania",2024,7542.30409061796,9939.76533484766,7308,-2397.4612442297
13,"CMR","Cameroon",2024,18440.9971427378,16295.439261067,6286,2145.5578816708
14,"ETH","Ethiopia",2024,6835.77470675631,8908.38144328392,7007,-2072.60673652761
15,"SOM","Somalia",2024,3233.78656435997,1200.23039386064,864,2033.55617049933
16,"AGO","Angola",2024,16669.1052852758,14651.9398492798,4734,2017.165435996
17,"GIN","Guinea",2024,9070.58203016985,7062.92867541533,6861,2007.65335475452
18,"CIV","Cote d'Ivoire",2024,14343.1504753856,12847.9944570404,5753,1495.1560183452
19,"RWA","Rwanda",2024,720.404869202293,2147.105688144,729,-1426.70081894171
20,"MDG","Madagascar",2024,6256.81461284771,4898.31220543322,9290,1358.50240741449
21,"TGO","Togo",2024,3104.76517043309,1863.65613692523,2100,1241.10903350786
22,"GHA","Ghana",2024,5809.40622831925,6745.25942954957,1367,-935.85320123032
23,"KEN","Kenya",2024,1854.02413588489,2762.50881132626,2188,-908.48467544137
24,"ZMB","Zambia",2024,5571.81012189301,4717.79275413367,2589,854.017367759339
25,"MWI","Malawi",2024,6338.43528900944,5556.77907078908,3052,781.65621822036
26,"SLE","Sierra Leone",2024,6931.4910687864,6200.18547588636,6856,731.30559290004
27,"SEN","Senegal",2024,1464.17353488325,766.297572416344,651,697.875962466906
28,"ZWE","Zimbabwe",2024,881.736324444535,275.192339219123,531,606.543985225412
29,"LBR","Liberia",2024,2206.38835777186,2689.78371276534,3513,-483.39535499348
30,"GNQ","Equatorial Guinea",2024,437.048067040908,718.459783286752,93,-281.411716245844
31,"COG","Congo",2024,1641.16077302856,1414.45241393579,533,226.70835909277
32,"BFA","Burkina Faso",2024,10892.9435343529,10708.7756030255,8639,184.1679313274
33,"GMB","The Gambia",2024,302.704169731851,125.250703961608,167,177.453465770243
34,"ERI","Eritrea",2024,181.233471724173,43.3765641194195,148,137.856907604754
35,"GNB","Guinea-Bissau",2024,369.218069705195,243.753822660091,338,125.464247045104
36,"MRT","Mauritania",2024,137.382049530258,192.831907593039,173,-55.449858062781
37,"DJI","Djibouti",2024,59.3261449788728,19.4005119570286,22,39.9256330218442
38,"SWZ","Swaziland",2024,29.1648391870698,0.481067001536171,1,28.6837721855336
39,"GAB","Gabon",2024,287.508361513071,264.514045573738,30,22.994315939333
40,"COM","Comoros",2024,19.6857166583816,3.33028598949748,14,16.3554306688841
41,"NAM","Namibia",2024,27.2538723632514,11.0131110529254,43,16.240761310326
42,"BWA","Botswana",2024,0.998203315302792,0.695282142301979,0,0.302921173000813
