"year","countries","under5_person_years","model_deaths","ihme_malaria_deaths","who_cacode_deaths","model_rate_per100000","ihme_malaria_rate_per100000","who_cacode_rate_per100000"
2004,42,122832161.765571,1025420.09881182,584453.040478886,668525,834.814012936507,475.81434054245,544.258922411462
2005,42,126350910.756313,973934.744391754,564066.526910137,610848,770.817351898744,446.428540588858,483.453578880896
2006,42,129881373.032834,925638.513325267,554937.729927586,592624,712.679956879777,427.265062702483,456.280978682126
2007,42,133401540.603534,881138.751021234,536695.125596742,586803,660.51617322768,402.315537863079,439.877228812494
2008,42,136899633.557023,840457.579142885,523508.878986053,564897,613.92244617865,382.403418755678,412.635874415764
2009,42,140334919.273811,816779.850274875,512614.088464976,582299,582.02181930303,365.279070325184,414.935215706264
2010,42,143670458.524793,792843.782738194,493613.981409873,521487,551.848856667617,343.573749592154,362.974410574465
2011,42,146877706.067324,759857.555670258,466206.53550503,489046,517.340293510552,317.411367584498,332.961354785755
2012,42,149944339.868488,738207.922641924,450122.710264977,463032,492.321299549811,300.193198796145,308.802586617216
2013,42,152913484.317387,730981.875574851,441161.752620604,443941,478.036243067762,288.504152913636,290.321682212509
2014,42,155809274.264136,697921.478303837,422381.860657935,431452,447.933206543717,271.089036678197,276.910345701618
2015,42,158554858.301487,665558.666396863,416121.688943615,416815,419.76554583482,262.446508042265,262.883776924349
2016,42,161120449.540599,626756.704661449,399457.771192791,408679,388.998855482662,247.924935867397,253.648125464683
2017,42,163557868.933093,611686.049071825,391929.926110506,413605,373.987539127235,239.62767958956,252.879915040464
2018,42,165838176.84716,611056.724333401,394470.024526765,400709,368.465654863395,237.864424239491,241.626510625055
2019,42,168113044.343543,616200.348861884,396709.770868792,419148,366.539283889634,235.977982801922,249.325090528646
2020,42,170363657.734106,609098.402256875,442134.532961011,419523,357.528366294836,259.523972918608,246.251463240339
2021,42,172440566.82942,575612.462894677,433442.929786364,429619,333.8033929476,251.357866513586,249.140331593194
2022,42,174369708.753716,555925.33080169,411776.616828822,462939,318.819899841028,236.151462184539,265.492787313114
2023,42,176249413.849184,552078.647604938,400147.764677009,437626,313.237153842309,227.034947769763,248.299265479813
2024,42,177450737.801667,565616.384837018,428146.804091449,440123,318.745580798427,241.276429388521,248.025455093861
