"stage","started_at","finished_at","elapsed_seconds","exit_status"
"prepare","2026-09-19 00:19:20.510658","2026-09-19 03:25:20.803537",11160.2931098938,0
"fit","2026-09-19 03:25:20.808772","2026-09-19 08:52:50.280785",19649.4735867977,0
"effects","2026-09-19 08:52:50.307461","2026-09-19 08:52:51.068083",0.761019945144653,0
"diagnostics","2026-09-19 08:52:51.071504","2026-09-19 08:53:01.019877",9.94873976707458,0
"comparison","2026-09-19 08:53:01.021597","2026-09-19 08:53:02.580182",1.55900120735168,0
"report","2026-09-19 08:53:02.581676","2026-09-19 08:53:04.730797",2.14954805374146,0
"flow","2026-09-19 08:53:04.732805","2026-09-19 08:53:05.730516",0.997835874557495,0
"survey_map","2026-09-19 08:53:05.733702","2026-09-19 08:53:19.202097",13.4688529968262,0
"age_fractions","2026-09-19 08:53:19.205749","2026-09-19 08:53:20.252728",1.04734992980957,0
"annual_burden","2026-09-19 08:53:20.256167","2026-09-19 08:53:33.76481",13.5091271400452,0
"annual_plot","2026-09-19 08:53:33.770012","2026-09-19 08:53:34.482264",0.712370157241821,0
"nigeria_burden","2026-09-19 08:53:34.484906","2026-09-19 08:53:35.097911",0.613136053085327,0
"nigeria_plot","2026-09-19 08:53:35.100366","2026-09-19 08:53:35.944709",0.844531774520874,0
"burden_figure","2026-09-19 08:53:35.946307","2026-09-19 08:53:37.65887",1.71268510818481,0
"burden_tables","2026-09-19 08:53:37.741866","2026-09-19 08:53:37.934909",0.193251848220825,0
"paper_manifest","2026-09-19 08:53:37.937435","2026-09-19 08:53:38.102674",0.165353059768677,0
"index","2026-09-19 08:53:38.104975","2026-09-19 08:53:38.260948",0.156089067459106,0
"validation","2026-09-19 08:53:38.262049","2026-09-19 08:53:39.796835",1.5348961353302,0
