"iso3","age_band","Location","pfpr_pct","ihme_deaths","implied_person_years","ihme_rate_per100000","age_mapping","status","map_population_coverage_within_raster","map_coverage_below_95pct","population_weight_year","log_hr_se","log_hr_zero_vs_current","hr_zero_vs_current","hr_lower_95","hr_upper_95","attributable_fraction","af_lower_95","af_upper_95","counterfactual_deaths","attributable_deaths","attributable_deaths_lower_95","attributable_deaths_upper_95","counterfactual_rate_per100000","attributable_rate_per100000","attributable_rate_per100000_lower_95","attributable_rate_per100000_upper_95","zero_below_observed_support","current_pfpr_outside_central95","current_pfpr_outside_observed_support","negative_attributable_estimate","series","year","exposure_source","temporal_transport_from_pre2016_fit"
"AGO","<1","Angola",20.1035553415068,25724.5129425046,65823.7910576055,39080.8741477558,"0-27 days mapped to model <1 completed month","estimated",0.998084957706995,FALSE,2020,0.0256857673988027,-0.0637216646379928,0.938266115829102,0.892199275130911,0.986711521351392,0.0617338841708975,0.0132884786486082,0.107800724869089,24136.4388401593,1588.07410234533,341.839640982317,2773.12114210625,36668.2599898208,2412.61415793498,519.325361681396,4212.9465616457,TRUE,FALSE,FALSE,FALSE,"map_full",2005,"MAP",FALSE
"BDI","<1","Burundi",32.7108667147613,10665.1060429336,24443.9696865901,43630.8266606321,"0-27 days mapped to model <1 completed month","estimated",0.903118502531811,TRUE,2020,0.031027925580076,-0.103114282112164,0.902023882396393,0.848802270910781,0.958582596086133,0.0979761176036071,0.0414174039138674,0.151197729089219,9620.1803590162,1044.9256839174,441.721004764409,1612.53981418726,39356.0476565874,4274.77900404469,1807.07557089933,6596.88190937291,TRUE,FALSE,FALSE,FALSE,"map_full",2005,"MAP",FALSE
"BEN","<1","Benin",56.789331963267,10804.6666154987,27278.4884920618,39608.7437859428,"0-27 days mapped to model <1 completed month","estimated",1,FALSE,2020,0.0361055037636779,-0.117165248508816,0.88943820268209,0.828671025211195,0.954661490895891,0.11056179731791,0.0453385091041091,0.171328974788805,9610.08325506834,1194.58336043036,489.867475713651,1851.15245416822,35229.5298834644,4379.21390247845,1795.80139074129,6786.12546551802,TRUE,FALSE,FALSE,FALSE,"map_full",2005,"MAP",FALSE
"BFA","<1","Burkina Faso",53.1839944402602,21668.9137055495,51434.2296696051,42129.3637422836,"0-27 days mapped to model <1 completed month","estimated",1,FALSE,2020,0.0351349566562425,-0.119919325857752,0.886991991148889,0.827965459618167,0.950226586414727,0.113008008851111,0.0497734135852728,0.172034540381833,19220.1529137188,2448.7607918307,1078.5358038099,3727.80160990782,37368.4082316039,4760.95551067965,2096.92224562908,7247.70572798284,TRUE,FALSE,FALSE,FALSE,"map_full",2005,"MAP",FALSE
"BWA","<1","Botswana",0.0739687942020688,454.850857072986,3530.37620506091,12883.9203148079,"0-27 days mapped to model <1 completed month","estimated",0.500006041684288,TRUE,2020,0.000118616327678668,-0.00022733695833951,0.999772688880749,0.999540280742705,1.00000515105718,0.000227311119251339,-5.15105717724396e-06,0.000459719257294822,454.747464415572,0.103392657413691,-0.00234296277190137,0.209103698193506,12880.9916564608,2.92865834710405,-0.0663658102086304,5.92298627816915,TRUE,TRUE,FALSE,FALSE,"map_full",2005,"MAP",FALSE
"CAF","<1","Central African Republic",57.137610295232,7548.95249397688,14817.4288792299,50946.4398682452,"0-27 days mapped to model <1 completed month","estimated",1,FALSE,2020,0.0362048475209308,-0.116852108429079,0.889716765044043,0.828769167478689,0.955146442535571,0.110283234955957,0.0448535574644292,0.171230832521311,6716.42959241227,832.52290156461,338.597374484838,1292.61342020749,45327.901670086,5618.53819815922,2285.12906823842,8723.60131263652,TRUE,FALSE,FALSE,FALSE,"map_full",2005,"MAP",FALSE
"CIV","<1","Cote d'Ivoire",62.0559536355424,27392.2659919489,55654.1700156284,49218.7126036681,"0-27 days mapped to model <1 completed month","estimated",0.999044906250652,FALSE,2020,0.0377256863407245,-0.111752336872415,0.894265706718641,0.830527131074767,0.962895881773423,0.105734293281359,0.0371041182265766,0.169472868925233,24495.9641059152,2896.30188603373,1016.3658758591,4642.24590401866,44014.6068103009,5204.10579336718,1826.21693140639,8341.23642975013,TRUE,FALSE,FALSE,FALSE,"map_full",2005,"MAP",FALSE
"CMR","<1","Cameroon",48.6084683420969,23859.4478366695,58529.8485352131,40764.5815490451,"0-27 days mapped to model <1 completed month","estimated",0.994188327616715,FALSE,2020,0.0341078797163305,-0.121705528881549,0.885409057513504,0.828153319611492,0.946623264753346,0.114590942486496,0.053376735246654,0.171846680388508,21125.3712218582,2734.07661481134,1273.53943030926,4100.16690663443,36093.3297292724,4671.2518197727,2175.88027678402,7005.25801663004,TRUE,FALSE,FALSE,FALSE,"map_full",2005,"MAP",FALSE
"COD","<1","Democratic Republic of the Congo",64.5181086884157,73984.3174206275,188322.837012299,39285.8978732334,"0-27 days mapped to model <1 completed month","estimated",0.967925701459564,FALSE,2020,0.038635567551577,-0.10876166588429,0.8969441644199,0.83153043517302,0.967503773833024,0.1030558355801,0.0324962261669762,0.16846956482698,66359.8017690214,7624.5156516061,2404.21111171007,12464.1057598743,35237.2568413929,4048.64103184053,1276.64342246132,6618.47811854083,TRUE,FALSE,FALSE,FALSE,"map_full",2005,"MAP",FALSE
"COG","<1","Congo",32.8294542135053,3184.65198687615,10321.124158586,30855.6697695268,"0-27 days mapped to model <1 completed month","estimated",0.999999884856155,FALSE,2020,0.0310608661038397,-0.103417724934434,0.901750211247636,0.848489963840051,0.958353637802654,0.0982497887523643,0.0416463621973463,0.151510036159949,2871.76060191577,312.891384960379,132.629170117943,482.506737688457,27824.1067328581,3031.56303666872,1285.02639906342,4674.94364252044,TRUE,FALSE,FALSE,FALSE,"map_full",2005,"MAP",FALSE
